datetime,nav,return,total_turnover,turnover,total_cost,cost,value,cash,bench,calendar_complete,stock_value,accounting_error
2026-02-05,9967695.41195394,-0.0031544634767028514,2533177.596774539,0.2533177596774539,759.9532790323616,7.599532790323616e-05,2501632.962007507,7466062.449946431,0.0,True,2501632.962007507,4.656612873077393e-10
2026-02-06,9964800.600147033,-0.00023269505789254213,4082707.52432473,0.15545518432394004,1335.3316249985278,5.772431060404728e-05,3827804.7206945396,6136995.879452493,0.0,True,3827804.7206945387,1.3969838619232178e-09
2026-02-09,10039990.410477988,0.007611692456966786,5806328.213460565,0.17297091615766022,1994.518857360483,6.615157280239293e-05,5353975.811982425,4686014.598495563,0.0,True,5353975.811982425,9.313225746154785e-10
2026-02-10,10072222.021855624,0.0032505299572047615,6816955.653826185,0.10066019976581886,2398.1970790317423,4.0207032593374834e-05,6212065.900853449,3860156.1210021763,0.0,True,6212065.9008534495,-1.862645149230957e-09
2026-02-11,10066650.385507371,-0.0005256734016749177,7286384.682311038,0.046606302707212284,2675.1342146309953,2.7495138113350716e-05,6422272.416950177,3644377.9685571934,0.0,True,6422272.416950177,0.0
2026-02-12,10132851.478566105,0.006653083456060507,8887737.733116275,0.15907506364884322,3448.3062936619463,7.68052976334672e-05,7520870.017089319,2611981.461476785,0.0,True,7520870.017089319,0.0
2026-02-13,9886652.208653145,-0.024249893666289605,9721617.374120578,0.08229466727783376,3927.005315088541,4.724228144853212e-05,7673616.924203295,2213035.28444985,0.0,True,7673616.924203295,-9.313225746154785e-10
2026-02-24,10069543.312852897,0.018551982616462438,10484208.278748838,0.07713338029235152,4452.9010252794415,5.319249621531322e-05,8042698.332532486,2026844.9803204113,0.0,True,8042698.332532485,9.313225746154785e-10
2026-02-25,10281922.260930143,0.02120247972877837,11797491.869867023,0.13042136572786697,5573.240916852248,0.00011126024853011855,8138340.273532954,2143581.9873971883,0.0,True,8138340.273532954,9.313225746154785e-10
2026-02-26,10298845.701363917,0.0017161099851118191,12568540.818551417,0.07499073899967827,6294.709941203812,7.016869083838972e-05,7949692.436777255,2349153.264586663,0.0,True,7949692.436777255,0.0
2026-02-27,10406827.92286276,0.010582024267708923,13916716.289987162,0.1309054927638347,7295.123583583244,9.713842418737692e-05,8231022.604177147,2175805.318685613,0.0,True,8231022.604177146,9.313225746154785e-10
2026-03-02,10627936.911293041,0.02144134630297886,16206876.144689122,0.2200632000141665,9322.536562913643,0.00019481565318057922,8078465.696210945,2549471.215082096,0.0,True,8078465.696210946,-9.313225746154785e-10
2026-03-03,10687201.633093575,0.005724765461258037,18843322.654634893,0.2480675724697174,10900.260916579402,0.00014845066985571766,9215942.921901198,1471258.7111923767,0.0,True,9215942.921901198,0.0
2026-03-04,10573397.883219142,-0.010472804065946193,21287768.67854638,0.22872648124670075,12779.042074363719,0.00017579729683087064,9257569.275874306,1315828.607344836,0.0,True,9257569.275874306,0.0
2026-03-05,10622069.247069173,0.004691977423933236,22638797.308353964,0.12777620257266384,13717.822386660351,8.878700325716056e-05,9605154.139651582,1016915.1074175907,0.0,True,9605154.13965158,1.862645149230957e-09
2026-03-06,10655981.591779837,0.0032844930606279903,24176274.75816941,0.14474368543960145,14693.590407504205,9.186232909497242e-05,10171025.193115845,484956.3986639917,0.0,True,10171025.193115843,1.862645149230957e-09
2026-03-09,10561920.66642138,-0.008677944952564834,26108118.112235926,0.18129191923123875,16282.494096952074,0.00014910908730112387,10003851.08001916,558069.5864022205,0.0,True,10003851.08001916,0.0
2026-03-10,10531314.671693172,-0.0027952428620157234,27752358.460399743,0.15567626382493208,17365.35547316895,0.0001025250435424616,10442121.524042085,89193.14765108695,0.0,True,10442121.524042085,0.0
2026-03-11,10611948.929834574,0.007837865821764326,29580852.789221227,0.17362450803376364,19274.12865527592,0.00018124737904162209,9660759.866425319,951189.0634092556,0.0,True,9660759.866425317,1.862645149230957e-09
2026-03-12,10719075.563107565,0.010174136937883634,30718076.385197423,0.10716444297795202,20114.91697224998,7.92303395477391e-05,9937496.30593289,781579.2571746736,0.0,True,9937496.30593289,0.0
2026-03-13,10614883.880591609,-0.009612760263227058,31914906.140241265,0.11165419517733759,21266.695856637838,0.00010745132615278876,9467729.97158019,1147153.909011419,0.0,True,9467729.97158019,-1.862645149230957e-09
2026-03-16,10538692.8311872,-0.007102528423297975,32769662.172437716,0.08052429417144148,22065.23078913721,7.522785378363157e-05,9186635.829405876,1352057.0017813235,0.0,True,9186635.829405876,0.0
2026-03-17,10556206.627429152,0.001714474589077014,33365599.328829665,0.05654754018718423,22619.755608343654,5.2617988595837524e-05,9081463.216028478,1474743.411400674,0.0,True,9081463.216028476,1.862645149230957e-09
2026-03-18,10566301.73749066,0.0009961855945945608,33934405.64082128,0.053883590201202786,23040.586522644535,3.9865732943062876e-05,9179854.888554152,1386446.8489365068,0.0,True,9179854.888554152,0.0
2026-03-19,10447151.036637181,-0.01122588552940084,34549730.08356661,0.05823460828892303,23575.193601943334,5.059547726163654e-05,9019295.152469318,1427855.8841678628,0.0,True,9019295.152469318,0.0
2026-03-20,10484492.620484445,0.003738468860907995,36145905.61271914,0.15278572345272784,25289.958590350285,0.00016413709176726077,8211224.24978736,2273268.3706970857,0.0,True,8211224.24978736,-9.313225746154785e-10
2026-03-23,10399670.68528142,-0.008033273381741306,37197880.50580328,0.10033627102076506,25887.098304174557,5.695456474999937e-05,8657489.407915264,1742181.2773661553,0.0,True,8657489.407915263,1.862645149230957e-09
2026-03-24,10766211.83512732,0.035343028112543196,38910670.57308201,0.1646965677194786,26901.80184936717,9.757073814161402e-05,9754873.287164465,1011338.5479628547,0.0,True,9754873.287164466,-1.862645149230957e-09
2026-03-25,10998450.686361851,0.021724144919755883,40474427.555085965,0.1452467224267155,28549.696757932987,0.00015306172066846844,9217238.462164309,1781212.224197542,0.0,True,9217238.462164309,0.0
2026-03-26,10888797.036939174,-0.009897623636792169,41422110.52037328,0.0861651329184433,29344.820699182117,7.229417705487275e-05,9043286.672307523,1845510.364631651,0.0,True,9043286.672307523,0.0
2026-03-27,10724725.876315437,-0.015024743509271328,42195650.275259845,0.07103996449400334,29814.598718394067,4.3143243245169704e-05,9181205.529073171,1543520.3472422669,0.0,True,9181205.529073173,-1.862645149230957e-09
2026-03-30,10457994.038720481,-0.024716252820201613,44578857.50277162,0.2222161437967259,31471.400126979595,0.00015448426632930738,9430698.215682173,1027295.8230383074,0.0,True,9430698.215682173,0.0
2026-03-31,10355154.083946364,-0.00969868540112194,46177199.835348055,0.15283450407971222,32882.56079273809,0.00013493607478964957,9067636.48844783,1287517.5954985335,0.0,True,9067636.48844783,0.0
2026-04-01,10372259.139363771,0.0018393870203646805,47893576.166595146,0.16575092145736356,34824.64139121804,0.00018754724292232086,7965589.991470586,2406669.1478931853,0.0,True,7965589.991470586,9.313225746154785e-10
2026-04-02,10346748.722452486,-0.002392455856674115,48594730.19956616,0.06759896986280131,35519.886177590946,6.70292534183203e-05,7694036.748044133,2652711.9744083527,0.0,True,7694036.748044134,-9.313225746154785e-10
2026-04-03,10203399.129467232,-0.013804152090952518,49287759.68692001,0.0669804115228941,36041.38615124194,5.040230391594759e-05,7632270.487824653,2571128.6416425793,0.0,True,7632270.487824653,-9.313225746154785e-10
2026-04-07,10159692.151693394,-0.004206896515691541,50809901.24037828,0.1491798501797657,36823.719679113885,7.66738140834441e-05,8492403.096763978,1667289.0549294162,0.0,True,8492403.096763978,0.0
2026-04-08,10271672.207338078,0.011079984267364779,51501517.94215378,0.06807457267888,37412.89323646257,5.7991280498640456e-05,8561387.01583277,1710285.1915053066,0.0,True,8561387.015832772,-1.862645149230957e-09
2026-04-09,10167183.369770447,-0.010136721251000473,51976368.332477584,0.04622912226351712,37780.65285665889,3.5803286239371e-05,8518124.731376017,1649058.6383944305,0.0,True,8518124.731376017,0.0
2026-04-10,10087333.22016906,-0.007809807999862498,52478948.84767859,0.04943163675942923,38227.052440743566,4.390592436956856e-05,8372746.632783765,1714586.5873852957,0.0,True,8372746.632783763,9.313225746154785e-10
2026-04-13,10145953.10937402,0.0059029297308409645,54039179.103373125,0.15467222323685562,39151.98240601892,9.169221885384023e-05,9101147.99009433,1044805.11927969,0.0,True,9101147.99009433,0.0
2026-04-14,10151288.669807335,0.0006635861275295612,56013268.70353267,0.19456916258913645,40549.135706649824,0.00013770547582563238,9493444.37264583,657844.2971615043,0.0,True,9493444.37264583,0.0
2026-04-15,10140886.472078325,-0.0008289512378816257,58132885.350089654,0.20880271613802998,42536.410126729446,0.0001957657283444526,8935331.117831718,1205555.3542466066,0.0,True,8935331.117831718,0.0
2026-04-16,10167243.578540238,0.002698090139020904,59227213.67045699,0.10791249102141452,43540.32945606206,9.899719635919252e-05,8735810.39734588,1431433.1811943576,0.0,True,8735810.39734588,0.0
2026-04-17,10097806.362236047,-0.006774725653511401,59691651.44985439,0.045679812410285535,44097.25986321692,5.477693170746435e-05,8320840.562210549,1776965.8000254983,0.0,True,8320840.56221055,-9.313225746154785e-10
2026-04-20,10155462.529231329,0.005745790428115745,60477099.92786056,0.07778407010690987,44460.972009037716,3.601892656419076e-05,8941262.543604182,1214199.985627147,0.0,True,8941262.543604184,-1.862645149230957e-09
2026-04-21,10279527.76475987,0.012243866969644631,60988430.51771013,0.050350300478955314,44737.868703615175,2.726578861183761e-05,9359692.728908164,919835.0358517057,0.0,True,9359692.728908163,1.862645149230957e-09
2026-04-22,10299569.1327563,0.0022006489423916933,63153995.590394564,0.21066775850427644,47318.132610990004,0.0002510099652846362,7700554.618451207,2599014.514305094,0.0,True,7700554.618451207,-9.313225746154785e-10
2026-04-23,10252177.498940263,-0.004516858691995948,64685951.53920981,0.14873980931329284,48188.06806592387,8.446328615506478e-05,8383073.768367555,1869103.7305727084,0.0,True,8383073.768367555,0.0
2026-04-24,10194015.270166175,-0.005619319337514384,65458007.082807675,0.07530649402799232,48740.03756858651,5.3839245635348335e-05,8475773.407490423,1718241.8626757525,0.0,True,8475773.407490423,0.0
2026-04-27,10164975.694024116,-0.0026733118247156593,67160336.10789682,0.1669929836255184,50527.83214757891,0.00017537687865002205,7624948.474314718,2540027.2197093987,0.0,True,7624948.474314718,0.0
2026-04-28,10273137.55564058,0.010745799107690588,68839523.43784526,0.16519344270893013,51596.75727365544,0.00010515766670302423,8303540.355075509,1969597.2005650708,0.0,True,8303540.355075509,0.0
2026-04-29,10265325.720226077,-0.0006591648447966147,70206110.44574979,0.13302528078719142,52636.901565720116,0.00010124894039733465,8411063.06051583,1854262.6597102473,0.0,True,8411063.06051583,0.0
2026-04-30,10163454.267382191,-0.009694658973285827,72643461.73782404,0.2374353584584133,54989.52230231446,0.00022918130419952504,7506567.704621486,2656886.562760705,0.0,True,7506567.704621486,0.0
2026-05-06,10326878.092723336,0.01613768095537459,73745733.92868103,0.10845448425881551,55580.27933272408,5.8125615058411066e-05,8281936.01756518,2044942.0751581567,0.0,True,8281936.017565181,-9.313225746154785e-10
