datetime,instrument,shares,close,market_value,weight
2026-02-05,SH600037,8100.000000000001,8.050000244247501,65205.00197840477,0.006541632672704514
2026-02-05,SH600032,4799.999999999999,7.900000152804386,37920.00073346105,0.003804289674420107
2026-02-05,SH600017,18700.0,3.150000132438473,58905.002476599446,0.005909590937736376
2026-02-05,SH600026,29200.000000000004,16.159999530406264,471871.98628786294,0.047340128965213155
2026-02-05,SH600031,34100.0,23.26999973396961,793506.9909283636,0.07960786903427407
2026-02-05,SH600007,1400.0,20.90999922370174,29273.998913182433,0.002936887385029348
2026-02-05,SH600028,108400.0,6.399999908614949,693759.9900938604,0.06960084166113827
2026-02-05,SH600008,37400.0,3.079999886184807,115191.99574331178,0.011556532476420347
2026-02-05,SH600022,70700.0,1.6199999722003933,114533.9980345678,0.011490519453193848
2026-02-05,SH600004,12600.0,9.639999747451814,121463.99681789285,0.012185765294576012
2026-02-06,SH600037,17401.252786770052,7.930000023293851,137991.9350044287,0.013847937409042846
2026-02-06,SH600032,8599.399959004764,7.929999855181549,68193.240429556,0.0068434124440532994
2026-02-06,SH600017,37787.76956129491,3.129999961832757,118275.7172845981,0.011869351132109247
2026-02-06,SH600026,49699.78574785808,15.970000566731121,793705.6065597088,0.07965092713927437
2026-02-06,SH600031,40899.88377974842,22.979999274804364,939879.2995982015,0.09431993045443712
2026-02-06,SH600007,2599.9422797137818,20.78000065080423,54026.802264505815,0.005421764512147753
2026-02-06,SH600028,149881.67364182108,6.4999998286240555,974230.8529857236,0.09776722004566239
2026-02-06,SH600008,81805.20304122326,3.0600000020321314,250323.9214723821,0.02512081591162883
2026-02-06,SH600029,33000.0,8.220000425314588,271260.0140353814,0.027221820578264142
2026-02-06,SH600022,130100.0,1.610000074553491,209461.0096994092,0.021020090426728512
2026-02-06,SH600004,1099.5079972783078,9.510000278785231,10456.321360643298,0.0010493256995517816
2026-02-09,SH600037,5199.235228687774,8.249999962424916,42893.690441312436,0.004272284005027285
2026-02-09,SH600032,12596.922397354661,8.0,100775.37917883729,0.010037397951462738
2026-02-09,SH600017,56500.17295412551,3.140000050872959,177410.54595028507,0.017670389980167206
