datetime,instrument,score,method,signal_artifact_id,profile_name,profile_type,research_run_family_id
2026-02-04,SH600000,-0.1407615,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600004,0.01692915,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600006,-0.03592372,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600007,0.06353974,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600008,0.030016303,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600009,-0.049398303,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600010,-0.04660815,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600011,-0.061910868,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600012,-0.009688556,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600015,-0.036263227,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600016,-0.015570819,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600017,0.052919626,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600018,-0.06352687,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600019,-0.0052292943,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600020,-0.042553186,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600021,-0.021671176,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600022,0.07142854,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600023,-0.006000042,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600025,0.0026786327,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600026,0.39779723,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600027,-0.026109636,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600028,0.06558561,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600029,0.0036022663,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
2026-02-04,SH600030,-0.03793162,transparent_momentum_20d,signal:qlib-exchange-local-reference-v1,local_reference,reference,qlib_exchange_v1
