factor,cluster_id,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason,representative_score,exclusion_reason
alpha158_KMID2,cluster_001,3,3,3,1.0,1.0,1.0,-0.0109774060558782,-0.0232181109341559,-0.0114554531771631,-0.0266399598646443,-0.0049448289040966,-0.0117626577569927,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01176265775699279,1.0,redundant_with_cluster_representative
alpha158_OPEN0,cluster_001,3,3,3,1.0,1.0,1.0,0.0132466606914748,0.0142484455098283,0.0164076300948322,0.0110354725251013,-0.003212972984727,-0.014315799459366,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.014315799459366067,1.0,redundant_with_cluster_representative
alpha360_OPEN0,cluster_001,3,3,3,1.0,1.0,1.0,0.0132466606914748,0.0142484455098283,0.0164076300948322,0.0110354725251013,-0.003212972984727,-0.014315799459366,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.014315799459366067,1.0,redundant_with_cluster_representative
kunquant_alpha101_alpha033,cluster_001,3,3,3,1.0,1.0,1.0,0.0132466606914748,0.0142484455098283,0.0164076300948322,0.0110354725251013,-0.003212972984727,-0.014315799459366,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.014315799459366067,1.0,redundant_with_cluster_representative
kunquant_alpha101_alpha101,cluster_001,3,3,3,1.0,1.0,1.0,-0.0110369949756762,-0.0235891084760657,-0.0115643156034418,-0.0270347261262204,-0.0047752103134493,-0.0120247928726238,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.012024792872623868,1.0,redundant_with_cluster_representative
alpha158_KSFT2,cluster_001,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.0084949483377173,-0.0192850488799834,-0.0161487046462508,-0.0185148940623774,-0.0058713686323031,-0.0109725824470002,0.6666666666666666,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.010972582447000277,0.7999999999999999,redundant_with_cluster_representative
alpha360_OPEN1,cluster_002,3,3,3,1.0,1.0,1.0,0.0171130222291336,0.0265422094745282,0.026548666697454,0.0134167814350829,-0.0131254280394452,-0.0199843114208313,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01998431142083137,1.0,redundant_with_cluster_representative
alpha360_CLOSE2,cluster_002,3,3,2,0.6666666666666666,1.0,1.0,0.0143082273529254,0.0166486517067605,0.0209449052934545,0.0087259230430552,0.0159442861673077,-0.0079227286637052,0.6666666666666666,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.007922728663705242,0.7999999999999999,redundant_with_cluster_representative
alpha360_VOLUME36,cluster_006,3,3,3,1.0,1.0,1.0,0.0434219341447398,0.067797540743339,0.0571046571408262,0.0405375754511234,-0.0150713028720114,-0.0272599652922156,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027259965292215617,1.0,redundant_with_cluster_representative
alpha360_VOLUME37,cluster_006,3,3,3,1.0,1.0,1.0,0.0446746290675295,0.0683357586990231,0.0569961662652991,0.0407274082485428,-0.0170463077426215,-0.0276083504504803,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027608350450480344,1.0,redundant_with_cluster_representative
