cluster_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason,representative_score,is_representative
cluster_001,alpha158_KMID,3,3,3,1.0,1.0,1.0,-0.0132462697883432,-0.014247836420659,-0.0164069455078495,-0.0373213612204642,-0.003212267136332,-0.0143160970726224,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01431609707262246,1.0,True
cluster_002,alpha158_QTLD5,3,3,3,1.0,1.0,1.0,0.0308790812755758,0.046257875312187,0.0399944901697689,0.0215044874632565,-0.013574699150171,-0.0247533878489304,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.024753387848930424,1.0,True
cluster_003,kunquant_alpha101_alpha035,3,3,3,1.0,1.0,1.0,-0.0276478090196782,-0.0488122980781681,-0.028864840075922,-0.054028316841046,-0.0207847938395224,-0.0214585282012475,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.021458528201247544,1.0,True
cluster_004,ta_volume_em,3,3,2,0.6666666666666666,1.0,1.0,-0.0105188369646606,-0.02259651276055,-0.009325720304555,-0.0238060849918967,-0.008000420192028,-0.0172104126154027,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01721041261540277,0.8666666666666666,True
cluster_005,ta_trend_psar_up_indicator,3,3,2,0.6666666666666666,1.0,1.0,-0.0040158613812775,-0.0106743380095977,-0.0052133369346288,-0.0158105064169613,-0.002399701175981,-0.0099355707593258,1.0,0.974025974025974,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.009935570759325815,0.8666666666666666,True
cluster_006,alpha360_VOLUME35,3,3,3,1.0,1.0,1.0,0.0425678463872984,0.0685956297840671,0.0583676668927432,0.0406499080615121,-0.0135839477476871,-0.0279457217225549,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027945721722554932,1.0,True
cluster_007,alpha158_VMA60,3,3,3,1.0,1.0,1.0,0.0459857104844944,0.0587633238509929,0.0642894880169662,0.0442601839752901,0.0055261641659732,-0.0289913400980263,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.028991340098026327,1.0,True
cluster_008,alpha360_VOLUME14,3,3,3,1.0,1.0,1.0,0.0163838408846486,0.024414591710776,0.0399450819847399,0.0260606791385601,0.0155304902739638,-0.0193491565454775,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.019349156545477534,1.0,True
cluster_009,alpha158_CNTP5,3,3,3,1.0,1.0,1.0,-0.0180020056951667,-0.0341901051081126,-0.0228287899888575,-0.0351834987941595,-0.0152552046012244,-0.0182655423217553,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01826554232175534,1.0,True
cluster_010,alpha360_CLOSE7,3,3,3,1.0,1.0,1.0,0.031177045269127,0.0632948331109142,0.0407484490807499,0.0247219928528459,-0.0225463840301642,-0.0288432449618975,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.028843244961897517,1.0,True
cluster_011,alpha158_IMAX10,3,3,3,1.0,1.0,1.0,-0.0257504876198557,-0.0469735282998632,-0.0322201150861688,-0.0488094151273225,-0.0178418943969377,-0.0285996934545017,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.02859969345450173,1.0,True
cluster_012,ta_volatility_bbhi,3,3,3,1.0,1.0,1.0,-0.0262275049157837,-0.0399524559899526,-0.0397232585188169,-0.054015003295722,-0.0184393768211806,-0.0196499148761833,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.0196499148761833,1.0,True
cluster_013,alpha158_CORD30,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.0556272753399741,-0.0451468831910243,-0.0381931037644408,-0.0575884121152935,-0.0060922400041707,-0.0280788511281259,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.02807885112812597,0.8666666666666666,True
cluster_014,kunquant_alpha101_alpha045,3,3,3,1.0,1.0,1.0,0.0121440660452012,0.0280439352769506,0.0158762280551722,0.012319122916846,-0.0157248123601046,-0.0182933183196102,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01829331831961022,1.0,True
cluster_015,ta_trend_dpo,3,3,3,1.0,1.0,1.0,0.0184676067492534,0.0453226163897806,0.0248974158693818,0.016552617493391,-0.0287699988963896,-0.0296060156745251,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.02960601567452511,1.0,True
cluster_016,kunquant_alpha101_alpha029,3,3,3,1.0,1.0,1.0,0.0145172634017039,0.0392834645715086,0.0135402507175483,0.0094417631892433,-0.0086038472174549,-0.0257432138539602,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.025743213853960292,1.0,True
