outer_split_id,allowed_date_count,allowed_dates_sha256,allowed_dates_hash_match,exposure_date_min,exposure_date_max,performance_date_min,performance_date_max,exposure_outside_allowed_count,performance_outside_allowed_count
split_001,765,1c374814f32cd3f87c404ad09942788eaee0c5ac8fc2a69e54f8f9c19f9f5205,True,2021-02-01,2024-06-03,2021-02-01,2024-06-03,0,0
split_002,885,15f0a51f7fa9ea1b886b896f75bf7afd58ed8ccdffa7d21a2922c5fdc7a2f285,True,2021-02-01,2024-11-28,2021-02-01,2024-11-28,0,0
split_003,1009,adf82cb775ccc74912946f39889346e3701f80ea3c706ddf248221100d9d6d6a,True,2021-02-01,2025-06-06,2021-02-01,2025-06-06,0,0
