outer_split_id,method,factor,feature_order,coefficient,coefficient_nonzero
split_001,elastic_net,alpha158_BETA10,0,-0.0,False
split_001,elastic_net,alpha158_BETA5,1,-0.0,False
split_001,elastic_net,alpha158_CNTD30,2,-0.0,False
split_001,elastic_net,alpha158_CNTP60,3,-0.0,False
split_001,elastic_net,alpha158_CORD10,4,-0.0,False
split_001,elastic_net,alpha158_CORD20,5,-0.0,False
split_001,elastic_net,alpha158_CORD5,6,-0.0,False
split_001,elastic_net,alpha158_CORD60,7,-0.0,False
split_001,elastic_net,alpha158_CORR10,8,-0.0,False
split_001,elastic_net,alpha158_CORR20,9,-0.0,False
split_001,elastic_net,alpha158_CORR5,10,-0.0,False
split_001,elastic_net,alpha158_HIGH0,11,-0.0,False
split_001,elastic_net,alpha158_IMIN20,12,0.0,False
split_001,elastic_net,alpha158_KLEN,13,-0.008787518915428805,True
split_001,elastic_net,alpha158_KLOW,14,-0.0,False
split_001,elastic_net,alpha158_KMID,15,-0.0,False
split_001,elastic_net,alpha158_KUP,16,-0.0,False
split_001,elastic_net,alpha158_LOW0,17,0.0,False
split_001,elastic_net,alpha158_MAX5,18,-0.0,False
split_001,elastic_net,alpha158_MIN10,19,0.0,False
split_001,elastic_net,alpha158_QTLD60,20,0.017554539274895593,True
split_001,elastic_net,alpha158_RSQR30,21,0.001916202784338051,True
split_001,elastic_net,alpha158_VMA30,22,-0.0,False
split_001,elastic_net,alpha158_VMA60,23,-0.0,False
split_001,elastic_net,alpha158_VSUMD60,24,-0.0,False
split_001,elastic_net,alpha360_LOW1,25,0.0,False
split_001,elastic_net,alpha360_VOLUME13,26,-0.0,False
split_001,elastic_net,amount_cv_20,27,-0.0,False
split_001,elastic_net,amount_std_20,28,-0.009378336286205859,True
split_001,elastic_net,corr_ret_amount_20,29,-0.0,False
split_001,elastic_net,kunquant_alpha101_alpha003,30,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha011,31,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha012,32,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha013,33,0.000822393641519206,True
split_001,elastic_net,kunquant_alpha101_alpha020,34,-0.0,False
split_001,elastic_net,kunquant_alpha101_alpha029,35,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha034,36,-0.0,False
split_001,elastic_net,kunquant_alpha101_alpha050,37,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha055,38,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha062,39,0.0,False
split_001,elastic_net,kunquant_alpha101_alpha094,40,0.0,False
split_001,elastic_net,ta_trend_mass_index,41,-0.0,False
split_001,elastic_net,ta_volatility_bbhi,42,0.0,False
split_001,elastic_net,ta_volume_cmf,43,-0.0,False
split_001,elastic_net,ta_volume_sma_em,44,-0.0,False
