datetime,instrument,calendar_position,entry_position,exit_position,entry_date,exit_date,terminal_entry_missing,terminal_exit_missing,entry_close,exit_close,label_20d_t1
2021-02-01,SH600000,0,1,21,2021-02-02,2021-03-09,False,False,5.3586235,5.6261244,0.049919724
2021-02-01,SH600004,0,1,21,2021-02-02,2021-03-09,False,False,3.3908572,3.9154286,0.15470171
2021-02-01,SH600006,0,1,21,2021-02-02,2021-03-09,False,False,5.0861726,4.733467,-0.06934595
2021-02-01,SH600008,0,1,21,2021-02-02,2021-03-09,False,False,1.3432835,1.4006889,0.0427351
2021-02-01,SH600009,0,1,21,2021-02-02,2021-03-09,False,False,13.366667,12.002721,-0.10204083
2021-02-01,SH600010,0,1,21,2021-02-02,2021-03-09,False,False,1.484375,2.409375,0.62315786
2021-02-01,SH600011,0,1,21,2021-02-02,2021-03-09,False,False,1.3973607,1.4992669,0.072927594
2021-02-01,SH600015,0,1,21,2021-02-02,2021-03-09,False,False,4.0601397,4.0657344,0.0013779402
2021-02-01,SH600016,0,1,21,2021-02-02,2021-03-09,False,False,7.525862,7.643858,0.015678644
2021-02-01,SH600018,0,1,21,2021-02-02,2021-03-09,False,False,1.7150396,1.8443272,0.07538462
2021-02-01,SH600019,0,1,21,2021-02-02,2021-03-09,False,False,2.775041,3.6190476,0.304142
2021-02-01,SH600022,0,1,21,2021-02-02,2021-03-09,False,False,1.1336478,1.3694968,0.20804441
2021-02-01,SH600025,0,1,21,2021-02-02,2021-03-09,False,False,1.5865384,1.6282052,0.026262641
2021-02-01,SH600026,0,1,21,2021-02-02,2021-03-09,False,False,2.4211712,2.5608108,0.057674408
2021-02-01,SH600027,0,1,21,2021-02-02,2021-03-09,False,False,1.2439024,1.3259424,0.06595373
2021-02-01,SH600028,0,1,21,2021-02-02,2021-03-09,False,False,2.9862385,3.4266055,0.14746547
2021-02-01,SH600029,0,1,21,2021-02-02,2021-03-09,False,False,2.5360825,2.7164948,0.07113814
2021-02-01,SH600030,0,1,21,2021-02-02,2021-03-09,False,False,31.301397,26.399202,-0.15661263
2021-02-01,SH600031,0,1,21,2021-02-02,2021-03-09,False,False,95.52864,83.54789,-0.12541527
2021-02-01,SH600036,0,1,21,2021-02-02,2021-03-09,False,False,24.666979,23.0197,-0.066780746
2021-02-01,SH600037,0,1,21,2021-02-02,2021-03-09,False,False,1.63058,1.6787347,0.029532313
2021-02-01,SH600038,0,1,21,2021-02-02,2021-03-09,False,False,9.275679,7.5290046,-0.18830687
2021-02-01,SH600039,0,1,21,2021-02-02,2021-03-09,False,False,4.256891,5.0385885,0.18363118
2021-02-01,SH600048,0,1,21,2021-02-02,2021-03-09,False,False,14.97526,16.109352,0.07573104
2021-02-01,SH600050,0,1,21,2021-02-02,2021-03-09,False,False,2.3240418,2.4390244,0.049475312
2021-02-01,SH600053,0,1,21,2021-02-02,2021-03-09,False,False,3.6498573,3.6137013,-0.009906113
2021-02-01,SH600055,0,1,21,2021-02-02,2021-03-09,False,False,,7.964064,
2021-02-01,SH600056,0,1,21,2021-02-02,2021-03-09,False,False,7.5918727,7.597173,0.0006982088
2021-02-01,SH600057,0,1,21,2021-02-02,2021-03-09,False,False,1.2225313,1.3954567,0.14144862
2021-02-01,SH600059,0,1,21,2021-02-02,2021-03-09,False,False,4.3317914,3.947435,-0.0887292
2021-02-01,SH600060,0,1,21,2021-02-02,2021-03-09,False,False,4.4196835,4.0005655,-0.09482986
2021-02-01,SH600061,0,1,21,2021-02-02,2021-03-09,False,False,6.8529673,6.319752,-0.0778079
2021-02-01,SH600062,0,1,21,2021-02-02,2021-03-09,False,False,5.842348,6.039578,0.03375864
2021-02-01,SH600063,0,1,21,2021-02-02,2021-03-09,False,False,3.9842033,4.0961537,0.028098583
2021-02-01,SH600064,0,1,21,2021-02-02,2021-03-09,False,False,4.155796,4.3777995,0.053420186
2021-02-01,SH600066,0,1,21,2021-02-02,2021-03-09,False,False,28.785105,32.240913,0.12005544
2021-02-01,SH600068,0,1,21,2021-02-02,2021-03-09,False,False,4.5572686,4.7444935,0.04108274
2021-02-01,SH600070,0,1,21,2021-02-02,2021-03-09,False,False,4.351299,4.551948,0.046112537
2021-02-01,SH600072,0,1,21,2021-02-02,2021-03-09,False,False,3.6719577,3.5351474,-0.03725815
2021-02-01,SH600073,0,1,21,2021-02-02,2021-03-09,False,False,2.4774137,2.4410982,-0.01465863
