datetime,instrument,total_mv,circ_mv,sw_l1_code,industry_effective_from,industry_effective_to
2025-08-05,SH600000,41618059.4211,41618059.4211,,,
2025-08-05,SH600298,3030671.4023,2992312.2943,,,
2025-08-05,SH688981,71874561.987,17895232.161,,,
2025-08-05,SZ000001,24199179.9929,24198748.097,,,
2025-08-05,SZ300750,121140874.9633,112979006.2596,,,
