output,frozen_families,needed_families,universe_n,valid_rows,missing_rows,single_family_valid_rows,effective_family_sum,raw_any_parent_rows,raw_available_but_output_missing,output_n_below_100,family_count_histogram,max_family_weight,mean_l1_weight_drift,constant_output,infinite_n,datetime,semantic_id
erc_939c61f2596b9b3e,1,1,1544,1526,18,1526,1526,1526,0,False,"{""0"": 18, ""1"": 1526}",1.0,0.0,False,0,2010-01-29,amihud_cost__window_20_min_observations_10
erc_93e92c042f6e574b,1,1,1544,1238,306,1238,1238,1238,0,False,"{""0"": 306, ""1"": 1238}",1.0,0.0,False,0,2010-01-29,amount_absolute_variability__window_20
erc_deecfaa28672d890,1,1,1544,1238,306,1238,1238,1238,0,False,"{""0"": 306, ""1"": 1238}",1.0,0.0,False,0,2010-01-29,amount_level__window_20
erc_819e0e0b8186a56f,1,1,1544,1238,306,1238,1238,1238,0,False,"{""0"": 306, ""1"": 1238}",1.0,0.0,False,0,2010-01-29,amount_relative_variability__window_20
erc_88b156b24b0926ee,1,1,1544,1056,488,1056,1056,1056,0,False,"{""0"": 488, ""1"": 1056}",1.0,0.0,False,0,2010-01-29,"aroon_balance__{""window"": 25}"
erc_184a9d5068007d83,1,1,1544,1056,488,1056,1056,1056,0,False,"{""0"": 488, ""1"": 1056}",1.0,0.0,False,0,2010-01-29,"aroon_down__{""window"": 25}"
erc_7522921f6a7603d8,1,1,1544,1056,488,1056,1056,1056,0,False,"{""0"": 488, ""1"": 1056}",1.0,0.0,False,0,2010-01-29,"aroon_up__{""window"": 25}"
erc_bf43c415efc83d87,1,1,1544,1238,306,1238,1238,1238,0,False,"{""0"": 306, ""1"": 1238}",1.0,0.0,False,0,2010-01-29,"bollinger_position__{""window"": 20, ""window_dev"": 2}"
erc_4198011de131cb6c,1,1,1544,1505,39,1505,1505,1505,0,False,"{""0"": 39, ""1"": 1505}",1.0,0.0,False,0,2010-01-29,book_value_latest_statement__latest_available_consolidated_statement_period_not_TTM_rebuilt
erc_ec2f12ea4d8480c4,1,1,1544,1478,66,1478,1478,1478,0,False,"{""0"": 66, ""1"": 1478}",1.0,0.0,False,0,2010-01-29,book_value_vendor_daily__asof_daily_basic
erc_6e5b9f3457c7130a,1,1,1544,1238,306,1238,1238,1238,0,False,"{""0"": 306, ""1"": 1238}",1.0,0.0,False,0,2010-01-29,"cci__{""constant"": 0.015, ""window"": 20}"
