output,frozen_families,needed_families,universe_n,valid_rows,missing_rows,single_family_valid_rows,effective_family_sum,raw_any_parent_rows,raw_available_but_output_missing,output_n_below_100,family_count_histogram,max_family_weight,mean_l1_weight_drift,constant_output,infinite_n,datetime,semantic_id
erc_d05fc30b232b94ef,2,2,1544,1238,306,0,2476,1526,288,False,"{""0"": 18, ""1"": 288, ""2"": 1238}",0.5,0.0,False,0,2010-01-29,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,1544,1544,0,0,3088,1544,0,False,"{""2"": 1544}",0.5,0.0,False,0,2010-01-29,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1585,415,0,3170,1986,401,False,"{""0"": 14, ""1"": 401, ""2"": 1585}",0.5,0.0,False,0,2012-07-18,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2012-07-18,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1678,322,0,3356,1852,174,False,"{""0"": 148, ""1"": 174, ""2"": 1678}",0.5,0.0,False,0,2014-12-31,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2014-12-31,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1650,350,0,3300,1817,167,False,"{""0"": 183, ""1"": 167, ""2"": 1650}",0.5,0.0,False,0,2015-01-05,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2015-01-05,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1748,252,0,3496,1812,64,False,"{""0"": 188, ""1"": 64, ""2"": 1748}",0.5,0.0,False,0,2016-07-04,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2016-07-04,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1858,142,0,3716,1928,70,False,"{""0"": 72, ""1"": 70, ""2"": 1858}",0.5,0.0,False,0,2017-12-29,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2017-12-29,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1794,206,0,3588,1857,63,False,"{""0"": 143, ""1"": 63, ""2"": 1794}",0.5,0.0,False,0,2018-01-02,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2018-01-02,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1919,81,0,3838,1936,17,False,"{""0"": 64, ""1"": 17, ""2"": 1919}",0.5,0.0,False,0,2019-07-04,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2019-07-04,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1986,14,0,3972,2000,14,False,"{""1"": 14, ""2"": 1986}",0.5,0.0,False,0,2020-12-31,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2020-12-31,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1916,84,0,3832,1929,13,False,"{""0"": 71, ""1"": 13, ""2"": 1916}",0.5,0.0,False,0,2021-01-04,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2021-01-04,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1912,88,0,3824,1997,85,False,"{""0"": 3, ""1"": 85, ""2"": 1912}",0.5,0.0,False,0,2022-07-06,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2022-07-06,up_day_balance__window_30
erc_d05fc30b232b94ef,2,2,2000,1992,8,0,3984,2000,8,False,"{""1"": 8, ""2"": 1992}",0.5,0.0,False,0,2023-12-29,range_intensity__window_20_distinct_estimators_and_min_observations
erc_cd54b6130e29641c,2,2,2000,2000,0,0,4000,2000,0,False,"{""2"": 2000}",0.5,0.0,False,0,2023-12-29,up_day_balance__window_30
