datetime,factor,count,ic,rank_ic
2017-01-10,ret_5,462,-0.14985989747713357,-0.10577260889600755
2017-01-11,ret_5,462,-0.11424517523811746,-0.040263839812389755
2017-01-12,ret_5,463,0.07500454444618235,0.07245303394609999
2017-01-13,ret_5,463,-0.05013695908143022,-0.1719591225504703
2017-01-16,ret_5,463,0.20911450015132724,0.23419022799283615
2017-01-17,ret_5,462,-0.07802352384237646,-0.021301152644002796
2017-01-18,ret_5,462,-0.2288625080878465,-0.2970309204796647
2017-01-19,ret_5,461,-0.05202378103492933,-0.15933193900674184
2017-01-20,ret_5,461,0.1929207748204976,0.1879142496066223
2017-01-23,ret_5,461,-0.20576846716299402,-0.13665295082597154
2017-01-24,ret_5,461,0.0026932762139460394,-0.015557708858155099
2017-01-25,ret_5,463,-0.16526233509258403,-0.18409271531531693
2017-01-26,ret_5,463,-0.052394289439322776,-0.10003749309243967
2017-02-03,ret_5,463,0.044873517202496715,-0.06967331621491167
2017-02-06,ret_5,465,-0.024447622537941298,0.0073234288496260925
2017-02-07,ret_5,465,-0.10754633403399856,-0.22456421481559624
2017-02-08,ret_5,466,0.07022386409433884,-0.18899163571156746
2017-02-09,ret_5,466,-0.10650453452670695,-0.12120878104015408
2017-02-10,ret_5,466,0.38572621985997585,0.169466957004047
2017-02-13,ret_5,466,-0.277096382662868,-0.1511742568588536
2017-02-14,ret_5,466,0.27882109807052463,0.2411419402787865
2017-02-15,ret_5,466,-0.14378395376974437,-0.20629543199121833
2017-02-16,ret_5,459,0.076688554994672,0.14061512688465597
2017-02-17,ret_5,459,-0.19186747531127643,-0.27871644028828757
2017-02-20,ret_5,458,0.08116047080375065,0.045853863462027446
2017-02-21,ret_5,459,-0.04450286460608626,-0.14112132953048837
2017-02-22,ret_5,461,-0.24643041481535663,-0.24594211612853897
2017-02-23,ret_5,464,-0.1119679686912599,-0.15202355142399804
2017-02-24,ret_5,465,-0.08860253411240489,-0.06167027675423925
2017-02-27,ret_5,461,-0.10817190516836167,-0.15396026421292155
2017-02-28,ret_5,464,0.00449022306107464,0.01194274590930344
2017-03-01,ret_5,464,0.0932044382770925,0.14798350063661314
2017-03-02,ret_5,464,-0.022544300907400318,-0.010163021085547298
2017-03-03,ret_5,465,0.0037403743074801736,-0.08182930965611661
2017-03-06,ret_5,467,-0.0051044901580816265,-0.05929556164076424
2017-03-07,ret_5,467,0.1607694278037903,0.14324134156047938
2017-03-08,ret_5,467,0.05548005732633918,-0.036814303479723254
2017-03-09,ret_5,467,0.05494513220116525,-0.02640986869941852
2017-03-10,ret_5,466,-0.058898738444955676,-0.09520687598627377
2017-03-13,ret_5,466,0.0873611927524685,0.06011085142859254
2017-03-14,ret_5,465,-0.036968893828803084,-0.1395473871225559
2017-03-15,ret_5,464,-0.15218148643573054,-0.1534215790615323
2017-03-16,ret_5,464,0.056215135791216446,-0.001545628985586464
2017-03-17,ret_5,466,-0.13931415267468134,-0.06746463489111826
2017-03-20,ret_5,467,0.13746961959435097,0.09134269062588214
2017-03-21,ret_5,467,0.00505814818022773,-0.07768230576995945
2017-03-22,ret_5,467,0.028979365208159285,0.0049135318690104925
2017-03-23,ret_5,465,-0.19202845189737225,-0.23596798028383534
2017-03-24,ret_5,465,0.0645430134667827,-0.09477785803215959
2017-03-27,ret_5,464,0.23489183134621422,0.15801840258391775
2017-03-28,ret_5,465,0.10411073513320965,0.05829159912786096
2017-03-29,ret_5,463,-0.3660394459194078,-0.14634803354746753
2017-03-30,ret_5,461,-0.015151224080431909,-0.024275597823808694
2017-03-31,ret_5,462,-0.08915971131922013,-0.08294696659611016
2017-04-05,ret_5,463,0.17562862520802314,0.06943562534081027
2017-04-06,ret_5,461,0.5109287291513691,0.26002270129779675
2017-04-07,ret_5,460,0.24503633363760755,-0.017992353522727506
2017-04-10,ret_5,460,-0.22066271034369148,-0.2652480018991671
2017-04-11,ret_5,454,0.3077127193633934,0.08079471061013634
2017-04-12,ret_5,454,-0.13206386911473716,-0.07333442528089873
2017-04-13,ret_5,456,-0.4123713228731864,-0.21149878191008012
2017-04-14,ret_5,457,0.043784208519491684,-0.014658922864004196
2017-04-17,ret_5,458,-0.08203269987829416,-0.10213372849149017
2017-04-18,ret_5,458,0.3135583137736597,0.2916836570515323
2017-04-19,ret_5,459,-0.09943369255874536,-0.07228360296543
2017-04-20,ret_5,454,0.21982361014634405,0.3247201716564555
2017-04-21,ret_5,455,0.022404580370871965,-0.009019571627889746
2017-04-24,ret_5,457,-0.1755703676790828,-0.19197847041716926
2017-04-25,ret_5,459,-0.05984817874921332,-0.05510460752220402
2017-04-26,ret_5,459,-0.12872693163347138,-0.24634018818236367
2017-04-27,ret_5,461,0.15743442755042883,0.05378424316494548
2017-04-28,ret_5,460,-0.23299274741902662,-0.06087101303734167
2017-05-02,ret_5,461,0.0871904801045014,0.011480952616122612
2017-05-03,ret_5,461,-0.1640402613606686,-0.09012609066531897
2017-05-04,ret_5,459,-0.06608333592629592,-0.0927950823228189
2017-05-05,ret_5,462,-0.11702356199825041,-0.1343825859312778
2017-05-08,ret_5,461,0.23606950606803503,0.20163315292296183
2017-05-09,ret_5,464,-0.17022113681460097,-0.1588830087899863
2017-05-10,ret_5,459,-0.012182734142006334,-0.0712412757946841
2017-05-11,ret_5,460,0.03666631325215881,0.042312495828673274
2017-05-12,ret_5,461,-0.13927290642901444,-0.1890809535616249
2017-05-15,ret_5,460,-0.17127635258654897,-0.16944354133316103
2017-05-16,ret_5,462,-0.0071627355658238825,0.006696654028116147
2017-05-17,ret_5,463,0.023750110164644803,-0.07796442022853368
2017-05-18,ret_5,465,-0.10621796336443717,-0.0020103516280512495
2017-05-19,ret_5,466,-0.019535178109744988,0.02024668806557589
2017-05-22,ret_5,466,0.2103623292964229,0.11640923972483934
2017-05-23,ret_5,464,0.04502178832800478,-0.01051047529491343
2017-05-24,ret_5,464,-0.03753946807947897,0.01827232698695323
2017-05-25,ret_5,468,-0.05790745060225668,0.016700652632908125
2017-05-26,ret_5,467,0.33995149420332516,0.3641100472706535
2017-05-31,ret_5,469,0.10107651968199761,0.02327536375777752
2017-06-01,ret_5,468,-0.346721736792894,-0.3116276312145162
2017-06-02,ret_5,467,-0.10158906222301306,-0.0925057524090974
2017-06-05,ret_5,470,-0.18443629339208348,-0.29130469332339237
2017-06-06,ret_5,468,0.028913178759585215,0.045072437015590695
2017-06-07,ret_5,469,-0.11465884751355213,-0.03649819190727304
2017-06-08,ret_5,468,-0.08445701031898831,-0.13669784919507502
2017-06-09,ret_5,467,0.026706995721972524,-0.002809509621569713
2017-06-12,ret_5,471,0.030295786098975302,-0.14940467353263998
2017-06-13,ret_5,468,-0.11314372122888178,-0.18356180329275978
2017-06-14,ret_5,467,-0.027194840448581777,-0.044481329217295605
2017-06-15,ret_5,466,0.00856789142765161,-0.02709288877827684
2017-06-16,ret_5,466,-0.09103508763436201,-0.05853149903535919
2017-06-19,ret_5,467,-0.23833131470487037,-0.23575042258022133
2017-06-20,ret_5,466,-0.14155677654647927,-0.1697154236545845
2017-06-21,ret_5,468,0.23728945424132483,0.21422081183398875
2017-06-22,ret_5,468,-0.04089615627877501,-0.022991776330002833
2017-06-23,ret_5,467,-0.039234669709248056,-0.04939529747814848
2017-06-26,ret_5,467,0.11397074502391298,0.16790570954178835
2017-06-27,ret_5,468,0.03041838914912228,0.045091487583915554
2017-06-28,ret_5,431,-0.06887466972855756,0.07572832860942594
2017-06-29,ret_5,431,-0.010604322471565458,-0.07558042960189633
2017-06-30,ret_5,426,-0.18552501091328527,-0.21283745961363582
2017-07-03,ret_5,426,0.08642505836453752,0.05882636232337104
2017-07-04,ret_5,427,0.19663230443098287,0.1622537041440093
2017-07-05,ret_5,427,0.25081775099288295,0.2494575263826965
2017-07-06,ret_5,427,0.08087586644278624,-0.015922238650461478
2017-07-07,ret_5,474,-0.40227155612506643,-0.4377328013493508
2017-07-10,ret_5,474,0.4011935656541313,0.22434668663634683
2017-07-11,ret_5,474,0.12374630024543437,0.2412539301607134
2017-07-12,ret_5,476,-0.0180229536074362,-0.07351063130790765
2017-07-13,ret_5,474,0.12447629080895437,0.1331632460613533
2017-07-14,ret_5,473,0.20138053252741728,0.1607696442545629
2017-07-17,ret_5,472,0.18937041765938004,0.13917994204877268
2017-07-18,ret_5,471,0.038890143726483736,-0.028358812722704244
2017-07-19,ret_5,470,0.14139611883628198,0.10107596861039235
2017-07-20,ret_5,469,-0.052172588257235836,-0.04956396281096901
2017-07-21,ret_5,469,0.006411468814792732,-0.11681400367435904
2017-07-24,ret_5,470,0.28103150902379465,0.2168963537168201
