datetime,factor,top_count,turnover
2017-01-11,ret_5,93,0.32258064516129037
2017-01-12,ret_5,90,0.32258064516129037
2017-01-13,ret_5,93,0.38888888888888884
2017-01-16,ret_5,93,0.4193548387096774
2017-01-17,ret_5,93,0.30107526881720426
2017-01-18,ret_5,93,0.25806451612903225
2017-01-19,ret_5,93,0.24731182795698925
2017-01-20,ret_5,93,0.30107526881720426
2017-01-23,ret_5,93,0.4731182795698925
2017-01-24,ret_5,93,0.32258064516129037
2017-01-25,ret_5,93,0.3870967741935484
2017-01-26,ret_5,93,0.3548387096774194
2017-02-03,ret_5,93,0.29032258064516125
2017-02-06,ret_5,93,0.3978494623655914
2017-02-07,ret_5,93,0.3870967741935484
2017-02-08,ret_5,94,0.3763440860215054
2017-02-09,ret_5,94,0.46808510638297873
2017-02-10,ret_5,93,0.44680851063829785
2017-02-13,ret_5,93,0.3655913978494624
2017-02-14,ret_5,93,0.23655913978494625
2017-02-15,ret_5,94,0.26881720430107525
2017-02-16,ret_5,94,0.2872340425531915
2017-02-17,ret_5,94,0.34042553191489366
2017-02-20,ret_5,92,0.3829787234042553
2017-02-21,ret_5,92,0.2934782608695652
2017-02-22,ret_5,93,0.3913043478260869
2017-02-23,ret_5,93,0.3548387096774194
2017-02-24,ret_5,93,0.26881720430107525
2017-02-27,ret_5,92,0.34408602150537637
2017-02-28,ret_5,93,0.25
2017-03-01,ret_5,93,0.31182795698924726
2017-03-02,ret_5,93,0.3655913978494624
2017-03-03,ret_5,94,0.32258064516129037
2017-03-06,ret_5,94,0.3191489361702128
2017-03-07,ret_5,94,0.2978723404255319
2017-03-08,ret_5,94,0.22340425531914898
2017-03-09,ret_5,94,0.276595744680851
2017-03-10,ret_5,94,0.2872340425531915
2017-03-13,ret_5,94,0.3191489361702128
2017-03-14,ret_5,93,0.3085106382978723
2017-03-15,ret_5,93,0.24731182795698925
2017-03-16,ret_5,93,0.24731182795698925
2017-03-17,ret_5,93,0.3870967741935484
2017-03-20,ret_5,94,0.32258064516129037
2017-03-21,ret_5,94,0.36170212765957444
2017-03-22,ret_5,94,0.2978723404255319
2017-03-23,ret_5,93,0.2872340425531915
2017-03-24,ret_5,94,0.29032258064516125
2017-03-27,ret_5,93,0.23404255319148937
2017-03-28,ret_5,93,0.29032258064516125
2017-03-29,ret_5,93,0.33333333333333337
2017-03-30,ret_5,93,0.32258064516129037
2017-03-31,ret_5,93,0.3548387096774194
2017-04-05,ret_5,93,0.3978494623655914
2017-04-06,ret_5,93,0.30107526881720426
2017-04-07,ret_5,93,0.31182795698924726
2017-04-10,ret_5,92,0.31182795698924726
2017-04-11,ret_5,92,0.2934782608695652
2017-04-12,ret_5,93,0.32608695652173914
2017-04-13,ret_5,92,0.3978494623655914
2017-04-14,ret_5,92,0.3369565217391305
2017-04-17,ret_5,92,0.5652173913043479
2017-04-18,ret_5,92,0.40217391304347827
2017-04-19,ret_5,93,0.34782608695652173
2017-04-20,ret_5,92,0.29032258064516125
2017-04-21,ret_5,92,0.1630434782608695
2017-04-24,ret_5,92,0.3586956521739131
2017-04-25,ret_5,93,0.2065217391304348
2017-04-26,ret_5,92,0.33333333333333337
2017-04-27,ret_5,93,0.3152173913043478
2017-04-28,ret_5,93,0.3548387096774194
2017-05-02,ret_5,93,0.3978494623655914
2017-05-03,ret_5,93,0.33333333333333337
