view,pair_id,expected_dates,valid_dates,valid_date_fraction,insufficient_dates,constant_dates,positive_fraction,negative_fraction,zero_fraction,sign_consistency,dominant_sign,mean_signed_rho,median_signed_rho,q10_signed_rho,mean_abs_rho,median_abs_rho,q10_abs_rho,mean_n_common,median_n_common,q10_n_common,min_n_common,mean_common_coverage,median_common_coverage,q10_common_coverage,mean_jaccard,median_jaccard,q10_jaccard,comparable,factor,control,self_comparison,interpretation,exposure_role
Full,418.0,3382.0,3382.0,1.0,0.0,0.0,0.5612063867534004,0.43879361324659966,0.0,0.5612063867534004,1.0,0.04552979045976637,0.02869649362242741,-0.17757385488949057,0.14811569040964548,0.12353098167998736,0.02265178719933528,1898.7817859254878,1932.0,1720.0,977.0,0.9670792560775355,0.975,0.922,0.9992683416518391,0.9994984954864594,0.9978947368421053,True,alpha158_BETA10,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,910.0,3382.0,3382.0,1.0,0.0,0.0,0.6076286221170905,0.39237137788290954,0.0,0.6076286221170905,1.0,0.06521648935537654,0.0634458078737339,-0.17806593716968153,0.1639789716790384,0.139392818725164,0.028316191249864044,1899.2108219988172,1932.0,1721.0,977.0,0.9672957888885199,0.975,0.923,0.9995006527926588,1.0,0.9984160506863781,True,alpha158_BETA20,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,1401.0,3382.0,3382.0,1.0,0.0,0.0,0.6419278533412183,0.3580721466587818,0.0,0.6419278533412183,1.0,0.07953320461311356,0.07867968799296304,-0.1778453560275356,0.17388197022356758,0.15048398878913982,0.031701731587320724,1899.374926079243,1932.0,1721.0,978.0,0.9673801066370004,0.975,0.923,0.9995918451117666,1.0,0.9989047696982886,True,alpha158_BETA30,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,1891.0,3382.0,3382.0,1.0,0.0,0.0,0.5325251330573625,0.4674748669426375,0.0,0.5325251330573625,1.0,0.031629180382963265,0.015912554567731035,-0.1753233052783176,0.13692488974614855,0.11343846709796926,0.02150820425974523,1897.9562389118864,1931.0,1718.1,977.0,0.9666589818763295,0.9745,0.9215,0.9988079793082711,0.9994656692111261,0.9969483943613441,True,alpha158_BETA5,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,2380.0,3382.0,3382.0,1.0,0.0,0.0,0.6859846244825547,0.3140153755174453,0.0,0.6859846244825547,1.0,0.10707667989323362,0.09495662475815793,-0.13953504624434662,0.17836830410851112,0.14308209272079866,0.027415555597772055,1899.6191602602012,1932.0,1722.0,978.0,0.9675034076232848,0.9750514607580636,0.9235,0.9997244129116716,1.0,0.9990255651465141,True,alpha158_BETA60,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,2868.0,3382.0,3382.0,1.0,0.0,0.0,0.3255470136014193,0.6744529863985808,0.0,0.6744529863985808,-1.0,-0.05538162840676781,-0.07123543668122438,-0.2449319671534444,0.13742400054484138,0.1251892434379827,0.026623982776159485,1899.804553518628,1933.0,1722.0,978.0,0.9675963989069934,0.9750953202906006,0.9235,0.9675963989069934,0.9750953202906006,0.9235,True,alpha158_CNTD30,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,3355.0,3382.0,3382.0,1.0,0.0,0.0,0.3187463039621526,0.6812536960378475,0.0,0.6812536960378475,-1.0,-0.05463702548473677,-0.07065603566656467,-0.23104870724914736,0.1294520651278014,0.11783090984597827,0.026130831785405068,1899.804553518628,1933.0,1722.0,978.0,0.9675963989069934,0.9750953202906006,0.9235,0.9675963989069934,0.9750953202906006,0.9235,True,alpha158_CNTP30,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,3841.0,3382.0,3382.0,1.0,0.0,0.0,0.38054405677114134,0.6194559432288587,0.0,0.6194559432288587,-1.0,-0.026546746713729603,-0.036306187276954865,-0.15873715420184506,0.0943073429473728,0.08151983359668481,0.016830904771192014,1897.6540508574808,1931.0,1718.1,977.0,0.9665090864571102,0.9745,0.921,0.9874701650410413,0.9897172209322489,0.9732903002965639,True,alpha158_CORD10,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,4326.0,3382.0,3382.0,1.0,0.0,0.0,0.33944411590774687,0.6605558840922531,0.0,0.6605558840922531,-1.0,-0.04080685357616453,-0.051919291799028766,-0.18530004533910638,0.10516747443365312,0.09224626145699755,0.018464942606046603,1898.602010644589,1931.5,1720.0,977.0,0.9669872324123343,0.9747829084675015,0.922,0.9824787290745709,0.9850399783702195,0.9614796592160211,True,alpha158_CORD20,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,4810.0,3382.0,3382.0,1.0,0.0,0.0,0.30573625073920757,0.6942637492607925,0.0,0.6942637492607925,-1.0,-0.05279836696468584,-0.06949586272775599,-0.2015156334990386,0.11414836758049568,0.10352730932116846,0.020551619333862906,1898.9535777646363,1932.0,1721.0,977.0,0.9671678607258255,0.975,0.9225,0.9786369575047421,0.9818776731534431,0.9517237520551601,True,alpha158_CORD30,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,5293.0,3382.0,3382.0,1.0,0.0,0.0,0.4142519219396807,0.5857480780603194,0.0,0.5857480780603194,-1.0,-0.014696558566954059,-0.02206736388946538,-0.1410841753903384,0.08514964629458482,0.07207516936423358,0.012965749491163785,1895.6058545239503,1929.0,1714.0,977.0,0.9654603428211365,0.9734693877551021,0.9195,0.9908698213078372,0.9929767693138843,0.9803426906881914,True,alpha158_CORD5,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,5775.0,3382.0,3382.0,1.0,0.0,0.0,0.2637492607924305,0.7362507392075694,0.0,0.7362507392075694,-1.0,-0.0805196478222154,-0.0929132623752645,-0.2407899770079522,0.1304281725194467,0.12060984883994447,0.026775834266675673,1899.4606741573034,1932.0,1721.1,978.0,0.967423881275136,0.9750080076873799,0.923,0.9705606488553586,0.9767140619351729,0.9305835010060363,True,alpha158_CORD60,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,6256.0,3382.0,3382.0,1.0,0.0,0.0,0.1809580130100532,0.8190419869899468,0.0,0.8190419869899468,-1.0,-0.11079563902446704,-0.12426948512695124,-0.25542544150363955,0.13923105170643846,0.13403841894714352,0.028603098373060406,1898.7776463630987,1932.0,1720.0,977.0,0.967077186296341,0.975,0.922,0.9880465726020818,0.9902164370440377,0.9743346169574699,True,alpha158_CORR10,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,6736.0,3382.0,3382.0,1.0,0.0,0.0,0.13749260792430515,0.8625073920756948,0.0,0.8625073920756948,-1.0,-0.15880587771871227,-0.17322106276930524,-0.3175814041596981,0.18017735572884647,0.17786809989915747,0.03901626814406299,1899.2158486102899,1932.0,1721.0,977.0,0.9672983021942563,0.975,0.923,0.9827787819448359,0.9851527376811366,0.9623863718169384,True,alpha158_CORR20,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,7215.0,3382.0,3382.0,1.0,0.0,0.0,0.12359550561797752,0.8764044943820225,0.0,0.8764044943820225,-1.0,-0.17837568557694627,-0.19532193098356804,-0.3485035906985991,0.19876197890437478,0.19927687464145244,0.046336517483683705,1899.3861620342993,1932.0,1721.0,978.0,0.967385724614528,0.975,0.923,0.9788465752132521,0.981955262194348,0.9520134247774698,True,alpha158_CORR30,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
Full,7693.0,3382.0,3382.0,1.0,0.0,0.0,0.25487876995860437,0.7451212300413956,0.0,0.7451212300413956,-1.0,-0.06213279928006273,-0.06866181250554321,-0.1873533449691353,0.09914343503598377,0.08876877737889843,0.01733259362464237,1897.8882318154938,1931.0,1718.1,977.0,0.9666247945341039,0.9745,0.9215,0.9921089630582303,0.9943137757896903,0.9824458741131111,True,alpha158_CORR5,mature_log_total_market_cap,False,marginal_exposure_annotation_only,unresolved_or_not_dominant
