outer_split_id,fold,date_count,start_date,end_date,key_count,factor_count,allowlist_sha256,feature_order_sha256,canary
split_001,train,20,2021-02-01,2021-03-05,40000,5,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,517b3ac6911fa914787e9052d5277ea757212e7f92ccff4d81131f6e24853a88,True
split_001,validation,10,2024-02-01,2024-02-22,20000,5,b33e0cb90f8d90be2486d432f39a00bdbbbe3c94d4ee18b1b60ea350dd7fe74b,517b3ac6911fa914787e9052d5277ea757212e7f92ccff4d81131f6e24853a88,True
