outer_split_id,inner_split_id,datetime,source_fold,reason
split_001,split_001_inner_001,2022-10-25,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-10-26,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-10-27,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-10-28,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-10-31,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-01,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-02,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-03,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-04,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-07,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-08,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-09,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-10,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-11,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-14,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-15,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-16,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-17,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-18,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-21,train,label_overlap_with_inner_validation
split_001,split_001_inner_001,2022-11-22,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-09,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-10,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-11,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-12,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-15,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-16,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-17,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-18,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-19,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-22,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-23,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-24,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-25,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-26,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-29,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-30,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-05-31,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-06-01,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-06-02,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-06-05,train,label_overlap_with_inner_validation
split_001,split_001_inner_002,2023-06-06,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-01,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-02,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-05,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-06,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-07,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-08,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-19,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-20,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-21,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-22,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-23,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-26,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-27,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-28,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-02-29,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-03-01,train,label_overlap_with_inner_validation
split_001,split_001_inner_003,2024-03-04,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-20,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-21,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-22,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-23,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-24,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-27,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-02-28,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-01,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-02,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-03,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-06,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-07,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-08,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-09,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-10,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-13,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-14,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-15,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-16,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-17,train,label_overlap_with_inner_validation
split_002,split_002_inner_001,2023-03-20,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-09-27,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-09-28,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-09,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-10,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-11,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-12,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-13,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-16,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-17,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-18,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-19,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-20,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-23,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-24,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-25,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-26,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-27,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-30,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-10-31,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-11-01,train,label_overlap_with_inner_validation
split_002,split_002_inner_002,2023-11-02,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-05,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-06,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-07,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-08,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-09,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-12,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-13,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-14,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-15,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-16,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-19,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-20,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-21,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-22,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-23,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-26,train,label_overlap_with_inner_validation
split_002,split_002_inner_003,2024-08-27,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-19,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-20,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-21,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-26,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-27,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-28,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-29,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-06-30,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-03,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-04,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-05,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-06,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-07,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-10,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-11,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-12,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-13,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-14,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-17,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-18,train,label_overlap_with_inner_validation
split_003,split_003_inner_001,2023-07-19,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-05,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-06,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-07,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-08,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-11,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-12,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-13,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-14,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-15,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-18,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-19,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-20,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-21,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-22,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-25,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-26,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-27,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-28,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-03-29,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-04-01,train,label_overlap_with_inner_validation
split_003,split_003_inner_002,2024-04-02,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-07,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-10,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-11,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-12,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-13,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-14,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-17,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-18,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-19,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-20,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-21,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-24,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-25,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-26,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-27,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-02-28,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-03-03,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-03-04,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-03-05,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-03-06,train,label_overlap_with_inner_validation
split_003,split_003_inner_003,2025-03-07,train,label_overlap_with_inner_validation
