selection_source,name,category,source_project,source_file,source_function,source_commit,license,expected_direction,required_fields,labels,stage,enabled,runnable,compute_adapter,registry_name,notes
alpha158,alpha158_MA10,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_first20_v4_smoke_passed,True,True,qlib_expression_frame_v1,alpha158_MA10,"Qlib Alpha158 expression: Mean($close, 10)/$close"
alpha158,alpha158_MAX20,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_MAX20,"Qlib Alpha158 expression: Max($high, 20)/$close"
alpha158,alpha158_MIN20,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$low","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_MIN20,"Qlib Alpha158 expression: Min($low, 20)/$close"
alpha158,alpha158_QTLD30,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_QTLD30,"Qlib Alpha158 expression: Quantile($close, 30, 0.2)/$close"
alpha158,alpha158_QTLU5,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_QTLU5,"Qlib Alpha158 expression: Quantile($close, 5, 0.8)/$close"
alpha158,alpha158_RANK60,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_RANK60,"Qlib Alpha158 expression: Rank($close, 60)"
alpha158,alpha158_ROC10,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_first20_v4_smoke_passed,True,True,qlib_expression_frame_v1,alpha158_ROC10,"Qlib Alpha158 expression: Ref($close, 10)/$close"
alpha158,alpha158_RSQR10,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_RSQR10,"Qlib Alpha158 expression: Rsquare($close, 10)"
alpha158,alpha158_RSV20,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,"$close,$high,$low","label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_RSV20,"Qlib Alpha158 expression: ($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)"
alpha158,alpha158_STD30,alpha158_rolling_price,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$close,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_STD30,"Qlib Alpha158 expression: Std($close, 30)/$close"
alpha158,alpha158_VMA30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_VMA30,"Qlib Alpha158 expression: Mean($volume, 30)/($volume+1e-12)"
alpha158,alpha158_VSTD30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_VSTD30,"Qlib Alpha158 expression: Std($volume, 30)/($volume+1e-12)"
alpha158,alpha158_VSUMD30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_VSUMD30,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 30)-Sum(Greater(Ref($volume, 1)-$volume, 0), 30))/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
alpha158,alpha158_VSUMN30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_VSUMN30,"Qlib Alpha158 expression: Sum(Greater(Ref($volume, 1)-$volume, 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
alpha158,alpha158_VSUMP30,alpha158_volume_liquidity,qlib_alpha158,qlib/contrib/data/loader.py,Alpha158DL.get_feature_config,d5379c520f66a39953bad76234a7019a72796fd0,MIT,watch,$volume,"label_10d_t1,label_20d_t1",alpha158_remaining138_v4_batch_passed,True,True,qlib_expression_frame_v1,alpha158_VSUMP30,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 30)/(Sum(Abs($volume-Ref($volume, 1)), 30)+1e-12)"
