datetime,instrument,label_20d_t1
2021-02-01,SH600000,0.049919724
2021-02-01,SH600004,0.15470171
2021-02-01,SH600006,-0.06934595
2021-02-01,SH600008,0.0427351
2021-02-01,SH600009,-0.10204083
2021-02-01,SH600010,0.62315786
2021-02-01,SH600011,0.072927594
2021-02-01,SH600015,0.0013779402
2021-02-01,SH600016,0.015678644
2021-02-01,SH600018,0.07538462
2021-02-01,SH600019,0.304142
2021-02-01,SH600022,0.20804441
2021-02-01,SH600025,0.026262641
2021-02-01,SH600026,0.057674408
2021-02-01,SH600027,0.06595373
2021-02-01,SH600028,0.14746547
2021-02-01,SH600029,0.07113814
2021-02-01,SH600030,-0.15661263
2021-02-01,SH600031,-0.12541527
2021-02-01,SH600036,-0.066780746
2021-02-01,SH600037,0.029532313
2021-02-01,SH600038,-0.18830687
2021-02-01,SH600039,0.18363118
2021-02-01,SH600048,0.07573104
2021-02-01,SH600050,0.049475312
2021-02-01,SH600053,-0.009906113
2021-02-01,SH600055,
2021-02-01,SH600056,0.0006982088
2021-02-01,SH600057,0.14144862
2021-02-01,SH600059,-0.0887292
2021-02-01,SH600060,-0.09482986
2021-02-01,SH600061,-0.0778079
2021-02-01,SH600062,0.03375864
2021-02-01,SH600063,0.028098583
2021-02-01,SH600064,0.053420186
2021-02-01,SH600066,0.12005544
2021-02-01,SH600068,0.04108274
2021-02-01,SH600070,0.046112537
2021-02-01,SH600072,-0.03725815
2021-02-01,SH600073,-0.01465863
2021-02-01,SH600079,-0.04277569
2021-02-01,SH600081,-0.060503066
2021-02-01,SH600085,0.07535207
2021-02-01,SH600089,-0.15083176
2021-02-01,SH600093,0.10864091
2021-02-01,SH600094,0.06906617
2021-02-01,SH600095,-0.20830065
2021-02-01,SH600096,0.12389386
2021-02-01,SH600100,0.0806371
2021-02-01,SH600104,-0.09667468
2021-02-01,SH600105,0.10169959
2021-02-01,SH600107,-0.19290549
2021-02-01,SH600108,0.08563423
2021-02-01,SH600109,-0.16341168
2021-02-01,SH600110,-0.25388128
2021-02-01,SH600111,0.10557711
2021-02-01,SH600114,0.10379648
2021-02-01,SH600115,0.082683325
2021-02-01,SH600116,0.02466333
2021-02-01,SH600118,-0.07893515
2021-02-01,SH600120,0.04658866
2021-02-01,SH600125,0.03544247
2021-02-01,SH600126,0.067266226
2021-02-01,SH600127,-0.0042826533
2021-02-01,SH600129,-0.022427738
2021-02-01,SH600131,0.06749761
2021-02-01,SH600132,-0.3082065
2021-02-01,SH600138,0.26164246
2021-02-01,SH600141,0.025953889
2021-02-01,SH600143,-0.24991566
2021-02-01,SH600150,-0.0011931062
2021-02-01,SH600151,0.12664425
2021-02-01,SH600153,0.037204504
2021-02-01,SH600155,-0.079829335
2021-02-01,SH600157,0.04552245
2021-02-01,SH600158,-0.07394457
2021-02-01,SH600160,-0.04400122
2021-02-01,SH600161,-0.17441928
2021-02-01,SH600165,0.04126215
2021-02-01,SH600166,0.11518192
2021-02-01,SH600170,0.03792417
2021-02-01,SH600171,-0.008405507
2021-02-01,SH600172,0.19716156
2021-02-01,SH600176,-0.18123728
2021-02-01,SH600177,0.076395154
2021-02-01,SH600183,0.060266495
2021-02-01,SH600185,-0.07053578
2021-02-01,SH600188,0.3500172
2021-02-01,SH600191,0.09729183
2021-02-01,SH600195,-0.05729413
2021-02-01,SH600196,-0.16616428
2021-02-01,SH600197,-0.22302079
2021-02-01,SH600198,0.23494565
2021-02-01,SH600199,-0.1997801
2021-02-01,SH600200,0.016816378
2021-02-01,SH600201,-0.11657548
2021-02-01,SH600203,-0.14774197
2021-02-01,SH600206,-0.018084288
2021-02-01,SH600208,0.030229092
2021-02-01,SH600211,-0.11813277
