case,factor,expected_dependency_class,status,detail
proven_pure_time_series,alpha158_BETA10,pure_time_series,pass,"qlib_per_instrument_expression;expression=Slope($close, 10)/$close;Qlib Rank is rolling Rank(value,window), not cross-sectional rank"
proven_cross_sectional,kunquant_alpha101_alpha033,cross_sectional,pass,wide_pandas_cross_section;ast_calls=rank;cross=rank;temporal=none;adapter_fallback=matrix_v3_positional_axis_relabel_when_lengths_match_v4_forbids_relabel
mixed_complex,kunquant_alpha101_alpha002,mixed,pass,"wide_pandas_cross_section;ast_calls=correlation,delta,fillna,log,rank,replace;cross=rank;temporal=correlation,delta;adapter_fallback=matrix_v3_positional_axis_relabel_when_lengths_match_v4_forbids_relabel"
alpha101_fallback_sensitive,kunquant_alpha101_alpha002,mixed,pass,"wide_pandas_cross_section;ast_calls=correlation,delta,fillna,log,rank,replace;cross=rank;temporal=correlation,delta;adapter_fallback=matrix_v3_positional_axis_relabel_when_lengths_match_v4_forbids_relabel"
unknown_fail_closed_fixture,__unknown_fixture__,unknown,pass,unknown must never permit filter-only reuse
