factor,source_family,batch_id,dependency_class,cross_sectional_operator_present,max_lookback_trading_days,state_propagation_rule,classification_evidence,classifier_version,affected_date_count,fallback_sensitive,filter_only_reuse_allowed,recompute_policy,review_status
kunquant_alpha101_alpha002,alpha101,alpha101_001,mixed,True,6,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,delta,fillna,log,rank,replace;cross=rank;temporal=correlation,delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha003,alpha101,alpha101_001,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=correlation,fillna,rank,replace;cross=rank;temporal=correlation;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha004,alpha101,alpha101_001,mixed,True,9,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=rank,ts_rank;cross=rank;temporal=ts_rank;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha005,alpha101,alpha101_001,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=abs,rank,ts_sum;cross=rank;temporal=ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha006,alpha101,alpha101_001,pure_time_series,False,10,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=correlation,fillna,replace;cross=none;temporal=correlation;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha008,alpha101,alpha101_001,mixed,True,10,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delay,rank,ts_sum;cross=rank;temporal=delay,ts_sum;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha009,alpha101,alpha101_001,pure_time_series,False,5,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delta,ts_max,ts_min;cross=none;temporal=delta,ts_max,ts_min;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha010,alpha101,alpha101_001,pure_time_series,False,4,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delta,ts_max,ts_min;cross=none;temporal=delta,ts_max,ts_min;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha011,alpha101,alpha101_001,mixed,True,3,same_date_universe_and_instrument_history,"wide_pandas_cross_section;ast_calls=delta,rank,ts_max,ts_min;cross=rank;temporal=delta,ts_max,ts_min;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,235,True,False,mandatory_recompute_audit,proven
kunquant_alpha101_alpha012,alpha101,alpha101_001,pure_time_series,False,1,instrument_local_history_only,"wide_pandas_cross_section;ast_calls=delta,sign;cross=none;temporal=delta;adapter_fallback=positional_axis_relabel_when_lengths_match",factor_dependency_ast_v1,0,True,False,mandatory_recompute_audit,proven
