candidate_sha256,structural_row_id,num_boost_round,repeat,model_text_sha256,prediction_sha256,prediction_finite,wall_seconds
cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,structure_01,100,0,84e488b06a1b43fd820482ead461a8515bfd7eb9cb8003ecec511fccb3b3a8c4,674d5399af819a1a8c9ee4ef2328aaccba0273273e042963f87283c15e753063,True,0.1312273000003188
82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,structure_01,200,0,e91a94e92631c20b5cd9e7a0e2a366585002b21b5f5927eecdcf9aa1cdd6b2d7,478b4149fbe307afac04de6b430771915b8512c97c1b1d5ba3c92683cf5861b9,True,0.1875890999999683
0ab1a8dd0a8de00695a6d2e9f9804bdf21a3414afa0bd89f272070c85a0f5105,structure_01,400,0,d665e9438958235df0d84afebf9fc155ed33f8548a285296090c13631f732f11,a8c78cbf91fff8433dec2accb3ea38524c7db5bddd5b982c3aec3cb63cfcb0cb,True,0.3347441999999319
93d5b6d489a16ea749260d0b1f9f0d3dd70c71b22a5c3d1e06b68cce022f5d20,structure_01,800,0,bf4268bdf917583370140fde07f6a993ca6fbde81013a8cb5247b0df44337fda,dc17216cdd79c83c406168fa1a9784b7a8c9749ced14e726c548312cff64b30c,True,0.749826899999789
6d156312536eb60f94dff1776a507d36c309c9598887f214818864ac581e0e76,structure_02,100,0,8e29a7e585b7305f4a90cf4f8e64e8dbce71803052324021cf7813f5dc5fb5d1,685fbde79f639b5a93f8fbd6450f284ba848a7dd3a5267d0f709e30adc54a869,True,0.11777690000008079
6a6a86638a41840a118a5c7bbbc26731a3096329fe1e215b18d61b51a294ab8c,structure_02,200,0,36e00f439d57952286c31d8bf77b64175db026644ce7de954a428a103bb62964,94667da0c1480fa92f5695bcbe2520a4069d31d80e61ab84ca91708f79f01211,True,0.17980420000003505
4429fff93175d3a832eb9183feedb7d79fc753b9f2a32b7ce9d1ffd9c5a9e069,structure_02,400,0,d2905e4549637f2b2c8b59b7495240af9b12e2094bb0242bbaf03dcfc2bf083c,548cb111e8f1bd61dc498ac0e0cbbba3ca2440e80630fb363091dd2e06543ad1,True,0.33153249999986656
6d67affa96ba06e4122bcdab647aaf3114b5f37b3dab9c33f08f67ae28926aff,structure_02,800,0,7a9a4e757004afe37eee63e8e752cf9164402929ce00f1c27a501c070f271e35,3f2e6d73d1db6df02d1471d361548d4155701a459353d7c544b9b8b397f8bb97,True,0.514715900000283
b19bf127b00dc227f05be9a4592e28e095f964df94379dd7512cf47bd40bdd08,structure_03,100,0,a6e2041db068afa9f770693878e5e291dbd6eaa884aeae9de26f1f7d81687cd1,8c6c3adf3ba055756924df174cc1c2303280edda8cb4f9f1b7a3e21c0e947548,True,0.09191749999990861
71c032c49747fcb7bc8cf52578c575a745cbe873f83e549cca26c3f60e08da23,structure_03,200,0,6c1e7d2de5d73899dd6af1d9ec9cc49c0e36f295baba63d9ca187cc2dbf9c39b,832f88f13100407095d800bb78add9e47d4f619d7e5c7150b6810052eb05e33f,True,0.1556865999996262
13d37234db095ccca7f55e54af2c8e4f8181ccf44e63d012cc9d12e29ae13d46,structure_03,400,0,1ed24d090dec5244a703e3915945c29a61abe0e659a9e00845663362905af580,3eb4e4ca94aed2274d33914fd2bddd570db93831ebcdd5243543e11f5df60b5c,True,0.3410582000001341
3a297ec60da703b9888a3000f3d45354eae6d4a7c74ece0e8c551b8644c2f4ac,structure_03,800,0,0c7ef7793a7d9103d398eda8833ffe3a1c1cab82d72f51903f081c8a025a457b,dde354161cc922c673c2412c0a3c16a209140d84796b4b6f31a958b06c79f91c,True,0.7101319000003059
208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,structure_04,100,0,61cfd2678996b80c3d5d77f32ee1b0ecce7ad6235323da26fab9ca7e0cb2b966,c8f4222615d33d3dc38fd456b34f02a3772f5489bf9d6d67c74194563308817e,True,0.10816809999960242
28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,structure_04,200,0,5d76034f752a1fce1d15ed2344d9d4377a1f22b4e3f40cc8d332e529f2eac909,fc4761f75730edb5e3056902f1cbe801bc99a3fb0326a0c25a7ee9154b5859f2,True,0.2119090999999571
1d04e7d2abb33204e29399d044e645eaf4155b5303421a0300b3f7e0e6fa43f0,structure_04,400,0,7adba2be792daddb4073ac4918de4b27572d130cbf667ffad8891bf17443d34c,0810fd3a23999d0f0408e5a466ab035f65c725986561d39834a6f887750a965e,True,0.3465875000001688
dddc31dd67d609b2ee4b8fdb2cb0d3757d98241359c4e65b2ee556ad1efc3dab,structure_04,800,0,1659e5d5bb9fc3fab18d2b1ede4a401a3410deaf4e928817cc9ad31f996c103d,4c9abff54d6cfaa521246c4a217b27b8ba802cc4463e525ecdd6429ab0c08690,True,0.5694731999997202
