cluster_id,factor,window_count,eligible_window_count,selected_window_count,selection_frequency,direction_adjusted_positive_window_ratio,direction_agreement_ratio,median_train_ic,median_validation_ic,median_test_ic,worst_test_ic,median_oos_degradation,worst_oos_degradation,fdr_pass_frequency,coverage_min,coverage_median,stability_role,role_reason,representative_score,is_representative
cluster_001,alpha158_OPEN0,3,3,3,1.0,1.0,1.0,0.0132466606914748,0.0142484455098283,0.0164076300948322,0.0110354725251013,-0.003212972984727,-0.014315799459366,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01431579945936607,1.0,True
cluster_002,ta_volume_em,3,3,2,0.6666666666666666,1.0,1.0,-0.0105188369646606,-0.02259651276055,-0.009325720304555,-0.0238060849918967,-0.008000420192028,-0.0172104126154027,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.017210412615402768,0.8666666666666666,True
cluster_003,alpha158_CNTP5,3,3,3,1.0,1.0,1.0,-0.0180020056951667,-0.0341901051081126,-0.0228287899888575,-0.0351834987941595,-0.0152552046012244,-0.0182655423217553,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.01826554232175534,1.0,True
cluster_004,ta_trend_psar_up_indicator,3,3,2,0.6666666666666666,1.0,1.0,-0.0040158613812775,-0.0106743380095977,-0.0052133369346288,-0.0158105064169613,-0.002399701175981,-0.0099355707593258,1.0,0.974025974025974,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.009935570759325814,0.8666666666666666,True
cluster_005,alpha360_VOLUME18,3,3,3,1.0,1.0,1.0,0.0210495740985111,0.0275017186208497,0.0523014869601846,0.0302881849598736,0.0247997683393348,-0.0278904055536797,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027890405553679748,1.0,True
cluster_006,alpha360_VOLUME36,3,3,3,1.0,1.0,1.0,0.0434219341447398,0.067797540743339,0.0571046571408262,0.0405375754511234,-0.0150713028720114,-0.0272599652922156,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.027259965292215617,1.0,True
cluster_007,alpha360_VOLUME54,3,3,3,1.0,1.0,1.0,0.0498706935870879,0.0707765819821916,0.0507860727763123,0.0499541063353561,-0.0208224756468355,-0.0252359184852698,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.02523591848526987,1.0,True
cluster_008,alpha158_CORD30,3,3,2,0.6666666666666666,0.6666666666666666,1.0,-0.0556272753399741,-0.0451468831910243,-0.0381931037644408,-0.0575884121152935,-0.0060922400041707,-0.0280788511281259,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=0.667;direction_agreement=1.000;direction_adjusted_positive_ratio=0.667;worst_oos_degradation=-0.02807885112812597,0.8666666666666666,True
cluster_009,kunquant_alpha101_alpha029,3,3,3,1.0,1.0,1.0,0.0145172634017039,0.0392834645715085,0.0135402507175483,0.0094417631892433,-0.0086038472174549,-0.0257432138539602,1.0,1.0,1.0,stable_core,eligible_windows=3;selection_frequency=1.000;direction_agreement=1.000;direction_adjusted_positive_ratio=1.000;worst_oos_degradation=-0.025743213853960285,1.0,True
