factor,decision,reason,alphalens_status,jqfactor_status,qlib_status
ta_volatility_bbli,holdout,alphalens_reloaded_partial:quantile_turnover,partial_pass,partial_pass,pass
ta_volatility_kchi,holdout,alphalens_reloaded_partial:quantile_turnover,partial_pass,partial_pass,pass
ta_momentum_ao,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_kama,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_ppo,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_ppo_hist,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_ppo_signal,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_pvo,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_pvo_hist,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_pvo_signal,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_stoch,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_stoch_rsi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_stoch_rsi_d,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_stoch_rsi_k,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_stoch_signal,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_tsi,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_uo,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_momentum_wr,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_adx,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_adx_neg,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_adx_pos,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
ta_trend_aroon_down,promoted,required_pass_allowed_partials_only,pass,partial_pass,pass
