factor,source_catalog_present,promoted,reason
ta_momentum_roc,True,True,required_systems_passed_allowed_partials_only
ta_momentum_rsi,True,True,required_systems_passed_allowed_partials_only
ta_trend_macd_diff,True,True,required_systems_passed_allowed_partials_only
ta_volatility_bbw,True,True,required_systems_passed_allowed_partials_only
ta_volume_cmf,True,True,required_systems_passed_allowed_partials_only
