datetime,instrument,ta_momentum_ao,ta_momentum_kama,ta_momentum_ppo,ta_momentum_ppo_hist,ta_momentum_ppo_signal,ta_momentum_pvo,ta_momentum_pvo_hist,ta_momentum_pvo_signal,ta_momentum_roc,ta_momentum_rsi,ta_momentum_stoch,ta_momentum_stoch_rsi,ta_momentum_stoch_rsi_d,ta_momentum_stoch_rsi_k,ta_momentum_stoch_signal,ta_momentum_tsi,ta_momentum_uo,ta_momentum_wr,ta_trend_adx,ta_trend_adx_neg,ta_trend_adx_pos,ta_trend_aroon_down,ta_trend_aroon_ind,ta_trend_aroon_up,ta_trend_cci,ta_trend_dpo,ta_trend_ema_fast,ta_trend_ema_slow,ta_trend_ichimoku_a,ta_trend_ichimoku_b,ta_trend_ichimoku_base,ta_trend_ichimoku_conv,ta_trend_kst,ta_trend_kst_diff,ta_trend_kst_sig,ta_trend_macd,ta_trend_macd_diff,ta_trend_macd_signal,ta_trend_mass_index,ta_trend_psar_down,ta_trend_psar_down_indicator,ta_trend_psar_up,ta_trend_psar_up_indicator,ta_trend_sma_fast,ta_trend_sma_slow,ta_trend_stc,ta_trend_trix,ta_trend_vortex_ind_diff,ta_trend_vortex_ind_neg,ta_trend_vortex_ind_pos,ta_volatility_atr,ta_volatility_bbh,ta_volatility_bbhi,ta_volatility_bbl,ta_volatility_bbli,ta_volatility_bbm,ta_volatility_bbp,ta_volatility_bbw,ta_volatility_dch,ta_volatility_dcl,ta_volatility_dcm,ta_volatility_dcp,ta_volatility_dcw,ta_volatility_kcc,ta_volatility_kch,ta_volatility_kchi,ta_volatility_kcl,ta_volatility_kcli,ta_volatility_kcp,ta_volatility_kcw,ta_volatility_ui,ta_volume_adi,ta_volume_cmf,ta_volume_em,ta_volume_fi,ta_volume_mfi,ta_volume_obv,ta_volume_sma_em,ta_volume_vwap
2020-10-23,SH600000,,5.0619043945161835,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,5.067577362060547,,5.093895673751831,,,,,,,,5.197926998138428,0.0,,0.0,,,,,,,,0.08302159309387207,,0.0,,0.0,,,,,,,,,5.047910165786743,5.1349493026733395,0.0,4.96087121963501,0.0,0.7190272940782039,3.4485178483995216,,29343.969,,0.10351938,,,2488531.0,,
2020-10-26,SH600000,,5.061752201732072,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,5.035406032292828,,,5.067577362060547,,5.093895673751831,,,,,,,,5.193696022033691,0.0,,0.0,5.037935137748718,,,,,,,0.083108811378479,,0.0,,0.0,,,,,,,,,5.053176593780518,5.137594556808471,0.0,4.968758821487427,0.0,0.3842457315444059,3.3411801900778344,,-850292.75,,-0.15291007,,,1483233.5,,
2020-10-27,SH600000,,5.060638641467784,,,,,,,0.6413804,,,,,,,,,,0.0,0.0,0.0,,,,,,5.025446456974641,,,5.067577362060547,,5.088659286499023,,,,,,,,5.189549446105957,0.0,,0.0,5.040574947992961,,,,,,,0.08109437417984008,,0.0,,0.0,,,,,,,,,5.051446199417114,5.137961530685425,0.0,4.9649309635162355,0.0,0.03316078368259283,3.425366921440351,,-1576221.5,,-0.5627557,,,757304.7,,
2020-10-28,SH600000,,5.057413328695802,,,,,,,-1.9755781,40.74648653237582,3.6373830291844045,,,,,,,-96.3626169708156,0.0,0.0,0.0,,,,,,5.010581308860416,,,5.062492847442627,,5.062492847442627,,,,,,,,5.1807942390441895,0.0,,0.0,5.0322970151901245,,,,,,,0.08032574944496154,,0.0,,0.0,,,,,,,,,5.046389150619507,5.137099313735962,0.0,4.955679082870484,1.0,-0.14803249069956068,3.59505035086734,1.2630500011506585,-2201235.2,,-0.37304458,7749.315846899427,69.09406407293085,-117721.375,,5.040067903940664
2020-10-29,SH600000,,5.047980525217924,,,,,,,-1.7826451,38.96995607176912,5.080715092128103,,,,,,,-94.9192849078719,0.0,0.0,0.0,,,,,,4.995536244591626,,,5.051854372024536,,5.051854372024536,-50.34763892181218,0.0,-50.34763892181218,,,,,5.165046691894531,0.0,,0.0,5.024866422017415,,,,-0.04098405234706126,1.0088849014797652,0.9679008491327039,0.07806061529636382,,0.0,,0.0,,,,,,,,,5.033947849273682,5.120462894439697,0.0,4.947432804107666,1.0,-0.200221897404692,3.437264260832517,1.5888235813806144,-2580150.2,,-0.20163389,4732.742126583438,65.26347762451465,-951337.25,-0.004995711946061679,5.0381992808120915
2020-10-30,SH600000,,5.015469260600183,,,,,,,-2.8332222,33.35487515555329,1.4703837225473102,,,,3.396160614619939,,,-98.52961627745269,0.0,21.894839797837214,27.44229024465623,,,,,,4.97396128326548,,,5.028352737426758,,4.991641998291016,-51.768007076655834,-0.7101840774218289,-51.057822999234006,,,,,5.1436076164245605,0.0,,0.0,5.013068715731303,,,,-0.16014287418346596,1.0776110949377595,0.9174682207542936,0.08074115654993057,,0.0,,0.0,,,,,,,,,5.014187431335449,5.102275276184082,0.0,4.926099586486816,1.0,-0.40187491609539133,3.5135441606406914,2.031125366239611,-3542421.0,,-0.22958013,-4724.373936142767,57.549008144394215,-2020527.0,-0.04897909052670002,5.029897375564065
2020-11-02,SH600000,,4.990350415368151,,,,,,,-3.8455584,32.90336027402681,4.226719983804983,,,,3.592606266160132,,,-95.77328001619502,0.0,22.15174493141253,26.06038189027698,,,,,,4.954923387100162,,,5.020567178726196,,4.983856439590454,-53.58484041877091,-1.6846782796912692,-51.90016213907964,,,,,5.11425256729126,0.0,,0.0,4.996903936068217,,,,-0.2515792767436754,1.1121151332064232,0.8605358564627478,0.0784348631605625,,0.0,,0.0,,,,,,,,,4.989380264282227,5.068030166625976,0.0,4.910730266571045,1.0,-0.384712948698598,3.1526941568475597,2.403198394504407,-3945887.0,,-0.25449666,-4694.1354581000505,52.6901829200028,-2908149.0,-0.07486911304295063,5.020490173070806
2020-11-03,SH600000,,4.980197820267497,,,,,,,-4.3201375,37.592278728378574,11.267324119427998,,,,5.654809275260097,,,-88.732675880572,0.0,20.626678965867455,27.47834449291375,,,,,,4.94284557937265,,,5.020567178726196,,4.983856439590454,-54.246106585487716,-1.7594583348060553,-52.48664825068166,,,,,5.0806803703308105,0.0,,0.0,4.97855559984843,,,,-0.1641613154884628,1.0516381808434512,0.8874768653549884,0.07845508915529727,,0.0,,0.0,,,,,,,,,4.9761128425598145,5.053714323043823,0.0,4.898511266708374,1.0,-0.14235305900989173,3.118961752796783,2.6609812131756216,-4808874.5,,0.16559307,822.0451653785276,59.40541626933702,-1613658.1,-0.05949048538293157,5.0107570294406125
2020-11-04,SH600000,,4.966650075487362,,,,,,,-3.2153342,41.09886330170445,16.83679548794535,,,,10.776946530392777,,,-83.16320451205465,0.0,19.493362127534635,25.939564174075162,,,,,,4.935814762746284,,,5.020567178726196,,4.983856439590454,-55.34918545745313,-2.290029765417181,-53.05915569203595,,,,,5.0511369705200195,0.0,,0.0,4.964998046557109,,,,-0.2547670633282304,1.1251150383488226,0.8703479750205922,0.07690139885854196,,0.0,,0.0,,,,,,,,,4.9605443477630615,5.03447527885437,0.0,4.886613273620606,0.0,0.07122855979136088,2.980761683955961,2.859152265723109,-4808867.0,,-0.0016166798,3542.8185680923098,58.501353004648216,-655157.1,-0.0877781957886847,5.000545214868039
2020-11-05,SH600000,,4.959378799069587,,,,,,,-2.2967966,42.860213500335945,19.673998413810864,,,,15.926039340394738,,,-80.32600158618914,0.0,18.297886790684075,27.185835407977876,,,,-71.4856696959499,0.10332396030426061,4.931490084374935,,,5.020567178726196,,4.973384141921997,-56.35227037904163,-2.744262239171391,-53.608008139870236,,,,,5.025138854980469,0.0,,0.0,4.955383896827698,,,,-0.26376957161516446,1.1227568076980308,0.8589872360828663,0.07602750309805398,5.1406651028208294,0.0,4.824763201851411,0.0,4.98271415233612,0.2625535054603479,6.339956323228163,5.2066497802734375,4.834484577178955,5.020567178726196,0.19673998413810864,7.469126097068897,4.945680713653564,5.017514228820801,0.0,4.873847150802613,0.0,0.23566430804432856,2.9048999791184604,3.0088077804427082,-5382657.5,-0.25975436586458023,0.18492752,4644.121691177337,57.3564443590891,410460.12,-0.08858818672264793,4.986513076933671
