factor,category,eligible,exclusion_reason,valid_rows,total_rows,coverage,missing_rate,min,max,mean,source_project,source_function,source_commit,license
ta_momentum_ao,momentum,True,,16832,21285,0.7907916373032652,0.20920836269673482,-12.034056315702557,19.676991945154526,0.0133149197566742,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_kama,momentum,True,,19489,21285,0.9156213295748179,0.0843786704251821,0.14139276215652485,99.19708411898573,5.8421021997688785,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_ppo,momentum,True,,18271,21285,0.8583979328165374,0.14160206718346258,-38.526036118296,21.872081872116546,-0.006531280862331437,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_ppo_hist,momentum,True,,17311,21285,0.8132957481794691,0.18670425182053085,-7.825513209683919,5.896487570473658,0.00504466793784525,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_ppo_signal,momentum,True,,17311,21285,0.8132957481794691,0.18670425182053085,-36.47909654652438,20.842854027151127,-0.021031026283397918,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_pvo,momentum,True,,18271,21285,0.8583979328165374,0.14160206718346258,-87.99875517405293,96.23722743090227,-0.40611317353133214,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_pvo_hist,momentum,True,,17311,21285,0.8132957481794691,0.18670425182053085,-74.94735469160513,106.71152604741144,-0.23813623220643793,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_pvo_signal,momentum,True,,17311,21285,0.8132957481794691,0.18670425182053085,-77.80721109898784,47.858612204937074,-0.504952774472066,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_roc,momentum,True,,19693,21285,0.9252055438101949,0.07479445618980507,-71.4285659790039,91.63729858398438,0.4748261272907257,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_rsi,momentum,True,,19725,21285,0.9267089499647639,0.07329105003523606,3.3473359396396347,96.57600986342308,48.95880007529326,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_stoch,momentum,True,,19428,21285,0.9127554615926708,0.08724453840732915,0.0,100.0,44.984958958294214,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_stoch_rsi,momentum,True,,18148,21285,0.852619215409913,0.14738078459008697,0.0,1.0,0.4787476986069424,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_stoch_rsi_d,momentum,True,,17660,21285,0.8296922715527366,0.17030772844726338,0.0,1.0,0.4753080802053309,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_stoch_rsi_k,momentum,True,,17904,21285,0.8411557434813248,0.15884425651867518,0.0,1.0,0.4771990611621503,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_stoch_signal,momentum,True,,19166,21285,0.9004463237021376,0.09955367629786238,0.0,100.0,45.12093499088448,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_tsi,momentum,True,,16830,21285,0.7906976744186046,0.2093023255813954,-78.37747488630218,86.73018124806073,-0.12670656613243422,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_uo,momentum,True,,17473,21285,0.8209067418369744,0.17909325816302557,14.893495487756399,85.54047130515337,48.74043175232076,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_momentum_wr,momentum,True,,19428,21285,0.9127554615926708,0.08724453840732915,-100.0,-0.0,-55.015041041705786,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_adx,trend,True,,20591,21285,0.967394879022786,0.03260512097721402,0.0,83.281593154229,21.417962762120144,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_adx_neg,trend,True,,20591,21285,0.967394879022786,0.03260512097721402,0.0,52.80691348358384,18.14746846751404,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_adx_pos,trend,True,,20591,21285,0.967394879022786,0.03260512097721402,0.0,62.46410914412975,20.76801542550337,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_aroon_down,trend,True,,17862,21285,0.8391825229034532,0.1608174770965468,0.0,100.0,47.59355055424924,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_aroon_ind,trend,True,,17862,21285,0.8391825229034532,0.1608174770965468,-100.0,100.0,-0.3753219124398164,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_aroon_up,trend,True,,17862,21285,0.8391825229034532,0.1608174770965468,0.0,100.0,47.218228641809425,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_cci,trend,True,,18642,21285,0.8758280479210712,0.12417195207892884,-495.06272970408287,474.4934399594042,0.3155441628373825,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_dpo,trend,True,,18642,21285,0.8758280479210712,0.12417195207892884,-6.296198272705084,12.423591613769531,-0.0028933387244312633,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_ema_fast,trend,True,,19951,21285,0.9373267559314071,0.06267324406859287,0.12056303842217246,100.39572139277296,6.050238000818815,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_ema_slow,trend,True,,18271,21285,0.8583979328165374,0.14160206718346258,0.16545995975657368,96.54887970629441,6.066793995390965,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
ta_trend_ichimoku_a,trend,True,,17862,21285,0.8391825229034532,0.1608174770965468,0.15587449073791504,102.53843307495117,6.134692545533272,ta,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT
