method,trading_days,net_annualized_return,net_ir,maximum_drawdown,average_turnover,positive_day_ratio,final_nav,source_method,start_date,end_date
alpha158_equal,821,-0.03628717760619878,-0.2795497204869344,-0.3068071768370737,0.03993479875883701,0.48599269183922045,8644308.98888122,alpha158_equal,2020-10-12,2024-02-27
old_candidate_equal,821,-0.021331362753096883,-0.13718544060830093,-0.307745690814333,0.0478487962552415,0.48964677222898906,8968250.817551214,old_candidate_equal,2020-10-12,2024-02-27
stable_equal,486,0.00640752448333275,0.2243198983958225,-0.03242346593872203,0.010636455112244007,0.51440329218107,10116390.479743257,equal_directional_zscore,2022-01-06,2024-01-05
cluster_equal,486,0.00640752448333275,0.2243198983958225,-0.03242346593872203,0.010636455112244007,0.51440329218107,10116390.479743257,cluster_equal,2022-01-06,2024-01-05
stability_weight,486,0.012579724073330136,0.21024913258333738,-0.07251554945315508,0.018579479654891616,0.522633744855967,10210286.484246902,stability_weight,2022-01-06,2024-01-05
