method,cost_bps,annualized_return,ir
alpha158_equal,5,-0.03125539296258533,-0.24078598203531987
alpha158_equal,10,-0.03628717760619878,-0.2795497204869344
alpha158_equal,20,-0.046350746893425714,-0.35695151604432296
alpha158_equal,30,-0.05641431618065263,-0.4340955466555501
old_candidate_equal,5,-0.015302414424936442,-0.09840805884416921
old_candidate_equal,10,-0.021331362753096883,-0.13718544060830093
old_candidate_equal,20,-0.03338925940941774,-0.21467397076937547
old_candidate_equal,30,-0.04544715606573859,-0.29198273218508863
equal_directional_zscore,5,0.007747717827475496,0.27081353898934984
equal_directional_zscore,10,0.00640752448333275,0.2243198983958225
equal_directional_zscore,20,0.003727137795047259,0.13082635500285555
equal_directional_zscore,30,0.001046751106761771,0.03681364958337715
cluster_equal,5,0.007747717827475496,0.27081353898934984
cluster_equal,10,0.00640752448333275,0.2243198983958225
cluster_equal,20,0.003727137795047259,0.13082635500285555
cluster_equal,30,0.001046751106761771,0.03681364958337715
stability_weight,5,0.014920738509846475,0.2491792808201863
stability_weight,10,0.012579724073330136,0.21024913258333738
stability_weight,20,0.007897695200297452,0.1321534940276692
stability_weight,30,0.0032156663272647624,0.05384426561435322
