method,capital,max_scaled_participation
alpha158_equal,1000000,0.5202607496319911
alpha158_equal,10000000,5.202607496319912
alpha158_equal,50000000,26.01303748159956
alpha158_equal,100000000,52.02607496319912
old_candidate_equal,1000000,1.0024958847711998
old_candidate_equal,10000000,10.024958847711998
old_candidate_equal,50000000,50.12479423855999
old_candidate_equal,100000000,100.24958847711999
equal_directional_zscore,1000000,0.5862851349140652
equal_directional_zscore,10000000,5.8628513491406515
equal_directional_zscore,50000000,29.31425674570326
equal_directional_zscore,100000000,58.62851349140652
cluster_equal,1000000,0.5862851349140652
cluster_equal,10000000,5.8628513491406515
cluster_equal,50000000,29.31425674570326
cluster_equal,100000000,58.62851349140652
stability_weight,1000000,0.5782936369737037
stability_weight,10000000,5.782936369737037
stability_weight,50000000,28.914681848685188
stability_weight,100000000,57.829363697370376
