datetime,cash,nav,turnover,accounting_error,daily_return,holding_valuation_missing_count,unfilled_shares,calendar_mode,method
2020-10-12,5803018.622116965,10118466.617922705,0.4195704629028589,4.6566128730773926e-09,0.011846661792270563,0,5117400,signal_date_only,alpha158_equal
2020-10-13,5803018.622116965,10083768.49667899,0.0,0.0,-0.003429187697497116,0,0,signal_date_only,alpha158_equal
2020-10-14,5803018.622116965,9996365.442942303,0.0,0.0,-0.008667697375784877,0,0,signal_date_only,alpha158_equal
2020-10-15,5803018.622116965,9949634.234939735,0.0,0.0,-0.004674819890219228,0,0,signal_date_only,alpha158_equal
2020-10-16,5803018.622116965,9911151.880206387,0.0,0.0,-0.0038677155184470013,0,0,signal_date_only,alpha158_equal
2020-10-19,5803018.622116965,9896126.123471778,0.0,0.0,-0.001516045452256476,0,0,signal_date_only,alpha158_equal
2020-10-20,5803018.622116965,9923835.39133839,0.0,0.0,0.0028000115925048696,0,0,signal_date_only,alpha158_equal
2020-10-21,5803018.622116965,9867988.910223763,0.0,0.0,-0.005627509819778886,0,0,signal_date_only,alpha158_equal
2020-10-22,5803018.622116965,9847739.846287888,0.0,0.0,-0.0020519950032470424,0,0,signal_date_only,alpha158_equal
2020-10-23,5803018.622116965,9794246.866820972,0.0,0.0,-0.0054320057497334595,0,0,signal_date_only,alpha158_equal
2020-10-26,5803018.622116965,9775701.832904141,0.0,0.0,-0.001893461964865728,0,0,signal_date_only,alpha158_equal
2020-10-27,5803018.622116965,9759714.322549324,0.0,0.0,-0.0016354335093368144,0,0,signal_date_only,alpha158_equal
2020-10-28,5803018.622116965,9763500.870357674,0.0,0.0,0.0003879773201558301,0,0,signal_date_only,alpha158_equal
2020-10-29,5803018.622116965,9761610.955742221,0.0,0.0,-0.00019356936006331704,0,0,signal_date_only,alpha158_equal
2020-10-30,5803018.622116965,9664939.529799145,0.0,0.0,-0.009903224619519424,0,0,signal_date_only,alpha158_equal
2020-11-02,5803018.622116965,9649729.584598761,0.0,0.0,-0.0015737237831119355,0,0,signal_date_only,alpha158_equal
