method,trading_days,net_annualized_return,net_ir,maximum_drawdown,average_turnover,positive_day_ratio,final_nav,source_method,start_date,end_date
alpha158_equal,486,-0.0885928001603296,-0.6701625067234349,-0.17606823381238978,0.039124543612523405,0.48148148148148145,8942059.470818585,alpha158_equal,2022-01-06,2024-01-05
old_candidate_equal,486,-0.05607796718191423,-0.37567320320665576,-0.17370354738066052,0.04836447905074896,0.49176954732510286,9270483.77472286,old_candidate_equal,2022-01-06,2024-01-05
stable_equal,486,0.00640752448333275,0.2243198983958225,-0.03242346593872203,0.010636455112244007,0.51440329218107,10116390.479743257,equal_directional_zscore,2022-01-06,2024-01-05
cluster_equal,486,0.00640752448333275,0.2243198983958225,-0.03242346593872203,0.010636455112244007,0.51440329218107,10116390.479743257,cluster_equal,2022-01-06,2024-01-05
stability_weight,486,0.012579724073330136,0.21024913258333738,-0.07251554945315508,0.018579479654891616,0.522633744855967,10210286.484246902,stability_weight,2022-01-06,2024-01-05
