regime,method,start,end,return,days
early_2022,alpha158_equal,2022-01-01,2022-06-30,-0.07650275558148445,117
early_2022,cluster_equal,2022-01-01,2022-06-30,-0.005555066677552678,115
early_2022,equal_directional_zscore,2022-01-01,2022-06-30,-0.005555066677552678,115
early_2022,old_candidate_equal,2022-01-01,2022-06-30,-0.0941108175387606,117
early_2022,stability_weight,2022-01-01,2022-06-30,-0.012045103311848049,115
late_2022,alpha158_equal,2022-07-01,2022-12-31,0.019324213016992386,125
late_2022,cluster_equal,2022-07-01,2022-12-31,0.005472919231141571,125
late_2022,equal_directional_zscore,2022-07-01,2022-12-31,0.005472919231141571,125
late_2022,old_candidate_equal,2022-07-01,2022-12-31,0.05329740306788522,125
late_2022,stability_weight,2022-07-01,2022-12-31,-0.008936953537232228,125
year_2023,alpha158_equal,2023-01-01,2023-12-31,-0.10572761160932254,242
year_2023,cluster_equal,2023-01-01,2023-12-31,0.01785362879598207,242
year_2023,equal_directional_zscore,2023-01-01,2023-12-31,0.01785362879598207,242
year_2023,old_candidate_equal,2023-01-01,2023-12-31,-0.06488457628363853,242
year_2023,stability_weight,2023-01-01,2023-12-31,0.04447544038753892,242
