window,sample,label,factor,category,expected_direction,total_rows,valid_rows,coverage,missing_rate,factor_missing_rows,label_missing_rows
main_research_2021_2023,tradable_only,label_10d_t1,ret_5,momentum,watch,824291,821779,0.996952532540086,0.0030474674599140217,894,1625
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,momentum,watch,824291,821691,0.9968457741258852,0.0031542258741148466,894,1716
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,momentum,watch,824291,821317,0.9963920508655317,0.003607949134468269,1356,1625
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,momentum,watch,824291,821232,0.9962889319427242,0.0037110680572758348,1356,1716
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,momentum,watch,824291,821300,0.9963714270809702,0.003628572919029849,1378,1625
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,momentum,watch,824291,821209,0.9962610291753762,0.003738970824623822,1378,1716
main_research_2021_2023,tradable_only,label_10d_t1,rev_5,reversal,positive,824291,821779,0.996952532540086,0.0030474674599140217,894,1625
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,reversal,positive,824291,821691,0.9968457741258852,0.0031542258741148466,894,1716
main_research_2021_2023,tradable_only,label_10d_t1,std_20,risk,negative,824291,816172,0.9901503231261776,0.009849676873822433,6561,1625
main_research_2021_2023,tradable_only,label_20d_t1,std_20,risk,negative,824291,816117,0.990083599117302,0.009916400882697962,6561,1716
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,risk,negative,824291,816470,0.990511845937903,0.00948815406209702,6256,1625
main_research_2021_2023,tradable_only,label_20d_t1,amplitude_20,risk,negative,824291,816420,0.9904511877480162,0.009548812251983785,6256,1716
main_research_2021_2023,tradable_only,label_10d_t1,amount_mean_20,liquidity,watch,824291,816470,0.990511845937903,0.00948815406209702,6256,1625
main_research_2021_2023,tradable_only,label_20d_t1,amount_mean_20,liquidity,watch,824291,816420,0.9904511877480162,0.009548812251983785,6256,1716
main_research_2021_2023,tradable_only,label_10d_t1,amount_std_20,liquidity,watch,824291,816470,0.990511845937903,0.00948815406209702,6256,1625
main_research_2021_2023,tradable_only,label_20d_t1,amount_std_20,liquidity,watch,824291,816420,0.9904511877480162,0.009548812251983785,6256,1716
main_research_2021_2023,tradable_only,label_10d_t1,volume_ratio_5_20,liquidity,watch,824291,816470,0.990511845937903,0.00948815406209702,6256,1625
main_research_2021_2023,tradable_only,label_20d_t1,volume_ratio_5_20,liquidity,watch,824291,816420,0.9904511877480162,0.009548812251983785,6256,1716
main_research_2021_2023,tradable_only,label_10d_t1,corr_ret_volume_20,price_volume,watch,824291,816172,0.9901503231261776,0.009849676873822433,6561,1625
main_research_2021_2023,tradable_only,label_20d_t1,corr_ret_volume_20,price_volume,watch,824291,816117,0.990083599117302,0.009916400882697962,6561,1716
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_5,momentum,watch,635409,621794,0.9785728562233145,0.02142714377668553,591,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_5,momentum,watch,635409,610981,0.9615554705709236,0.03844452942907639,591,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_10,momentum,watch,635409,621446,0.9780251774841087,0.021974822515891335,944,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_10,momentum,watch,635409,610645,0.9610266773054835,0.03897332269451648,944,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,ret_20,momentum,watch,635409,621411,0.977970094852292,0.022029905147707973,1004,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,ret_20,momentum,watch,635409,610617,0.9609826112000303,0.03901738879996974,1004,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,rev_5,reversal,positive,635409,621794,0.9785728562233145,0.02142714377668553,591,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,rev_5,reversal,positive,635409,610981,0.9615554705709236,0.03844452942907639,591,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,std_20,risk,negative,635409,618230,0.9729638705148967,0.027036129485103255,4306,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,std_20,risk,negative,635409,607632,0.9562848496008083,0.043715150399191716,4306,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,amplitude_20,risk,negative,635409,618436,0.9732880711478749,0.026711928852125144,4082,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,amplitude_20,risk,negative,635409,607830,0.9565964599179426,0.04340354008205738,4082,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,amount_mean_20,liquidity,watch,635409,618436,0.9732880711478749,0.026711928852125144,4082,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_mean_20,liquidity,watch,635409,607830,0.9565964599179426,0.04340354008205738,4082,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,amount_std_20,liquidity,watch,635409,618436,0.9732880711478749,0.026711928852125144,4082,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,amount_std_20,liquidity,watch,635409,607830,0.9565964599179426,0.04340354008205738,4082,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,volume_ratio_5_20,liquidity,watch,635409,618436,0.9732880711478749,0.026711928852125144,4082,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,volume_ratio_5_20,liquidity,watch,635409,607830,0.9565964599179426,0.04340354008205738,4082,23861
recent_oos_2024_2026,tradable_only,label_10d_t1,corr_ret_volume_20,price_volume,watch,635409,618230,0.9729638705148967,0.027036129485103255,4306,13035
recent_oos_2024_2026,tradable_only,label_20d_t1,corr_ret_volume_20,price_volume,watch,635409,607632,0.9562848496008083,0.043715150399191716,4306,23861
