window,sample,label,factor_a,factor_b,spearman_corr
main_research_2021_2023,tradable_only,label_10d_t1,ret_5,rev_5,-1.0
main_research_2021_2023,tradable_only,label_10d_t1,ret_5,std_20,0.008635225128037558
main_research_2021_2023,tradable_only,label_10d_t1,ret_5,volume_ratio_5_20,0.3713659543036719
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,ret_5,0.652007671301963
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,ret_20,0.6453941287282614
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,rev_5,-0.652007671301963
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,std_20,0.07053432541904257
main_research_2021_2023,tradable_only,label_10d_t1,ret_10,volume_ratio_5_20,0.49542734014127837
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,ret_5,0.42990892332151537
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,rev_5,-0.42990892332151537
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,std_20,0.18686107313089814
main_research_2021_2023,tradable_only,label_10d_t1,ret_20,volume_ratio_5_20,0.3369429539063501
main_research_2021_2023,tradable_only,label_10d_t1,rev_5,std_20,-0.008635225128037558
main_research_2021_2023,tradable_only,label_10d_t1,rev_5,volume_ratio_5_20,-0.3713659543036719
main_research_2021_2023,tradable_only,label_10d_t1,std_20,volume_ratio_5_20,-0.03897952303644302
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,ret_5,-0.014161808522760146
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,ret_10,0.0425348651304435
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,ret_20,0.17060209438338433
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,rev_5,0.014161808522760146
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,std_20,0.9209555320073716
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,volume_ratio_5_20,-0.07801936658366583
main_research_2021_2023,tradable_only,label_10d_t1,amplitude_20,corr_ret_volume_20,-0.03596528853495978
main_research_2021_2023,tradable_only,label_10d_t1,amount_mean_20,ret_5,-0.13230004649517751
