window,sample,label,factor,bucket_name,bucket,mean_rank_ic,directional_mean_rank_ic,ic_dates
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,liquidity_amount_mean_20,1,-0.029722239324404435,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,liquidity_amount_mean_20,2,-0.03398798329371666,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,liquidity_amount_mean_20,3,-0.027677126199827012,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,liquidity_amount_mean_20,4,-0.03587661698194716,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_5,liquidity_amount_mean_20,5,-0.03486674409405312,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,liquidity_amount_mean_20,1,-0.028425833896715602,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,liquidity_amount_mean_20,2,-0.039834151847209634,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,liquidity_amount_mean_20,3,-0.04428207569828941,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,liquidity_amount_mean_20,4,-0.051918462239264114,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_10,liquidity_amount_mean_20,5,-0.05938966762483364,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,liquidity_amount_mean_20,1,-0.027259159514555948,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,liquidity_amount_mean_20,2,-0.03702564894622224,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,liquidity_amount_mean_20,3,-0.05500213680565587,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,liquidity_amount_mean_20,4,-0.07084882874792492,,726
main_research_2021_2023,tradable_only,label_20d_t1,ret_20,liquidity_amount_mean_20,5,-0.0897010735314747,,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,liquidity_amount_mean_20,1,0.029722239324404435,0.029722239324404435,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,liquidity_amount_mean_20,2,0.03398798329371666,0.03398798329371666,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,liquidity_amount_mean_20,3,0.027677126199827012,0.027677126199827012,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,liquidity_amount_mean_20,4,0.03587661698194716,0.03587661698194716,726
main_research_2021_2023,tradable_only,label_20d_t1,rev_5,liquidity_amount_mean_20,5,0.03486674409405312,0.03486674409405312,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,liquidity_amount_mean_20,1,-0.04432385882194558,0.04432385882194558,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,liquidity_amount_mean_20,2,-0.04775758374348328,0.04775758374348328,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,liquidity_amount_mean_20,3,-0.05973001280868199,0.05973001280868199,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,liquidity_amount_mean_20,4,-0.07997404079884977,0.07997404079884977,726
main_research_2021_2023,tradable_only,label_20d_t1,std_20,liquidity_amount_mean_20,5,-0.09742485263902541,0.09742485263902541,726
