operation,run_id,approval_artifact_id,approval_id,approved_at,consumed_at,consumed_at_source,result_artifact_id,receipt_status,single_use_declared,single_use_enforced_at_execution,approved_commit_sha,execution_code_commit_sha,current_head_binding_satisfied,historical_limitation
materialize,matrix-v3-full-20260721,bulk_run_review_v1:a4e43c3a61a4f21edfd595c3e5535234bddf9b3a29a17b572ba1ebc68a2cfcc2,bulk-run-approval:4787c2645585a0322ab1bcb236d8cc8606d2dc6e25d009e0b83f425571641a83,2026-07-21T02:17:30.864956+00:00,2026-07-22T10:17:33.953611+00:00,final_matrix_publication_time_upper_bound,full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,retrospective_completed,True,False,b0c2f871c768c952e9270f008e6bd3a4ef29d2a9,32e84622f1d99e85c554fd83ec96a774e6fa6dae,False,pre-hardening run; exact inputs/source hashes passed and matrix equivalence is proven
cache_verify,matrix-v3-cache-verify-20260721,bulk_run_review_v1:4d23903763a7a1427fe57ccdcc734f3e2d148961508944b4b134f59a264fd552,bulk-run-approval:a119517183a0ef93d4e9d2f3f0542276a9574bddf34b39ccef8e0af7b9233d16,2026-07-21T02:17:37.140711+00:00,2026-07-22T10:17:33.953611+00:00,final_matrix_publication_time_upper_bound,full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,retrospective_completed,True,False,b0c2f871c768c952e9270f008e6bd3a4ef29d2a9,32e84622f1d99e85c554fd83ec96a774e6fa6dae,False,pre-hardening run; exact inputs/source hashes passed and matrix equivalence is proven
