name,registry_name,category,stage,enabled,runnable,expected_direction,source_project,source_file,source_function,source_commit,license,compute_adapter,required_fields,labels,notes
ta_momentum_ao,ta_momentum_ao,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.790792 Pending TA batch V4 evaluation.
ta_momentum_kama,ta_momentum_kama,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.915621 Pending TA batch V4 evaluation.
ta_momentum_ppo,ta_momentum_ppo,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.858398 Pending TA batch V4 evaluation.
ta_momentum_ppo_hist,ta_momentum_ppo_hist,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.813296 Pending TA batch V4 evaluation.
ta_momentum_ppo_signal,ta_momentum_ppo_signal,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.813296 Pending TA batch V4 evaluation.
ta_momentum_pvo,ta_momentum_pvo,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.858398 Pending TA batch V4 evaluation.
ta_momentum_pvo_hist,ta_momentum_pvo_hist,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.813296 Pending TA batch V4 evaluation.
ta_momentum_pvo_signal,ta_momentum_pvo_signal,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.813296 Pending TA batch V4 evaluation.
ta_momentum_stoch,ta_momentum_stoch,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.912755 Pending TA batch V4 evaluation.
ta_momentum_stoch_rsi,ta_momentum_stoch_rsi,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.852619 Pending TA batch V4 evaluation.
ta_momentum_stoch_rsi_d,ta_momentum_stoch_rsi_d,ta_momentum,ta_adapter_remaining_v4_pending,False,False,watch,ta,ta/wrapper.py,add_all_ta_features,a890410710a6e483c9ba08da7f3dd5089e4b9dff,MIT,factor_research.ta_source.compute_ta_features,"$open,$high,$low,$close,$volume","label_10d_t1,label_20d_t1",Generated from ta wrapper smoke; coverage=0.829692 Pending TA batch V4 evaluation.
