batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,skipped_existing,,5,"ta_momentum_ao,ta_momentum_kama,ta_momentum_ppo,ta_momentum_ppo_hist,ta_momentum_ppo_signal",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_001,2026-06-26T16:19:33,2026-06-26T16:19:33,0.001
batch_002,skipped_existing,,5,"ta_momentum_pvo,ta_momentum_pvo_hist,ta_momentum_pvo_signal,ta_momentum_stoch,ta_momentum_stoch_rsi",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_002,2026-06-26T16:19:33,2026-06-26T16:19:33,0.001
batch_003,skipped_existing,,5,"ta_momentum_stoch_rsi_d,ta_momentum_stoch_rsi_k,ta_momentum_stoch_signal,ta_momentum_tsi,ta_momentum_uo",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_003,2026-06-26T16:19:33,2026-06-26T16:19:33,0.001
batch_004,pass,0.0,5,"ta_momentum_wr,ta_trend_adx,ta_trend_adx_neg,ta_trend_adx_pos,ta_trend_aroon_down",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_004,2026-06-26T16:19:33,2026-06-26T16:20:10,36.773
batch_005,pass,0.0,5,"ta_trend_aroon_ind,ta_trend_aroon_up,ta_trend_cci,ta_trend_dpo,ta_trend_ema_fast",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_005.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_005,2026-06-26T16:20:10,2026-06-26T16:20:47,37.34
batch_006,pass,0.0,5,"ta_trend_ema_slow,ta_trend_ichimoku_a,ta_trend_ichimoku_b,ta_trend_ichimoku_base,ta_trend_ichimoku_conv",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_006.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_006,2026-06-26T16:20:47,2026-06-26T16:21:24,36.936
batch_007,pass,0.0,5,"ta_trend_kst,ta_trend_kst_diff,ta_trend_kst_sig,ta_trend_macd,ta_trend_macd_signal",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_007.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_007,2026-06-26T16:21:24,2026-06-26T16:22:00,35.523
batch_008,pass,0.0,5,"ta_trend_mass_index,ta_trend_psar_down,ta_trend_psar_down_indicator,ta_trend_psar_up,ta_trend_psar_up_indicator",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_008.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_008,2026-06-26T16:22:00,2026-06-26T16:22:34,34.593
batch_009,pass,0.0,5,"ta_trend_sma_fast,ta_trend_sma_slow,ta_trend_stc,ta_trend_trix,ta_trend_vortex_ind_diff",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_009.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_009,2026-06-26T16:22:34,2026-06-26T16:23:10,35.783
batch_010,pass,0.0,5,"ta_trend_vortex_ind_neg,ta_trend_vortex_ind_pos,ta_volatility_atr,ta_volatility_bbh,ta_volatility_bbhi",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_010.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_010,2026-06-26T16:23:10,2026-06-26T16:23:45,34.869
batch_011,pass,0.0,5,"ta_volatility_bbl,ta_volatility_bbli,ta_volatility_bbm,ta_volatility_bbp,ta_volatility_dch",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_011.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_011,2026-06-26T16:23:45,2026-06-26T16:24:20,34.842
batch_012,pass,0.0,5,"ta_volatility_dcl,ta_volatility_dcm,ta_volatility_dcp,ta_volatility_dcw,ta_volatility_kcc",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_012.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_012,2026-06-26T16:24:20,2026-06-26T16:24:55,35.629
batch_013,pass,0.0,5,"ta_volatility_kch,ta_volatility_kchi,ta_volatility_kcl,ta_volatility_kcli,ta_volatility_kcp",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_013.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_013,2026-06-26T16:24:55,2026-06-26T16:25:30,35.022
batch_014,pass,0.0,5,"ta_volatility_kcw,ta_volatility_ui,ta_volume_adi,ta_volume_em,ta_volume_fi",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_014.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_014,2026-06-26T16:25:30,2026-06-26T16:27:35,124.898
batch_015,pass,0.0,4,"ta_volume_mfi,ta_volume_obv,ta_volume_sma_em,ta_volume_vwap",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\generated_configs\batch_015.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\ta_remaining74_batch1\runs\batch_015,2026-06-26T16:27:35,2026-06-26T16:27:55,19.673
