method,cost_bps,annualized_return,ir
equal_directional_zscore,5,0.011119072327300802,1.3297422720146492
equal_directional_zscore,10,0.00977343586444835,1.1915439747656835
equal_directional_zscore,20,0.0070821629387434505,0.8933644684279171
equal_directional_zscore,30,0.00439089001303855,0.5690098529495287
cluster_equal,5,0.011119072327300802,1.3297422720146492
cluster_equal,10,0.00977343586444835,1.1915439747656835
cluster_equal,20,0.0070821629387434505,0.8933644684279171
cluster_equal,30,0.00439089001303855,0.5690098529495287
stability_weight,5,0.013321630214623383,1.0122185753073534
stability_weight,10,0.010979965359789018,0.8485954362267555
stability_weight,20,0.006296635650120293,0.49994662440497606
stability_weight,30,0.0016133059404515634,0.13019553805064765
