method,trading_days,net_annualized_return,net_ir,maximum_drawdown,average_turnover,positive_day_ratio,final_nav,required_method,comparison_status,source_method,reason
alpha158_equal,821.0,0.008226435970015203,0.2206281710094312,-0.053205477720489225,0.04039716978331379,0.025578562728380026,8135435.963698638,alpha158_equal,pass,alpha158_equal,
old_candidate_equal,821.0,0.017974695457686603,0.42394596729149964,-0.06868396182844361,0.04829755189944426,0.029232643118148598,8522904.49799975,old_candidate_equal,pass,old_candidate_equal,
equal_directional_zscore,486.0,0.00977343586444835,1.1915439747656835,-0.0037955552596334874,0.010679654467082939,0.030864197530864196,10062238.167135958,stable_equal,pass,equal_directional_zscore,
cluster_equal,486.0,0.00977343586444835,1.1915439747656835,-0.0037955552596334874,0.010679654467082939,0.030864197530864196,10062238.167135958,cluster_equal,pass,cluster_equal,
stability_weight,486.0,0.010979965359789018,0.8485954362267555,-0.010958091568332606,0.01858464170503463,0.02880658436213992,10208841.807599694,stability_weight,pass,stability_weight,
,,,,,,,,regularized_linear,blocked,,No score under common PIT/purged/execution assumptions.
