datetime,cash,nav,turnover,accounting_error,daily_return,method
2022-01-06,8926830.450983595,10008181.323905539,0.10727817894244522,-7.450580596923828e-09,0.0008181323905538385,equal_directional_zscore
2022-01-07,8926830.450983595,10016868.869878601,0.0,0.0,,equal_directional_zscore
2022-01-10,8926830.450983595,10015725.0462013,0.0,0.0,,equal_directional_zscore
2022-01-11,8926830.450983595,10013749.164809536,0.0,0.0,,equal_directional_zscore
2022-01-12,8926830.450983595,10009201.703621697,0.0,0.0,,equal_directional_zscore
2022-01-13,8926830.450983595,9980235.754655551,0.0,0.0,,equal_directional_zscore
2022-01-14,8926830.450983595,9928839.82592399,0.0,0.0,,equal_directional_zscore
2022-01-17,8926830.450983595,9934583.96026666,0.0,0.0,,equal_directional_zscore
2022-01-18,8926830.450983595,9922756.364952277,0.0,0.0,,equal_directional_zscore
2022-01-19,8926830.450983595,9932908.52612431,0.0,0.0,,equal_directional_zscore
2022-01-20,8926830.450983595,9912877.403848123,0.0,0.0,,equal_directional_zscore
2022-01-21,8926830.450983595,9901627.986757707,0.0,0.0,,equal_directional_zscore
2022-01-24,8926830.450983595,9898470.2272969,0.0,0.0,,equal_directional_zscore
2022-01-25,8926830.450983595,9864728.037397813,0.0,0.0,,equal_directional_zscore
2022-01-26,8926830.450983595,9867695.470579218,0.0,0.0,,equal_directional_zscore
2022-01-27,8926830.450983595,9844229.398304474,0.0,0.0,,equal_directional_zscore
2022-01-28,8926830.450983595,9924198.438082885,0.0,0.0,,equal_directional_zscore
2022-02-07,8926830.450983595,9951811.377856385,0.0,0.0,,equal_directional_zscore
2022-02-08,8926830.450983595,9973412.700169038,0.0,0.0,,equal_directional_zscore
2022-02-09,8926830.450983595,9980618.493591499,0.0,0.0,,equal_directional_zscore
2022-02-10,8599956.39294879,9984683.904625935,0.1784930309164034,3.725290298461914e-09,0.00040733057145181384,equal_directional_zscore
2022-02-11,8599956.39294879,9960864.566222293,0.0,0.0,,equal_directional_zscore
2022-02-14,8599956.39294879,9958602.404922707,0.0,0.0,,equal_directional_zscore
2022-02-15,8599956.39294879,9955714.15502177,0.0,0.0,,equal_directional_zscore
2022-02-16,8599956.39294879,9984454.717232747,0.0,0.0,,equal_directional_zscore
2022-02-17,8599956.39294879,9992278.482157452,0.0,0.0,,equal_directional_zscore
2022-02-18,8599956.39294879,10007913.524379296,0.0,0.0,,equal_directional_zscore
2022-02-21,8599956.39294879,10021520.767318172,0.0,0.0,,equal_directional_zscore
2022-02-22,8599956.39294879,10020184.36589287,0.0,0.0,,equal_directional_zscore
2022-02-23,8599956.39294879,10039506.06084214,0.0,0.0,,equal_directional_zscore
2022-02-24,8599956.39294879,10014465.193339152,0.0,0.0,,equal_directional_zscore
2022-02-25,8599956.39294879,10043306.933700008,0.0,0.0,,equal_directional_zscore
2022-02-28,8599956.39294879,10041745.315388305,0.0,0.0,,equal_directional_zscore
2022-03-01,8599956.39294879,10035019.660550816,0.0,0.0,,equal_directional_zscore
2022-03-02,8599956.39294879,10057163.398097916,0.0,0.0,,equal_directional_zscore
2022-03-03,8599956.39294879,10065689.504339261,0.0,0.0,,equal_directional_zscore
2022-03-04,8599956.39294879,10053094.158381684,0.0,0.0,,equal_directional_zscore
2022-03-07,8599956.39294879,10043824.594136043,0.0,0.0,,equal_directional_zscore
2022-03-08,8599956.39294879,9847343.215169473,0.0,0.0,,equal_directional_zscore
2022-03-09,8599956.39294879,9821877.28060381,0.0,0.0,,equal_directional_zscore
2022-03-10,8542259.475035168,9830459.49764917,0.1937082061097257,-9.313225746154785e-09,0.0008737858150915656,equal_directional_zscore
2022-03-11,8542259.475035168,9840675.384990074,0.0,0.0,,equal_directional_zscore
2022-03-14,8542259.475035168,9814057.339132525,0.0,0.0,,equal_directional_zscore
2022-03-15,8542259.475035168,9915105.660802819,0.0,0.0,,equal_directional_zscore
2022-03-16,8542259.475035168,9936186.662847497,0.0,0.0,,equal_directional_zscore
2022-03-17,8542259.475035168,9943501.38742695,0.0,0.0,,equal_directional_zscore
2022-03-18,8542259.475035168,9970033.668453194,0.0,0.0,,equal_directional_zscore
2022-03-21,8542259.475035168,9976007.338414289,0.0,0.0,,equal_directional_zscore
2022-03-22,8542259.475035168,9977644.985965587,0.0,0.0,,equal_directional_zscore
2022-03-23,8542259.475035168,9971579.240158893,0.0,0.0,,equal_directional_zscore
2022-03-24,8542259.475035168,9946604.149237968,0.0,0.0,,equal_directional_zscore
2022-03-25,8542259.475035168,9939477.951157786,0.0,0.0,,equal_directional_zscore
2022-03-28,8542259.475035168,9934030.963117577,0.0,0.0,,equal_directional_zscore
2022-03-29,8542259.475035168,9919039.84230826,0.0,0.0,,equal_directional_zscore
2022-03-30,8542259.475035168,9924645.531875588,0.0,0.0,,equal_directional_zscore
2022-03-31,8542259.475035168,9917922.931704618,0.0,0.0,,equal_directional_zscore
2022-04-01,8542259.475035168,9927302.175528504,0.0,0.0,,equal_directional_zscore
2022-04-06,8542259.475035168,9950170.635939337,0.0,0.0,,equal_directional_zscore
2022-04-07,8542259.475035168,9925422.068948247,0.0,0.0,,equal_directional_zscore
2022-04-08,8542259.475035168,9938864.839483,0.0,0.0,,equal_directional_zscore
2022-04-11,8724960.001648735,9901141.328766715,0.2070128482123238,-7.450580596923828e-09,-0.0037955552596334874,equal_directional_zscore
2022-04-12,8724960.001648735,9920927.058489393,0.0,0.0,,equal_directional_zscore
2022-04-13,8724960.001648735,9906353.615459573,0.0,0.0,,equal_directional_zscore
2022-04-14,8724960.001648735,9908801.730367314,0.0,0.0,,equal_directional_zscore
2022-04-15,8724960.001648735,9897099.074406695,0.0,0.0,,equal_directional_zscore
2022-04-18,8724960.001648735,9885193.181122612,0.0,0.0,,equal_directional_zscore
2022-04-19,8724960.001648735,9897541.782685887,0.0,0.0,,equal_directional_zscore
2022-04-20,8724960.001648735,9883550.613532733,0.0,0.0,,equal_directional_zscore
2022-04-21,8724960.001648735,9849991.278414201,0.0,0.0,,equal_directional_zscore
2022-04-22,8724960.001648735,9826732.56416447,0.0,0.0,,equal_directional_zscore
2022-04-25,8724960.001648735,9771823.670528602,0.0,0.0,,equal_directional_zscore
2022-04-26,8724960.001648735,9742558.318736922,0.0,0.0,,equal_directional_zscore
2022-04-27,8724960.001648735,9748130.479962897,0.0,0.0,,equal_directional_zscore
2022-04-28,8724960.001648735,9722548.101308715,0.0,0.0,,equal_directional_zscore
2022-04-29,8724960.001648735,9755396.926717233,0.0,0.0,,equal_directional_zscore
2022-05-05,8724960.001648735,9670504.209103953,0.0,0.0,,equal_directional_zscore
2022-05-06,8724960.001648735,9685249.252174567,0.0,0.0,,equal_directional_zscore
2022-05-09,8724960.001648735,9695475.481849682,0.0,0.0,,equal_directional_zscore
2022-05-10,8724960.001648735,9699213.429464173,0.0,0.0,,equal_directional_zscore
2022-05-11,8724960.001648735,9695489.873569977,0.0,0.0,,equal_directional_zscore
2022-05-12,8504613.974086786,9706468.761205519,0.1553929091338013,5.587935447692871e-09,0.0011323705948547147,equal_directional_zscore
2022-05-13,8504613.974086786,9731669.964063013,0.0,0.0,,equal_directional_zscore
2022-05-16,8504613.974086786,9723731.418692911,0.0,0.0,,equal_directional_zscore
2022-05-17,8504613.974086786,9724037.51879915,0.0,0.0,,equal_directional_zscore
2022-05-18,8504613.974086786,9691730.130946482,0.0,0.0,,equal_directional_zscore
2022-05-19,8504613.974086786,9741666.254994119,0.0,0.0,,equal_directional_zscore
2022-05-20,8504613.974086786,9750171.281769717,0.0,0.0,,equal_directional_zscore
2022-05-23,8504613.974086786,9774171.257710302,0.0,0.0,,equal_directional_zscore
2022-05-24,8504613.974086786,9733175.04151895,0.0,0.0,,equal_directional_zscore
2022-05-25,8504613.974086786,9760384.67702105,0.0,0.0,,equal_directional_zscore
2022-05-26,8504613.974086786,9766260.240119541,0.0,0.0,,equal_directional_zscore
2022-05-27,8504613.974086786,9772232.988545144,0.0,0.0,,equal_directional_zscore
2022-05-30,8504613.974086786,9777641.395628298,0.0,0.0,,equal_directional_zscore
2022-05-31,8504613.974086786,9797509.487140024,0.0,0.0,,equal_directional_zscore
2022-06-01,8504613.974086786,9805408.101466144,0.0,0.0,,equal_directional_zscore
2022-06-02,8504613.974086786,9819287.234397078,0.0,0.0,,equal_directional_zscore
2022-06-06,8504613.974086786,9822452.183547461,0.0,0.0,,equal_directional_zscore
2022-06-07,8504613.974086786,9819685.555353606,0.0,0.0,,equal_directional_zscore
2022-06-08,8504613.974086786,9821345.281848157,0.0,0.0,,equal_directional_zscore
2022-06-09,8504613.974086786,9799575.964653337,0.0,0.0,,equal_directional_zscore
2022-06-10,6351955.124887137,9844593.193785159,0.35972076397145814,3.725290298461914e-09,0.004593793577823968,equal_directional_zscore
2022-06-13,6351955.124887137,9817714.040371088,0.0,0.0,,equal_directional_zscore
2022-06-14,6351955.124887137,9882439.775483368,0.0,0.0,,equal_directional_zscore
2022-06-15,6351955.124887137,9939273.610664962,0.0,0.0,,equal_directional_zscore
2022-06-16,6351955.124887137,9884992.85109198,0.0,0.0,,equal_directional_zscore
2022-06-17,6351955.124887137,9885212.146890966,0.0,0.0,,equal_directional_zscore
2022-06-20,6351955.124887137,9882598.632555513,0.0,0.0,,equal_directional_zscore
2022-06-21,6351955.124887137,9896574.78354132,0.0,0.0,,equal_directional_zscore
2022-06-22,6351955.124887137,9802629.730797617,0.0,0.0,,equal_directional_zscore
2022-06-23,6351955.124887137,9907605.478435067,0.0,0.0,,equal_directional_zscore
2022-06-24,6351955.124887137,9905921.254675148,0.0,0.0,,equal_directional_zscore
2022-06-27,6351955.124887137,9894085.426173417,0.0,0.0,,equal_directional_zscore
2022-06-28,6351955.124887137,9915204.834824858,0.0,0.0,,equal_directional_zscore
2022-06-29,6351955.124887137,9883481.901333539,0.0,0.0,,equal_directional_zscore
2022-06-30,6351955.124887137,9894801.620414166,0.0,0.0,,equal_directional_zscore
