regime,method,start,end,return,days
early_2022,alpha158_equal,2022-01-01,2022-06-30,0.020525933719630185,117
early_2022,cluster_equal,2022-01-01,2022-06-30,0.004018730953976757,115
early_2022,equal_directional_zscore,2022-01-01,2022-06-30,0.004018730953976757,115
early_2022,old_candidate_equal,2022-01-01,2022-06-30,0.02130204882042408,117
early_2022,stability_weight,2022-01-01,2022-06-30,0.006799420180931159,115
late_2022,alpha158_equal,2022-07-01,2022-12-31,0.04983563426050197,125
late_2022,cluster_equal,2022-07-01,2022-12-31,0.005907163015664407,125
late_2022,equal_directional_zscore,2022-07-01,2022-12-31,0.005907163015664407,125
late_2022,old_candidate_equal,2022-07-01,2022-12-31,0.08911435782674393,125
late_2022,stability_weight,2022-07-01,2022-12-31,0.009740537515770198,125
year_2023,alpha158_equal,2023-01-01,2023-12-31,-0.016505494458677994,242
year_2023,cluster_equal,2023-01-01,2023-12-31,0.008922897645233796,242
year_2023,equal_directional_zscore,2023-01-01,2023-12-31,0.008922897645233796,242
year_2023,old_candidate_equal,2023-01-01,2023-12-31,-0.027504059478466236,242
year_2023,stability_weight,2023-01-01,2023-12-31,0.004554696730266983,242
