method,capital,max_scaled_participation
alpha158_equal,1000000,0.519846199233878
alpha158_equal,10000000,5.19846199233878
alpha158_equal,50000000,25.992309961693906
alpha158_equal,100000000,51.98461992338781
old_candidate_equal,1000000,1.0024958847711998
old_candidate_equal,10000000,10.024958847711998
old_candidate_equal,50000000,50.12479423855999
old_candidate_equal,100000000,100.24958847711999
equal_directional_zscore,1000000,0.5831940006350806
equal_directional_zscore,10000000,5.8319400063508064
equal_directional_zscore,50000000,29.15970003175403
equal_directional_zscore,100000000,58.31940006350806
cluster_equal,1000000,0.5831940006350806
cluster_equal,10000000,5.8319400063508064
cluster_equal,50000000,29.15970003175403
cluster_equal,100000000,58.31940006350806
stability_weight,1000000,0.5782936369737037
stability_weight,10000000,5.782936369737037
stability_weight,50000000,28.914681848685188
stability_weight,100000000,57.829363697370376
