factor,source_family,frame_status,valid_rows,total_rows,coverage,missing_rate
kunquant_alpha101_alpha083,alpha101,available,84774,89000,0.9525168539325842,0.04748314606741577
kunquant_alpha101_alpha088,alpha101,available,84431,89000,0.9486629213483146,0.05133707865168535
kunquant_alpha101_alpha042,alpha101,available,88438,89000,0.993685393258427,0.006314606741573026
kunquant_alpha101_alpha041,alpha101,available,88438,89000,0.993685393258427,0.006314606741573026
kunquant_alpha101_alpha040,alpha101,available,83295,89000,0.9358988764044944,0.06410112359550557
kunquant_alpha101_alpha005,alpha101,available,83295,89000,0.9358988764044944,0.06410112359550557
kunquant_alpha101_alpha094,alpha101,available,82160,89000,0.9231460674157304,0.07685393258426965
kunquant_alpha101_alpha011,alpha101,available,86712,89000,0.9742921348314607,0.02570786516853929
alpha360_HIGH45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_HIGH46,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_HIGH44,alpha360,available,88229,88797,0.99360338750183,0.006396612498170029
alpha360_OPEN45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_HIGH43,alpha360,available,88228,88797,0.9935921258601079,0.006407874139892078
alpha360_VWAP45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_HIGH47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_CLOSE46,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_CLOSE45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_OPEN44,alpha360,available,88229,88797,0.99360338750183,0.006396612498170029
alpha360_HIGH41,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_VWAP46,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_HIGH42,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_VWAP44,alpha360,available,88229,88797,0.99360338750183,0.006396612498170029
alpha360_HIGH48,alpha360,available,88221,88797,0.993513294368053,0.006486705631946976
alpha360_OPEN46,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_HIGH40,alpha360,available,88217,88797,0.9934682478011645,0.006531752198835505
alpha360_CLOSE44,alpha360,available,88229,88797,0.99360338750183,0.006396612498170029
alpha360_OPEN43,alpha360,available,88228,88797,0.9935921258601079,0.006407874139892078
alpha360_VWAP43,alpha360,available,88228,88797,0.9935921258601079,0.006407874139892078
alpha360_LOW45,alpha360,available,88227,88797,0.9935808642183858,0.006419135781614238
alpha360_CLOSE47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_VWAP47,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_LOW44,alpha360,available,88229,88797,0.99360338750183,0.006396612498170029
alpha360_OPEN42,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_VWAP41,alpha360,available,88223,88797,0.9935358176514972,0.006464182348502767
alpha360_HIGH50,alpha360,available,88212,88797,0.9934119395925538,0.006588060407446195
alpha360_VWAP42,alpha360,available,88226,88797,0.9935696025766636,0.006430397423336398
alpha360_CLOSE43,alpha360,available,88228,88797,0.9935921258601079,0.006407874139892078
