signal_date,status,eligible_count,selected_count,turnover,execution_date,period_end_date,cost,period_net_return,period_universe_return,period_net_excess_return,avg_selected_liquidity_bucket,avg_selected_tradability_score
2021-01-04,skipped_insufficient_eligible_count,0,0,,,,,,,,,
2021-02-01,executed,73,50,1.0,2021-02-02,2021-03-09,0.001,0.057500767801370145,0.027124721664845808,0.029141368348836405,3.92,100.0
2021-03-08,executed,80,50,0.30000000000000004,2021-03-09,2021-04-07,0.00030000000000000003,0.03740961838708223,0.03189395601528977,0.004791385676398585,3.92,100.0
2021-04-06,executed,77,50,0.31999999999999995,2021-04-07,2021-05-10,0.00031999999999999997,-0.009803193086989292,-0.01675527076060923,0.007009396051979477,4.12,100.0
2021-05-07,executed,82,50,0.33999999999999997,2021-05-10,2021-06-07,0.00033999999999999997,0.06356522943605358,0.05597640991141506,0.007137074116160713,4.0,100.0
2021-06-04,skipped_insufficient_future_dates,0,0,,,,,,,,,
