window,label,base_factor,neutralization,neutralized_factor,raw_directional_rank_ic,directional_mean_rank_ic,delta_directional_rank_ic,raw_ic_win_rate,ic_win_rate,effect
main_research_2021_2023,label_20d_t1,downside_std_20,liquidity_bucket_zscore,downside_std_20__liquidity_bucket_zscore,0.06515672764044043,0.04594320743447597,-0.019213520205964466,0.6432506887052342,0.6170798898071626,weakened
main_research_2021_2023,label_20d_t1,downside_std_20,volatility_bucket_zscore,downside_std_20__volatility_bucket_zscore,0.06515672764044043,-0.015637971565150066,-0.0807946992055905,0.6432506887052342,0.4641873278236915,weakened
main_research_2021_2023,label_20d_t1,downside_std_20,amount_proxy_residual,downside_std_20__amount_proxy_residual,0.06515672764044043,0.029760985478860576,-0.035395742161579855,0.6432506887052342,0.5840220385674931,weakened
main_research_2021_2023,label_20d_t1,downside_std_20,liquidity_volatility_residual,downside_std_20__liquidity_volatility_residual,0.06515672764044043,-0.026763171084747985,-0.09191989872518842,0.6432506887052342,0.38292011019283745,weakened
main_research_2021_2023,label_20d_t1,max_drawdown_20,raw,max_drawdown_20__raw,0.03071393862259186,0.03071393862259186,0.0,0.5991735537190083,0.5991735537190083,baseline
main_research_2021_2023,label_20d_t1,max_drawdown_20,cs_rank,max_drawdown_20__cs_rank,0.03071393862259186,0.03071393862259186,0.0,0.5991735537190083,0.5991735537190083,similar
main_research_2021_2023,label_20d_t1,max_drawdown_20,cs_zscore,max_drawdown_20__cs_zscore,0.03071393862259186,0.030747247218748577,3.3308596156716996e-05,0.5991735537190083,0.5991735537190083,similar
main_research_2021_2023,label_20d_t1,max_drawdown_20,liquidity_bucket_zscore,max_drawdown_20__liquidity_bucket_zscore,0.03071393862259186,0.02043293981859405,-0.010280998803997809,0.5991735537190083,0.5702479338842975,weakened
main_research_2021_2023,label_20d_t1,max_drawdown_20,volatility_bucket_zscore,max_drawdown_20__volatility_bucket_zscore,0.03071393862259186,-0.02714949047755438,-0.05786342910014624,0.5991735537190083,0.4132231404958678,weakened
main_research_2021_2023,label_20d_t1,max_drawdown_20,amount_proxy_residual,max_drawdown_20__amount_proxy_residual,0.03071393862259186,-0.0001630909265463945,-0.030877029549138253,0.5991735537190083,0.5165289256198347,weakened
