window,sample,label,factor,category,expected_direction,quantile,mean_group_return,std_group_return,group_return_dates
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_20_exclude_5__raw,reversal,positive,4,0.0058769758891261915,0.05272312456592237,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_20_exclude_5__raw,reversal,positive,5,0.007371521355590197,0.05766054498139143,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_5__raw,reversal,positive,1,0.010799419994310226,0.05280295565671254,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_5__raw,reversal,positive,2,0.008193522955525247,0.05078955514778811,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_5__raw,reversal,positive,3,0.006719521223379013,0.05083178358465846,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_5__raw,reversal,positive,4,0.005440106434011282,0.05239873420551163,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,rev_5__raw,reversal,positive,5,0.005776671593775722,0.057569703230821674,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,std_20__raw,risk,negative,1,0.005712459365023572,0.044915230867370995,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,std_20__raw,risk,negative,2,0.006789440299883311,0.05025339229894393,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,std_20__raw,risk,negative,3,0.008222028361012658,0.05531339093518671,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,std_20__raw,risk,negative,4,0.00928964267044518,0.05731671896231202,726
main_research_2021_2023,liquidity_bucket=3.0,label_20d_t1,std_20__raw,risk,negative,5,0.007113475975572175,0.057514506461356245,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,1,-0.0007394060053793359,0.05090965509163705,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,2,0.00013702962721602417,0.05218477590903879,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,3,0.0020558609082071706,0.0527246370082254,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,4,0.00034784715768206454,0.05383524218138042,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_cv_20__raw,liquidity,negative,5,0.001671506521880241,0.05441835175418868,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,1,0.005852674191436445,0.053284424855485575,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,2,0.0025959265998302646,0.052993438219291644,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,3,0.0008322798916417399,0.052735415680332,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,4,-0.002960936588872758,0.053125637572688546,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amount_mean_20__raw,liquidity,watch,5,-0.0028603378388762585,0.05207164632816341,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amplitude_20__raw,risk,negative,1,0.001963078647858518,0.04192172873425341,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amplitude_20__raw,risk,negative,2,0.0010185477785252118,0.04990165436310712,726
main_research_2021_2023,liquidity_bucket=4.0,label_20d_t1,amplitude_20__raw,risk,negative,3,0.002679457963793378,0.05543382310587648,726
