source,factor_count,expected_count,catalog
alpha158,155,155,outputs/factor_catalog_alpha158_v1/alpha158_catalog_full158_runnable.yaml
alpha360,358,358,outputs/factor_catalog_alpha360_v1/alpha360_catalog_promoted358.yaml
ta,77,77,outputs/ta_factor_adapter_v1/smoke/ta_factor_catalog_promoted77.yaml
alpha101,64,64,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_promoted64.yaml
project_basic,15,15,factor_research/factor_catalog.yaml
