factor,category,evaluation_gate,judgement_label,signal_label,signal_reason,issue_tags,consensus_direction,direction_agreement_count,direction_observation_count,direction_agreement_ratio,primary_rank_ic,primary_abs_rank_ic,max_abs_rank_ic,max_abs_rank_icir,max_rank_ic_win_rate,coverage,missing_rate,alphalens_status,jqfactor_status,qlib_status,context_failed_count,unstable_context,context_reason,high_turnover,turnover_top1_max,turnover_top5_max,low_monotonicity,max_abs_monotonicity,strongest_corr_factor,strongest_abs_corr,cluster_id,cluster_representative,is_cluster_representative,is_redundant,holdout_reason,failure_steps,judgement_policy
alpha158_CNTN10,alpha158_price_momentum_balance,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,redundant",positive,6,6,1.0,0.0060006744236526,0.0060006744236526,0.00900062560011,0.077765565101998,0.5082644628099173,1.0,0.0,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",True,0.4957631521531861,0.8832877160027323,False,0.8999999999999998,alpha158_CNTD10,0.9577890105402947,C001,alpha158_CNTP10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTD20,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0265508866206871,0.0265508866206871,0.0265508866206871,0.2159799584697006,0.4765840220385675,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.2802725528162397,0.5252654526126567,False,0.8999999999999998,alpha158_CNTP20,0.9495106583206184,C002,alpha158_CNTP20,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTN20,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,redundant",positive,6,6,1.0,0.0167670122793762,0.0167670122793762,0.0167670122793762,0.1392476632032445,0.5192837465564738,1.0,0.0,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",False,0.2619157281549783,0.5019848212695881,False,0.7999999999999999,alpha158_CNTD20,0.947394129215584,C002,alpha158_CNTP20,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTP30,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0559551951472087,0.0559551951472087,0.0559551951472087,0.4144096540121566,0.3925619834710744,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.2373389558473468,0.450032923811388,False,1.0,alpha158_CNTD30,0.942811962737285,C003,alpha158_CNTN30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTD30,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0449210660726371,0.0449210660726371,0.0449210660726371,0.3289411427738887,0.4242424242424242,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.245916646794982,0.4523105678017972,False,0.8999999999999998,alpha158_CNTP30,0.942811962737285,C003,alpha158_CNTN30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTD5,alpha158_price_momentum_balance,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,low_monotonicity,redundant",negative,6,6,1.0,-0.0078374447039779,0.0078374447039779,0.0133597465525434,0.11607515087085,0.4820936639118457,1.0,0.0,pass,partial_pass,pass,0,True,20d_max_group_flips,True,0.7499551419236756,0.9246716830306172,True,0.3999999999999999,alpha158_CNTP5,0.963853795273738,C004,alpha158_CNTP5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTP60,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0627603480779727,0.0627603480779727,0.0627603480779727,0.421991539852021,0.3760330578512397,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.1868744015623027,0.3406430861027774,False,1.0,alpha158_CNTD60,0.9247285210533888,C005,alpha158_CNTN60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_CNTD60,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0505742281003209,0.0505742281003209,0.0505742281003209,0.3373304841407766,0.4173553719008264,1.0,0.0,pass,partial_pass,pass,0,False,,False,0.2006595954349781,0.3539823573871061,False,1.0,alpha158_CNTP60,0.9247285210533888,C005,alpha158_CNTN60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KMID,alpha158_kbar,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,low_monotonicity,redundant",negative,6,6,1.0,-0.0098779652450984,0.0098779652450984,0.0122124339003481,0.0918764168661753,0.4820936639118457,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8066118263380653,0.8213367336022387,True,0.3,alpha158_OPEN0,0.9999999622555028,C006,alpha158_KMID2,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_OPEN0,alpha158_price_volume_lag,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,low_monotonicity,redundant",positive,6,6,1.0,0.00987769405976,0.00987769405976,0.01221220893805,0.0918748147654089,0.5413223140495868,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.8052969561471987,0.8113818197242542,True,0.3,alpha158_KMID,0.9999999622555028,C006,alpha158_KMID2,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_KSFT,alpha158_kbar,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,low_monotonicity,redundant",negative,6,6,1.0,-0.0021342847076817,0.0021342847076817,0.0021771332344876,0.0169228167102987,0.5027548209366391,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.8151925112737217,0.8233970783144804,True,0.0999999999999999,alpha158_VWAP0,0.909742399475929,C007,alpha158_VWAP0,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MA10,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,"low_monotonicity,redundant",positive,6,6,1.0,0.0244593903623204,0.0244593903623204,0.0292187375661734,0.2060132909267758,0.5619834710743802,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.3325125495434529,0.6864127696245969,True,0.0999999999999999,alpha158_QTLU10,0.9246041669841574,C008,alpha158_QTLD10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLU10,alpha158_rolling_price,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"unstable_context,low_monotonicity,redundant",positive,6,6,1.0,0.0036538817122663,0.0036538817122663,0.0123391336894546,0.0863034628364124,0.5192837465564738,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",False,0.3020525463154756,0.6631262973609489,True,0.0,alpha158_MA10,0.9246041669841574,C008,alpha158_QTLD10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MA30,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0609167302659743,0.0609167302659743,0.0609167302659743,0.4075920004225587,0.6570247933884298,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.2173730689459835,0.421329225497553,False,0.6,alpha158_QTLU30,0.9366978349074512,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_ROC20,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0586816084854647,0.0586816084854647,0.0586816084854647,0.4106924103494863,0.6639118457300276,0.9942345341862756,0.0057654658137243,pass,partial_pass,pass,0,False,,False,0.2376863816820117,0.4513392450800616,False,0.7,alpha158_SUMD20,0.9440229656120211,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLD20,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0583798683942079,0.0583798683942079,0.0583798683942079,0.423179101279227,0.6597796143250688,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.320238151795684,0.6155084367359549,False,0.7,alpha158_MA20,0.9223911496494578,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MA20,alpha158_rolling_price,strict_screening_input,redundant,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0439958623031187,0.0439958623031187,0.0439958623031187,0.3150677826654799,0.6060606060606061,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.2508959744946727,0.5034617892660213,False,0.7,alpha158_QTLU20,0.9322441646604752,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMN20,alpha158_price_momentum_balance,strict_screening_input,redundant,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0432807584974575,0.0432807584974575,0.0432807584974575,0.3083486273371222,0.6088154269972452,0.9984531068796528,0.0015468931203471,pass,partial_pass,pass,0,False,,False,0.2452923918912406,0.4628687148247153,False,0.8999999999999998,alpha158_SUMD20,0.9999792710598624,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMP20,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0432807535506408,0.0432807535506408,0.0432807535506408,0.3083482859654131,0.4683195592286501,0.9984531068796528,0.0015468931203471,pass,partial_pass,pass,0,False,,False,0.2701537694180455,0.5160282846943249,False,0.8999999999999998,alpha158_SUMD20,0.9999997403557348,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMD20,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0432807483983982,0.0432807483983982,0.0432807483983982,0.3083485806257839,0.4683195592286501,0.9984531068796528,0.0015468931203471,pass,partial_pass,pass,0,False,,False,0.2701577485598145,0.516024634935163,False,0.8999999999999998,alpha158_SUMP20,0.9999997403557348,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLU30,alpha158_rolling_price,strict_screening_input,redundant,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0391642893778665,0.0391642893778665,0.0391642893778665,0.2716434696299008,0.59366391184573,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.1959823834639402,0.3919611665345226,False,0.7,alpha158_MA30,0.9366978349074512,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLU20,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,low_monotonicity,redundant",positive,6,6,1.0,0.0225992859113421,0.0225992859113421,0.0225992859113421,0.1651703923683994,0.5647382920110193,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,10d_min_group_flips,False,0.2257885572530957,0.4713762849292942,True,0.3,alpha158_MA20,0.9322441646604752,C009,alpha158_QTLD30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MA5,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,"high_turnover,low_monotonicity,redundant",positive,6,6,1.0,0.0127596499625357,0.0127596499625357,0.0171762027897977,0.1215743515555342,0.5316804407713499,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,True,0.4679148160788079,0.8038968936864758,True,0.0,alpha158_QTLD5,0.9301964394625364,C010,alpha158_QTLD5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLU5,alpha158_rolling_price,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"unstable_context,low_monotonicity,redundant",negative,6,6,1.0,-0.0075144877856691,0.0075144877856691,0.0076554764483404,0.0567396880710578,0.4848484848484848,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.4391835890386353,0.7909251460392219,True,0.0999999999999999,alpha158_MA5,0.9203422900285636,C010,alpha158_QTLD5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MA60,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0869386846043449,0.0869386846043449,0.0869386846043449,0.5219141318880838,0.6831955922865014,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.1815605092716049,0.3274868256549607,False,1.0,alpha158_QTLU60,0.941205144719588,C011,alpha158_QTLD60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RANK60,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0678636625289751,0.0678636625289751,0.0678636625289751,0.4377741063134301,0.396694214876033,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.3244097992170665,0.5741404384363142,False,0.8999999999999998,alpha158_RSV60,0.9058790922413548,C011,alpha158_QTLD60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_QTLU60,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0657013555511423,0.0657013555511423,0.0657013555511423,0.4149824962542521,0.6556473829201102,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.1652928932171605,0.3030639219882869,False,1.0,alpha158_MA60,0.941205144719588,C011,alpha158_QTLD60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSV60,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0602767877969326,0.0602767877969326,0.0602767877969326,0.3948196583525667,0.4008264462809917,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.2674511548032617,0.4867337597164505,False,0.8999999999999998,alpha158_RANK60,0.9058790922413548,C011,alpha158_QTLD60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_MIN20,alpha158_rolling_price,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0719022574327143,0.0719022574327143,0.0719022574327143,0.4949963472972526,0.6556473829201102,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.3544179074664318,0.5695697521320047,False,1.0,alpha158_MIN30,0.919988148083926,C012,alpha158_MIN30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSV30,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0372836322139459,0.0372836322139459,0.0372836322139459,0.2614572670149371,0.4600550964187327,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.3421447363831469,0.5897852916123241,False,1.0,alpha158_RSV20,0.906305295602575,C013,alpha158_RANK30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RANK20,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0293672582231267,0.0293672582231267,0.0293672582231267,0.2178845995778514,0.453168044077135,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,False,,False,0.5246208537803508,0.7923506597298731,False,1.0,alpha158_RANK30,0.9396214841527134,C013,alpha158_RANK30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_RSV20,alpha158_rolling_price,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,redundant",negative,6,6,1.0,-0.0237210546907566,0.0237210546907566,0.0237210546907566,0.1787598140140597,0.4917355371900826,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.3914367695815993,0.6495982340581883,False,1.0,alpha158_RSV30,0.906305295602575,C013,alpha158_RANK30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMD10,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,redundant",negative,6,6,1.0,-0.0174749942638813,0.0174749942638813,0.0174749942638813,0.1290227593074412,0.4738292011019284,0.9979748855885175,0.0020251144114823,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.3402308083940053,0.6632988547110181,False,0.6,alpha158_SUMP10,0.9999987930256548,C014,alpha158_ROC10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMP10,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,redundant",negative,6,6,1.0,-0.0174749493497441,0.0174749493497441,0.0174749493497441,0.1290224144351164,0.4738292011019284,0.9979748855885175,0.0020251144114823,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.3402365353703981,0.6632983652991176,False,0.6,alpha158_SUMD10,0.9999987930256548,C014,alpha158_ROC10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMN10,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,"unstable_context,redundant",positive,6,6,1.0,0.0174749175502968,0.0174749175502968,0.0174749175502968,0.1290222220112009,0.5275482093663911,0.9979748855885175,0.0020251144114823,pass,partial_pass,pass,0,True,10d_min_group_flips,False,0.3077035577839317,0.6135460097133828,False,0.7,alpha158_SUMD10,0.9999842911107464,C014,alpha158_ROC10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMD30,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0677374117120632,0.0677374117120632,0.0677374117120632,0.4297026255938135,0.3884297520661157,0.998666342448842,0.0013336575511578,pass,partial_pass,pass,0,False,,False,0.2379753139041808,0.451877063626215,False,1.0,alpha158_SUMP30,0.999999998800607,C015,alpha158_ROC30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMN30,alpha158_price_momentum_balance,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.067737391608235,0.067737391608235,0.067737391608235,0.4297023674021428,0.6308539944903582,0.998666342448842,0.0013336575511578,pass,partial_pass,pass,0,False,,False,0.2208820031916377,0.406849120191431,False,1.0,alpha158_SUMD30,0.9999999987435672,C015,alpha158_ROC30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMP30,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0677373825888946,0.0677373825888946,0.0677373825888946,0.4297025172478428,0.3884297520661157,0.998666342448842,0.0013336575511578,pass,partial_pass,pass,0,False,,False,0.2379753139041808,0.451877063626215,False,1.0,alpha158_SUMD30,0.999999998800607,C015,alpha158_ROC30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMN60,alpha158_price_momentum_balance,strict_screening_input,redundant,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,redundant,positive,6,6,1.0,0.0740821033445277,0.0740821033445277,0.0740821033445277,0.4497681424184748,0.6763085399449036,0.9988047585200704,0.0011952414799296,pass,partial_pass,pass,0,False,,False,0.1932917781554869,0.3373619310395402,False,1.0,alpha158_SUMP60,0.999999999347006,C016,alpha158_ROC60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMD60,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0740820767845653,0.0740820767845653,0.0740820767845653,0.449767960932788,0.3663911845730027,0.9988047585200704,0.0011952414799296,pass,partial_pass,pass,0,False,,False,0.1916863189743251,0.3544839316804485,False,1.0,alpha158_SUMP60,0.9999999993526352,C016,alpha158_ROC60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMP60,alpha158_price_momentum_balance,strict_screening_input,redundant,review,mixed_or_marginal_signal,redundant,negative,6,6,1.0,-0.0740820677819244,0.0740820677819244,0.0740820677819244,0.4497679488054966,0.3663911845730027,0.9988047585200704,0.0011952414799296,pass,partial_pass,pass,0,False,,False,0.1916863189743251,0.3544839316804485,False,1.0,alpha158_SUMD60,0.9999999993526352,C016,alpha158_ROC60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMD5,alpha158_price_momentum_balance,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,redundant",negative,6,6,1.0,-0.0070641225155867,0.0070641225155867,0.0127320805908965,0.0933256390057287,0.4889807162534435,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,True,"10d_max_group_flips,20d_max_group_flips",True,0.446205805141675,0.8576635136342412,False,0.6,alpha158_SUMN5,0.9999485252012742,C017,alpha158_SUMP5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_SUMN5,alpha158_price_momentum_balance,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,redundant",positive,6,6,1.0,0.0070496236099328,0.0070496236099328,0.0127191149460744,0.0932357197955511,0.5234159779614325,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",True,0.4083665289795902,0.8183424530816331,False,0.6,alpha158_SUMD5,0.9999485252012742,C017,alpha158_SUMP5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VMA30,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"unstable_context,low_monotonicity,redundant",positive,6,6,1.0,0.005658013289008,0.005658013289008,0.0071879268701602,0.0686234470350787,0.5027548209366391,0.9964080406020476,0.0035919593979524,pass,partial_pass,pass,0,True,"10d_min_group_flips,20d_min_group_flips",False,0.4305336923279847,0.5834640507056605,True,0.3999999999999999,alpha158_VMA20,0.9356224129774038,C018,alpha158_VMA20,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMD10,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,redundant",positive,6,6,1.0,0.0046797168236242,0.0046797168236242,0.0047048416634151,0.0536096317146006,0.5303030303030303,0.9979748855885175,0.0020251144114823,pass,partial_pass,pass,0,True,10d_min_group_flips,True,0.5755987989305872,0.8145399542610661,False,0.8999999999999998,alpha158_VSUMP10,0.9999999999117232,C019,alpha158_VSUMN10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMP10,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,unstable_context,redundant",positive,6,6,1.0,0.0046796929345491,0.0046796929345491,0.0047048178014512,0.0536093745922535,0.5303030303030303,0.9979748855885175,0.0020251144114823,pass,partial_pass,pass,0,True,10d_min_group_flips,True,0.5755987989305872,0.8145399542610661,False,0.8999999999999998,alpha158_VSUMD10,0.9999999999117232,C019,alpha158_VSUMN10,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMD20,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"unstable_context,redundant",negative,6,6,1.0,-0.0061237080165093,0.0061237080165093,0.0081337103221155,0.0785638308421691,0.4903581267217631,0.9984531068796528,0.0015468931203471,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.5096494385635215,0.7377906646843664,False,0.7999999999999999,alpha158_VSUMN20,0.9999999997979934,C020,alpha158_VSUMN20,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMP20,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"unstable_context,redundant",negative,6,6,1.0,-0.0061237030876845,0.0061237030876845,0.0081337195699859,0.0785639496532884,0.4903581267217631,0.9984531068796528,0.0015468931203471,pass,partial_pass,pass,0,True,10d_max_group_flips,False,0.5096494385635215,0.7377906646843664,False,0.7999999999999999,alpha158_VSUMN20,0.9999999998044846,C020,alpha158_VSUMN20,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMD30,alpha158_volume_liquidity,strict_screening_input,redundant,review,mixed_or_marginal_signal,"low_monotonicity,redundant",negative,6,6,1.0,-0.0196112737818876,0.0196112737818876,0.0196112737818876,0.1716297803561257,0.4586776859504132,0.998666342448842,0.0013336575511578,pass,partial_pass,pass,0,False,,False,0.4772621294563876,0.6983017168886904,True,0.3999999999999999,alpha158_VSUMN30,0.999999999774489,C021,alpha158_VSUMP30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMN30,alpha158_volume_liquidity,strict_screening_input,redundant,review,mixed_or_marginal_signal,"low_monotonicity,redundant",positive,6,6,1.0,0.019611238009233,0.019611238009233,0.019611238009233,0.1716295100478753,0.559228650137741,0.998666342448842,0.0013336575511578,pass,partial_pass,pass,0,False,,False,0.4361641404958558,0.6235928843406043,True,0.3999999999999999,alpha158_VSUMD30,0.999999999774489,C021,alpha158_VSUMP30,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMP5,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,redundant",positive,3,6,0.5,0.0054120446003978,0.0054120446003978,0.0054120446003978,0.0611533127498451,0.5179063360881543,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,False,,True,0.6457284640849125,0.944975258665484,False,0.6,alpha158_VSUMD5,0.9999999999553456,C022,alpha158_VSUMD5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMN5,alpha158_volume_liquidity,strict_screening_input,redundant,weak_signal,rank_ic_below_weak_threshold,"high_turnover,redundant",negative,3,6,0.5,-0.0054120367549371,0.0054120367549371,0.0054120367549371,0.0611532184129752,0.5206611570247934,0.9972765702742136,0.0027234297257865,pass,partial_pass,pass,0,False,,True,0.5354692669714087,0.8962161066545568,False,0.6,alpha158_VSUMD5,0.9999999999493568,C022,alpha158_VSUMD5,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
alpha158_VSUMD60,alpha158_volume_liquidity,strict_screening_input,redundant,review,mixed_or_marginal_signal,"low_monotonicity,redundant",negative,6,6,1.0,-0.0356475899126966,0.0356475899126966,0.0356475899126966,0.2944963810522541,0.3925619834710744,0.9988047585200704,0.0011952414799296,pass,partial_pass,pass,0,False,,False,0.4292811075068447,0.6340369750621393,True,0.3,alpha158_VSUMP60,0.99999999954539,C023,alpha158_VSUMN60,False,True,,"factor_alpha_beta,factor_returns",ordered_rules_no_combined_score
