cluster_id,factor,cluster_representative,is_cluster_representative
C001,alpha158_CNTD10,alpha158_CNTP10,False
C001,alpha158_CNTN10,alpha158_CNTP10,False
C001,alpha158_CNTP10,alpha158_CNTP10,True
C002,alpha158_CNTD20,alpha158_CNTP20,False
C002,alpha158_CNTN20,alpha158_CNTP20,False
C002,alpha158_CNTP20,alpha158_CNTP20,True
C003,alpha158_CNTD30,alpha158_CNTN30,False
C003,alpha158_CNTN30,alpha158_CNTN30,True
C003,alpha158_CNTP30,alpha158_CNTN30,False
C004,alpha158_CNTD5,alpha158_CNTP5,False
C004,alpha158_CNTP5,alpha158_CNTP5,True
C005,alpha158_CNTD60,alpha158_CNTN60,False
C005,alpha158_CNTN60,alpha158_CNTN60,True
C005,alpha158_CNTP60,alpha158_CNTN60,False
C006,alpha158_KMID,alpha158_KMID2,False
C006,alpha158_KMID2,alpha158_KMID2,True
C006,alpha158_OPEN0,alpha158_KMID2,False
C007,alpha158_KSFT,alpha158_VWAP0,False
C007,alpha158_VWAP0,alpha158_VWAP0,True
C008,alpha158_MA10,alpha158_QTLD10,False
C008,alpha158_QTLD10,alpha158_QTLD10,True
C008,alpha158_QTLU10,alpha158_QTLD10,False
C009,alpha158_MA20,alpha158_QTLD30,False
C009,alpha158_MA30,alpha158_QTLD30,False
C009,alpha158_QTLD20,alpha158_QTLD30,False
C009,alpha158_QTLD30,alpha158_QTLD30,True
C009,alpha158_QTLU20,alpha158_QTLD30,False
C009,alpha158_QTLU30,alpha158_QTLD30,False
C009,alpha158_ROC20,alpha158_QTLD30,False
C009,alpha158_SUMD20,alpha158_QTLD30,False
C009,alpha158_SUMN20,alpha158_QTLD30,False
C009,alpha158_SUMP20,alpha158_QTLD30,False
C010,alpha158_MA5,alpha158_QTLD5,False
C010,alpha158_QTLD5,alpha158_QTLD5,True
C010,alpha158_QTLU5,alpha158_QTLD5,False
C011,alpha158_MA60,alpha158_QTLD60,False
C011,alpha158_QTLD60,alpha158_QTLD60,True
C011,alpha158_QTLU60,alpha158_QTLD60,False
C011,alpha158_RANK60,alpha158_QTLD60,False
C011,alpha158_RSV60,alpha158_QTLD60,False
C012,alpha158_MIN20,alpha158_MIN30,False
C012,alpha158_MIN30,alpha158_MIN30,True
C013,alpha158_RANK20,alpha158_RANK30,False
C013,alpha158_RANK30,alpha158_RANK30,True
C013,alpha158_RSV20,alpha158_RANK30,False
C013,alpha158_RSV30,alpha158_RANK30,False
C014,alpha158_ROC10,alpha158_ROC10,True
C014,alpha158_SUMD10,alpha158_ROC10,False
C014,alpha158_SUMN10,alpha158_ROC10,False
C014,alpha158_SUMP10,alpha158_ROC10,False
C015,alpha158_ROC30,alpha158_ROC30,True
C015,alpha158_SUMD30,alpha158_ROC30,False
C015,alpha158_SUMN30,alpha158_ROC30,False
C015,alpha158_SUMP30,alpha158_ROC30,False
C016,alpha158_ROC60,alpha158_ROC60,True
C016,alpha158_SUMD60,alpha158_ROC60,False
C016,alpha158_SUMN60,alpha158_ROC60,False
C016,alpha158_SUMP60,alpha158_ROC60,False
C017,alpha158_SUMD5,alpha158_SUMP5,False
C017,alpha158_SUMN5,alpha158_SUMP5,False
C017,alpha158_SUMP5,alpha158_SUMP5,True
C018,alpha158_VMA20,alpha158_VMA20,True
C018,alpha158_VMA30,alpha158_VMA20,False
C019,alpha158_VSUMD10,alpha158_VSUMN10,False
C019,alpha158_VSUMN10,alpha158_VSUMN10,True
C019,alpha158_VSUMP10,alpha158_VSUMN10,False
C020,alpha158_VSUMD20,alpha158_VSUMN20,False
C020,alpha158_VSUMN20,alpha158_VSUMN20,True
C020,alpha158_VSUMP20,alpha158_VSUMN20,False
C021,alpha158_VSUMD30,alpha158_VSUMP30,False
C021,alpha158_VSUMN30,alpha158_VSUMP30,False
C021,alpha158_VSUMP30,alpha158_VSUMP30,True
C022,alpha158_VSUMD5,alpha158_VSUMD5,True
C022,alpha158_VSUMN5,alpha158_VSUMD5,False
C022,alpha158_VSUMP5,alpha158_VSUMD5,False
C023,alpha158_VSUMD60,alpha158_VSUMN60,False
C023,alpha158_VSUMN60,alpha158_VSUMN60,True
C023,alpha158_VSUMP60,alpha158_VSUMN60,False
