batch_id,factor,ic_days,mean_rank_ic,std_rank_ic,min_cross_section,median_cross_section,rank_ic_ir
alpha101_001,kunquant_alpha101_alpha002,1273,0.015689200152131617,0.06540309045113211,0,1994.0,0.23988469113480615
alpha101_001,kunquant_alpha101_alpha003,1273,0.02700831845028332,0.07233214164449012,0,1994.0,0.3733930426535445
alpha101_001,kunquant_alpha101_alpha004,1273,0.03067732590946077,0.13865634972052684,0,1990.0,0.22124717671634522
alpha101_001,kunquant_alpha101_alpha005,1273,0.0255569845547951,0.10256540380465293,0,1990.0,0.24917743807133236
alpha101_001,kunquant_alpha101_alpha006,1273,0.02813929905370208,0.09151706932048972,0,1994.0,0.30747596336547006
alpha101_001,kunquant_alpha101_alpha008,1273,0.007612433055839624,0.11121197749743303,0,1988.0,0.06844975898405666
alpha101_001,kunquant_alpha101_alpha009,1273,0.005160667455209455,0.11096876955664062,0,1993.0,0.04650558419119309
alpha101_001,kunquant_alpha101_alpha010,1273,0.002462896784640779,0.1044381861596053,0,1993.0,0.023582339709317744
alpha101_001,kunquant_alpha101_alpha011,1273,0.028843763449960064,0.09691732137253437,0,1992.0,0.29761205779810346
alpha101_001,kunquant_alpha101_alpha012,1273,0.02462944819955694,0.06585971807459975,0,1993.0,0.37396832114675915
alpha101_001,kunquant_alpha101_alpha013,1273,0.03696254807128623,0.08629313958180107,0,1992.0,0.4283370410488751
alpha101_001,kunquant_alpha101_alpha014,1273,0.01899383199269129,0.0893964780989202,0,1994.0,0.2124673409580406
alpha101_001,kunquant_alpha101_alpha015,1273,0.027505319741400774,0.07533394475246707,0,1994.0,0.36511190050883424
alpha101_001,kunquant_alpha101_alpha016,1273,0.03418618109790967,0.08898206574430219,0,1992.0,0.38419181227087573
alpha101_001,kunquant_alpha101_alpha017,1273,-0.0018740262180539486,0.11019701526993936,0,1990.0,-0.017006143165160338
alpha101_001,kunquant_alpha101_alpha018,1273,0.00607816459229391,0.08800060524729265,0,1992.0,0.0690695771377198
alpha101_001,kunquant_alpha101_alpha020,1273,-0.0248945427235049,0.09069608257192614,0,1993.0,-0.27448310905559115
alpha101_001,kunquant_alpha101_alpha022,1273,0.006324805178775433,0.06485840844323056,0,1985.0,0.09751711968559058
alpha101_001,kunquant_alpha101_alpha024,1273,0.02717155026364582,0.1084710013990107,0,1993.0,0.2504959843017881
alpha101_001,kunquant_alpha101_alpha025,1273,0.004044930403277131,0.11978069362336384,0,1985.0,0.033769468859446865
