dimension,value,row_count,row_fraction,date_count,instrument_count
universe_membership,csi300,25049,0.18699144507980114,117,228
universe_membership,csi500,34519,0.2576852446289135,117,371
universe_membership,csi1000,39563,0.2953388375460965,117,561
universe_membership,liquid2000,133958,1.0,117,1916
index_segment,csi1000,39563,0.2953388375460965,117,561
index_segment,csi300,25049,0.18699144507980114,117,228
index_segment,csi500,34519,0.2576852446289135,117,371
index_segment,outside_major_indices,34827,0.25998447274518877,117,837
listing_age_bucket,501_plus,133958,1.0,117,1916
integrity,major_index_overlap,0,0.0,0,0
integrity,missing_listing_age,0,0.0,0,0
