batch_id,status,factor_count,factors,evaluator_status_rows,failure_rows,metric_rows,context_metric_rows,output_dir
batch_001,skipped_existing,10,"alpha158_MA20,alpha158_MA30,alpha158_MA60,alpha158_STD5,alpha158_STD10,alpha158_STD20,alpha158_STD30,alpha158_STD60,alpha158_BETA5,alpha158_BETA10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_001
batch_002,pass,10,"alpha158_BETA20,alpha158_BETA30,alpha158_BETA60,alpha158_RSQR5,alpha158_RSQR10,alpha158_RSQR20,alpha158_RSQR30,alpha158_RSQR60,alpha158_RESI5,alpha158_RESI10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_002
batch_003,pass,10,"alpha158_RESI20,alpha158_RESI30,alpha158_RESI60,alpha158_MAX5,alpha158_MAX10,alpha158_MAX20,alpha158_MAX30,alpha158_MAX60,alpha158_MIN5,alpha158_MIN10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_003
batch_004,pass,10,"alpha158_MIN20,alpha158_MIN30,alpha158_MIN60,alpha158_QTLU5,alpha158_QTLU10,alpha158_QTLU20,alpha158_QTLU30,alpha158_QTLU60,alpha158_QTLD5,alpha158_QTLD10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_004
batch_005,pass,10,"alpha158_QTLD20,alpha158_QTLD30,alpha158_QTLD60,alpha158_RANK5,alpha158_RANK10,alpha158_RANK20,alpha158_RANK30,alpha158_RANK60,alpha158_RSV5,alpha158_RSV10",30,21,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_005
batch_006,pass,10,"alpha158_RSV20,alpha158_RSV30,alpha158_RSV60,alpha158_IMAX5,alpha158_IMAX10,alpha158_IMAX20,alpha158_IMAX30,alpha158_IMAX60,alpha158_IMIN5,alpha158_IMIN10",30,21,180,1888,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_006
batch_007,pass,10,"alpha158_IMIN20,alpha158_IMIN30,alpha158_IMIN60,alpha158_IMXD5,alpha158_IMXD10,alpha158_IMXD20,alpha158_IMXD30,alpha158_IMXD60,alpha158_CORR5,alpha158_CORR10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_007
batch_008,pass,10,"alpha158_CORR20,alpha158_CORR30,alpha158_CORR60,alpha158_CORD5,alpha158_CORD10,alpha158_CORD20,alpha158_CORD30,alpha158_CORD60,alpha158_CNTP5,alpha158_CNTP10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_008
batch_009,pass,10,"alpha158_CNTP20,alpha158_CNTP30,alpha158_CNTP60,alpha158_CNTN5,alpha158_CNTN10,alpha158_CNTN20,alpha158_CNTN30,alpha158_CNTN60,alpha158_CNTD5,alpha158_CNTD10",30,21,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_009
batch_010,pass,10,"alpha158_CNTD20,alpha158_CNTD30,alpha158_CNTD60,alpha158_SUMP5,alpha158_SUMP10,alpha158_SUMP20,alpha158_SUMP30,alpha158_SUMP60,alpha158_SUMN5,alpha158_SUMN10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_010
batch_011,pass,10,"alpha158_SUMN20,alpha158_SUMN30,alpha158_SUMN60,alpha158_SUMD5,alpha158_SUMD10,alpha158_SUMD20,alpha158_SUMD30,alpha158_SUMD60,alpha158_VMA5,alpha158_VMA10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_011
batch_012,pass,10,"alpha158_VMA20,alpha158_VMA30,alpha158_VMA60,alpha158_VSTD5,alpha158_VSTD10,alpha158_VSTD20,alpha158_VSTD30,alpha158_VSTD60,alpha158_WVMA5,alpha158_WVMA10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_012
batch_013,pass,10,"alpha158_WVMA20,alpha158_WVMA30,alpha158_WVMA60,alpha158_VSUMP5,alpha158_VSUMP10,alpha158_VSUMP20,alpha158_VSUMP30,alpha158_VSUMP60,alpha158_VSUMN5,alpha158_VSUMN10",30,20,180,1920,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_013
batch_014,pass,8,"alpha158_VSUMN20,alpha158_VSUMN30,alpha158_VSUMN60,alpha158_VSUMD5,alpha158_VSUMD10,alpha158_VSUMD20,alpha158_VSUMD30,alpha158_VSUMD60",24,16,144,1536,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha158_remaining138\runs\batch_014
