artifact,artifact_identity,manifest_path,manifest_sha256,partition_manifest_path,partition_manifest_sha256,partition_count,partition_hashes_checked,partition_hash_failures,status
old_frozen_matrix,a6aa2d7298d13842c8112939f485a628e1b755bf03e4609276068595032a1899,E:/qlib_prj/qlib_baseline/outputs/factor_universe_v2_matrix_readiness/current/artifact_manifest.json,b9d98dee30732731feb1280db8df7aab3d105d255d9aa3802ef76a553e7cfc7f,E:/qlib_prj/qlib_baseline/outputs/factor_universe_v2_matrix_readiness/current/partition_manifest.csv,df37d30858619ab3ffec6b9537f6a85308016139c654464dd469c005dc841832,36,36,0,pass
old_partial_extension,extended-matrix:af96ac22035f884b120d18a4a92e06febdff52e9e94e3cb4cbc074241b40cce1,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/current/manifest.json,1aabc9cf68070be69558c62a5da92b7dc5b25feb4a2d31f334af5c44dbbdaf0c,E:/qlib_prj/qlib_baseline/outputs/historical_data_engineering_extension_v1/current/historical_partition_manifest.csv,a4cfd5a4ebfbd5c9f9807971d4f3bf584c037ea12272fd98291c2405091c7b11,762,762,0,pass
lineage_resolved_historical_evidence,extended-matrix:22fbf692d22e97a90d3b63ad1258f4867be38f5476494e27fbf68d5825cc38f0,E:/qlib_prj/qlib_baseline/outputs/extended_matrix_overlap_lineage_resolution_v1/current/manifest.json,a8ca863a96e079f8a2600e6d8a68931b98c82db53fa378b9a4a71fde546259a4,E:/qlib_prj/qlib_baseline/outputs/extended_matrix_overlap_lineage_resolution_v1/current/partition_manifest.csv,e60c6d6a625ccab6938f3721dd68e1066b7c7c17501931d44be358e788ddc7f0,762,762,0,pass
