factor,side,date_count,row_count,valid_count,coverage,nonfinite_count
kunquant_alpha101_alpha043,historical_pre_boundary,20,40000,38802,0.97005,0
kunquant_alpha101_alpha043,canonical_continuation_post_boundary,15,30000,29759,0.9919666666666667,0
kunquant_alpha101_alpha044,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha044,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha045,historical_pre_boundary,20,40000,37879,0.946975,0
kunquant_alpha101_alpha045,canonical_continuation_post_boundary,15,30000,29460,0.982,0
kunquant_alpha101_alpha046,historical_pre_boundary,20,40000,39848,0.9962,0
kunquant_alpha101_alpha046,canonical_continuation_post_boundary,15,30000,29952,0.9984,0
kunquant_alpha101_alpha047,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha047,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha049,historical_pre_boundary,20,40000,39843,0.996075,0
kunquant_alpha101_alpha049,canonical_continuation_post_boundary,15,30000,29945,0.9981666666666666,0
kunquant_alpha101_alpha050,historical_pre_boundary,20,40000,39599,0.989975,0
kunquant_alpha101_alpha050,canonical_continuation_post_boundary,15,30000,29633,0.9877666666666667,0
kunquant_alpha101_alpha051,historical_pre_boundary,20,40000,39845,0.996125,0
kunquant_alpha101_alpha051,canonical_continuation_post_boundary,15,30000,29948,0.9982666666666666,0
kunquant_alpha101_alpha053,historical_pre_boundary,20,40000,39250,0.98125,0
kunquant_alpha101_alpha053,canonical_continuation_post_boundary,15,30000,29893,0.9964333333333333,0
kunquant_alpha101_alpha054,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha054,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha055,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha055,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha057,historical_pre_boundary,20,40000,37797,0.944925,0
kunquant_alpha101_alpha057,canonical_continuation_post_boundary,15,30000,29631,0.9877,0
kunquant_alpha101_alpha060,historical_pre_boundary,20,40000,39201,0.980025,0
kunquant_alpha101_alpha060,canonical_continuation_post_boundary,15,30000,29818,0.9939333333333333,0
kunquant_alpha101_alpha062,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha062,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha064,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha064,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha066,historical_pre_boundary,20,40000,32634,0.81585,0
kunquant_alpha101_alpha066,canonical_continuation_post_boundary,15,30000,24271,0.8090333333333334,0
kunquant_alpha101_alpha071,historical_pre_boundary,20,40000,38481,0.962025,0
kunquant_alpha101_alpha071,canonical_continuation_post_boundary,15,30000,29724,0.9908,0
kunquant_alpha101_alpha072,historical_pre_boundary,20,40000,35168,0.8792,0
kunquant_alpha101_alpha072,canonical_continuation_post_boundary,15,30000,27832,0.9277333333333333,0
kunquant_alpha101_alpha073,historical_pre_boundary,20,40000,38324,0.9581,0
kunquant_alpha101_alpha073,canonical_continuation_post_boundary,15,30000,29711,0.9903666666666666,0
kunquant_alpha101_alpha074,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha074,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha077,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha077,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha078,historical_pre_boundary,20,40000,35527,0.888175,0
kunquant_alpha101_alpha078,canonical_continuation_post_boundary,15,30000,26528,0.8842666666666666,0
kunquant_alpha101_alpha083,historical_pre_boundary,20,40000,39390,0.98475,0
kunquant_alpha101_alpha083,canonical_continuation_post_boundary,15,30000,29824,0.9941333333333333,0
kunquant_alpha101_alpha084,historical_pre_boundary,20,40000,37538,0.93845,0
kunquant_alpha101_alpha084,canonical_continuation_post_boundary,15,30000,29589,0.9863,0
kunquant_alpha101_alpha085,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha085,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
kunquant_alpha101_alpha088,historical_pre_boundary,20,40000,39360,0.984,0
kunquant_alpha101_alpha088,canonical_continuation_post_boundary,15,30000,29845,0.9948333333333333,0
kunquant_alpha101_alpha092,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha092,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha094,historical_pre_boundary,20,40000,39043,0.976075,0
kunquant_alpha101_alpha094,canonical_continuation_post_boundary,15,30000,29794,0.9931333333333333,0
kunquant_alpha101_alpha095,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha095,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha096,historical_pre_boundary,20,40000,40000,1.0,0
kunquant_alpha101_alpha096,canonical_continuation_post_boundary,15,30000,30000,1.0,0
kunquant_alpha101_alpha098,historical_pre_boundary,20,40000,37170,0.92925,0
kunquant_alpha101_alpha098,canonical_continuation_post_boundary,15,30000,27568,0.9189333333333334,0
kunquant_alpha101_alpha101,historical_pre_boundary,20,40000,39927,0.998175,0
kunquant_alpha101_alpha101,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_CNTD10,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTD10,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTD20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTD20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTD30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTD30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTD5,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTD5,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTD60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTD60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTN10,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTN10,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTN20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTN20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTN30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTN30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTN60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTN60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTP10,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTP10,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTP20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTP20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTP30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTP30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTP5,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTP5,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CNTP60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CNTP60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_KLEN,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KLEN,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KLOW,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KLOW,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KLOW2,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KLOW2,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KMID,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KMID,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KMID2,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KMID2,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KSFT,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KSFT,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KSFT2,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KSFT2,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KUP,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KUP,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_KUP2,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_KUP2,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_SUMD10,historical_pre_boundary,20,40000,39991,0.999775,0
alpha158_SUMD10,canonical_continuation_post_boundary,15,30000,29997,0.9999,0
alpha158_SUMD20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMD20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORD10,historical_pre_boundary,20,40000,39981,0.999525,0
alpha158_CORD10,canonical_continuation_post_boundary,15,30000,29993,0.9997666666666667,0
alpha158_CORD20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORD20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORD30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORD30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORD5,historical_pre_boundary,20,40000,39937,0.998425,0
alpha158_CORD5,canonical_continuation_post_boundary,15,30000,29974,0.9991333333333333,0
alpha158_CORD60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORD60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORR10,historical_pre_boundary,20,40000,39986,0.99965,0
alpha158_CORR10,canonical_continuation_post_boundary,15,30000,29996,0.9998666666666667,0
alpha158_CORR20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORR20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORR30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORR30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_CORR5,historical_pre_boundary,20,40000,39947,0.998675,0
alpha158_CORR5,canonical_continuation_post_boundary,15,30000,29981,0.9993666666666666,0
alpha158_CORR60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_CORR60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_HIGH0,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_HIGH0,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_LOW0,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_LOW0,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_SUMD30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMD30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMD5,historical_pre_boundary,20,40000,39957,0.998925,0
alpha158_SUMD5,canonical_continuation_post_boundary,15,30000,29985,0.9995,0
alpha158_SUMD60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMD60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMN10,historical_pre_boundary,20,40000,39991,0.999775,0
alpha158_SUMN10,canonical_continuation_post_boundary,15,30000,29997,0.9999,0
alpha158_SUMN20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMN20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMN30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMN30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMN5,historical_pre_boundary,20,40000,39957,0.998925,0
alpha158_SUMN5,canonical_continuation_post_boundary,15,30000,29985,0.9995,0
alpha158_SUMN60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMN60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMP10,historical_pre_boundary,20,40000,39991,0.999775,0
alpha158_SUMP10,canonical_continuation_post_boundary,15,30000,29997,0.9999,0
alpha158_SUMP20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMP20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMP30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMP30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_SUMP5,historical_pre_boundary,20,40000,39957,0.998925,0
alpha158_SUMP5,canonical_continuation_post_boundary,15,30000,29985,0.9995,0
alpha158_SUMP60,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_SUMP60,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_BETA10,historical_pre_boundary,20,40000,39923,0.998075,0
alpha158_BETA10,canonical_continuation_post_boundary,15,30000,29956,0.9985333333333334,0
alpha158_BETA20,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_BETA20,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_BETA30,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_BETA30,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_BETA5,historical_pre_boundary,20,40000,39919,0.997975,0
alpha158_BETA5,canonical_continuation_post_boundary,15,30000,29954,0.9984666666666666,0
alpha158_BETA60,historical_pre_boundary,20,40000,39927,0.998175,0
alpha158_BETA60,canonical_continuation_post_boundary,15,30000,29958,0.9986,0
alpha158_IMAX10,historical_pre_boundary,20,40000,39995,0.999875,0
alpha158_IMAX10,canonical_continuation_post_boundary,15,30000,29999,0.9999666666666667,0
alpha158_IMAX20,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMAX20,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMAX30,historical_pre_boundary,20,40000,40000,1.0,0
alpha158_IMAX30,canonical_continuation_post_boundary,15,30000,30000,1.0,0
alpha158_IMAX60,historical_pre_boundary,20,40000,40000,1.0,0
