artifact_type,artifact_id,artifact_status,lineage_status,code_dirty,unchanged_during_audit
matrix_manifest,full_research_feature_matrix_v4:10f6e026d5c6c13eda166f702fb2bae2e7ca76c6747bd9e9482ee482e605df1d,pass,complete,False,True
selection_manifest,research_selection_lineage_closure_v1:abe0d942b28dfbd6ca679a8a2aee0ee83890309922b5184f5efa28d1fb842e6b,pass,complete,False,True
