source,instrument,missing_row_count,first_missing_date,last_missing_date,classification
community,SZ302132,128,2024-08-01,2025-02-14,source_missing_vs_union
community,SH600837,19,2025-02-06,2025-03-04,source_missing_vs_union
community,SZ000413,35,2024-08-15,2024-10-11,source_missing_vs_union
community,SH600705,34,2025-04-03,2025-05-26,source_missing_vs_union
community,SH600811,12,2025-04-15,2025-04-30,source_missing_vs_union
community,SH601028,39,2025-03-27,2025-05-26,source_missing_vs_union
community,SZ002308,24,2024-08-23,2024-09-27,source_missing_vs_union
community,SZ000627,33,2025-08-14,2025-09-29,source_missing_vs_union
community,SZ000851,25,2025-09-29,2025-11-10,source_missing_vs_union
community,SH601989,17,2025-08-13,2025-09-04,source_missing_vs_union
community,SH603003,2,2025-07-01,2025-07-02,source_missing_vs_union
community,SZ300114,1,2025-02-17,2025-02-17,source_missing_vs_union
akshare_eastmoney,SZ300005,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300364,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH688009,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH600008,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ000627,284,2024-08-01,2025-09-29,source_missing_vs_union
akshare_eastmoney,SH600330,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ002583,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300188,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300429,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH688711,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300131,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ000987,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH600690,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300676,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH688301,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH688183,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ300379,358,2024-08-01,2026-01-21,source_missing_vs_union
akshare_eastmoney,SH601995,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SZ000816,368,2024-08-01,2026-02-04,source_missing_vs_union
akshare_eastmoney,SH688169,368,2024-08-01,2026-02-04,source_missing_vs_union
