instrument,date,$factor,factor_change,raw_close,event_window_status
SZ000739,2025-09-17,0.68181044,0.02165699,16.47,candidate_requires_corporate_action_cross_check
SZ000851,2025-09-17,0.302391,0.006082773,0.54,candidate_requires_corporate_action_cross_check
SZ000851,2025-09-24,0.30440024,0.0077097416,0.42000002,candidate_requires_corporate_action_cross_check
SZ000905,2024-10-21,0.24977805,0.0077084303,6.2,candidate_requires_corporate_action_cross_check
SZ000905,2025-06-16,0.2512682,0.00590384,8.5,candidate_requires_corporate_action_cross_check
SZ000963,2024-09-20,0.6401552,0.012842178,27.550001,candidate_requires_corporate_action_cross_check
SZ000963,2025-06-05,0.64858377,0.013173342,43.66,candidate_requires_corporate_action_cross_check
SZ000963,2025-09-18,0.65397704,0.008313656,42.35,candidate_requires_corporate_action_cross_check
SZ000987,2025-07-03,0.7694552,0.02571857,6.6099997,candidate_requires_corporate_action_cross_check
SZ000987,2025-11-12,0.77836806,0.011560559,7.6899996,candidate_requires_corporate_action_cross_check
SZ002100,2025-06-05,0.6055358,0.03476131,6.21,candidate_requires_corporate_action_cross_check
SZ002336,2025-06-13,0.036218762,0.006626606,0.55,candidate_requires_corporate_action_cross_check
SZ002336,2025-06-16,0.036775973,0.015384555,0.5,candidate_requires_corporate_action_cross_check
SZ002336,2025-06-20,0.036775973,0.0090909,0.35,candidate_requires_corporate_action_cross_check
SZ002336,2025-06-23,0.03629208,0.013157845,0.38,candidate_requires_corporate_action_cross_check
SZ002336,2025-06-24,0.036605716,0.008641958,0.35999998,candidate_requires_corporate_action_cross_check
SZ002518,2025-05-27,0.13721783,0.010415196,21.88,candidate_requires_corporate_action_cross_check
SZ002608,2025-07-18,0.0797341,0.013151646,7.52,candidate_requires_corporate_action_cross_check
SZ002651,2025-07-17,0.15260065,0.0050914288,11.81,candidate_requires_corporate_action_cross_check
SZ002895,2025-06-23,0.11888246,0.052429676,22.65,candidate_requires_corporate_action_cross_check
SZ002895,2025-09-05,0.12027314,0.011629343,26.8,candidate_requires_corporate_action_cross_check
SZ002906,2025-05-12,0.054399468,0.015214562,31.849998,candidate_requires_corporate_action_cross_check
SZ002936,2025-07-10,0.21487957,0.0074076653,2.26,candidate_requires_corporate_action_cross_check
SZ300001,2025-07-04,0.15992087,0.006365061,23.55,candidate_requires_corporate_action_cross_check
SZ300002,2025-07-11,0.1528294,0.007748723,12.889999,candidate_requires_corporate_action_cross_check
SZ300003,2024-09-20,0.07353146,0.015257001,9.08,candidate_requires_corporate_action_cross_check
SZ300003,2025-06-20,0.07427116,0.010090232,12.74,candidate_requires_corporate_action_cross_check
