projection,path,sha256,row_count,factor_count,outer_split_count,inner_split_count,start_date,end_date,canonical_key_sha256
outer_train_daily_ic,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v1/runtime/outer_train_daily_ic.parquet,5c4fa03a19584205c4a498bbcd9e6fa6fd9db21cd344e0167cdb07ab25867543,1620318,669,3,0,2021-02-01,2024-11-28,d9fa823abf532ee030720fe92db68ca6dfbedcab3b315984413fb07cd8b79a16
inner_development_daily_ic,E:/qlib_prj/qlib_baseline/outputs/selection_input_projection_v1/runtime/inner_development_daily_ic.parquet,9b904e5e80fa08e4072751e8b365b8356329ec7b13e0b743a1b60878de2b2856,4031394,669,3,9,2021-02-01,2025-05-08,5c775095fdce7def7af3f83c01fc9fd613f89bf93b549647dfae77b7d4ff1c9b
