arm,fold,train_rows,prediction_rows,coverage,model_sha256,replay,prepare_seconds,fit_seconds,dataset_seconds,predict_seconds,peak_rss_mib,temporary_disk_bytes
R,annual_2015,2091683,487993,1.0,6a85fea01ab1723e20797b5bca381017b2aa56a246a8a40201eccfada5be4e8a,exact,32.175878199999715,14.984008999999787,8.815045299999838,13.168000599998777,1459.390625,3647895152
R,annual_2016,2494922,488000,1.0,afb4005ee162000bdeb5ffc318843edf9f49804a2489a83b53a3b0a53ca57c39,exact,39.698116099998515,17.63307999999961,9.606668299999,13.17538649999915,1621.5,4351143968
R,annual_2017,2938932,488000,1.0,d9b67c7973d108858647fc9a8a4641fca9d9dc33811b61c5d8960c2251728767,exact,47.066144800000984,21.13887539999996,10.722882400001254,13.241172299998652,1729.6171875,5125497408
R,annual_2018,3391417,485999,1.0,826ca437c329e694d8b8ef53fcfaa901c9f1b3c5682172d83883d4421d182daf,exact,53.06595320000088,24.18961710000076,11.685359500001141,12.812466699999277,1842.34765625,5914631248
R,annual_2019,3854187,487969,1.0,d614d56665c26fd058512ae41071026e52f5925f5535c9d363f68a72a7d66925,exact,59.94781609999882,27.449990699999034,13.753864899999826,12.946427300001233,2012.5390625,6721702128
R,annual_2020,4339529,485973,1.0,5140bc57b926701ae1eb15208246d99da501d391ec245a4a436bb441e86da442,exact,67.11064369999986,30.802115099999355,13.614658000000418,12.878696800000398,2163.3515625,7568138576
R,annual_2021,4823170,485981,1.0,f7000ee7b70924f931f7fa766568310bed99910e9116b53ee98989c5988b1f3a,exact,75.28327189999982,34.69544479999968,14.323005800000828,12.750719900001059,2285.06640625,8411608480
R,annual_2022,5307701,483983,1.0,8242dca9a6f130b1b399310123da6c025c648b5ac9343a6ad0af37b4e026cf55,exact,82.37653030000001,37.74541919999865,16.044794100000217,13.018692100000408,2403.92578125,9256630544
R,annual_2023,5790153,483926,1.0,9ced8fc811766cb977bae88f102d5f3f363c73768d91a20e96d264883eea37e1,exact,92.12560979999944,41.07233399999859,15.494131800000105,13.013124299999618,2517.55859375,10098026832
C,annual_2015,2091683,487993,1.0,b9f5bfc6deac8ef6b34783a0d67005fc86892d9d9b8595f172262aa24643afb4,exact,31.89625189999788,14.31002240000089,9.013938400003099,12.792384799999127,1379.51953125,3363426264
C,annual_2016,2494922,488000,1.0,062f719ad5814a59dc822eb9c48c1bb1dd5e908e9854a5920ffb902020cf9e99,exact,36.99464150000131,17.347974699998304,9.359230699999898,12.631480100000772,1539.91796875,4011834576
C,annual_2017,2938932,488000,1.0,5343f1fa4ed858ce0fd6cce2b47922637933b4ae963cf39afcab9eb312f7a4e0,exact,43.90432260000307,20.911694599999464,10.420103399999789,12.465249299999414,1631.06640625,4725802656
C,annual_2018,3391417,485999,1.0,aaa5e98b40f3ed18a75a2c519bd1193250b715ca71ab298a8f25dae02e38b59e,exact,49.822770100003254,23.931510599999456,11.182013000001461,12.305885799996759,1756.8359375,5453398536
C,annual_2019,3854187,487969,1.0,1cd088e51fe1e028b089f31de74d27d260ef1cf0be02430d01d37ce189ef980f,exact,56.0465492000003,27.11615690000326,12.183405600000697,12.231574599998567,1868.35546875,6197532696
C,annual_2020,4339529,485973,1.0,7babdf3cc32072d0fc3450b72bf3a2446d816db94c970cb346679bfdc7683e55,exact,62.371045299998514,30.53286189999926,12.758191900000384,12.149679599999217,1972.62109375,6977962632
C,annual_2021,4823170,485981,1.0,cdf748af16d23baa3e06c3f2672619f0541548e9be23717073ae227f1743e359,exact,70.2967258000026,33.92482220000238,13.542652800002543,11.947175699999207,2090.703125,7755657360
C,annual_2022,5307701,483983,1.0,309948fa9c81afa132c54d5e0b6ba475b332ca365140a746bae540fb5e8c16ea,exact,77.87022710000019,37.42877099999896,14.595035400001507,11.95415739999953,2212.9296875,8534783208
C,annual_2023,5790153,483926,1.0,7c1e5a86320988453825da8bad47cd40965eb365b84e5b3be742302f21d89018,exact,86.0120663000016,41.06924450000224,15.114176499999303,11.987172400000418,2322.05859375,9310566024
H,annual_2015,2091683,487993,1.0,2f543938913a2fe71413f1840cf0e4aa7e029ea8f75aeaed6b89efd9b2d01b6c,exact,45.62808360000054,22.90779140000086,12.773184499998024,18.327372700001433,2259.27734375,5990580112
H,annual_2016,2494922,488000,1.0,04ef078f9b6217135da5e4027ab2e24d7982d55a67bcc2d5b53a3063dc671910,exact,53.030155399999785,28.223900799999683,13.640400500000396,18.244650999997248,2473.40234375,7145456608
H,annual_2017,2938932,488000,1.0,21d57caeb7bdeee0548fc2b0a26bf8cf24b0a69b226ea73e86286c8bbc765b34,exact,62.42734080000082,34.25309140000172,14.94546800000171,17.953138600001694,2656.6953125,8417101248
H,annual_2018,3391417,485999,1.0,457d0f91dc5d01a9350110a3304c08dab67e6ae0302ccc3bd9d070ae3ddbb290,exact,71.9630419999994,38.39098709999962,17.121686300000874,17.855687600000238,2824.046875,9713018288
H,annual_2019,3854187,487969,1.0,51156e138fa01c45cb3244277126553da011982aad1c66527be105cde2ff4fe7,exact,83.62142069999754,43.85591530000238,18.83476410000003,17.62619790000099,3008.765625,11038391568
H,annual_2020,4339529,485973,1.0,c6697c2e7b7fb8674b6911bbe01c9174a8f80bf0f5c250529c723ac2e0b0de77,exact,92.78462139999829,49.4652047999989,20.35277440000209,17.701480899999297,3205.54296875,12428411056
H,annual_2021,4823170,485981,1.0,ae4f43088a854c32f0c074d5eea29399744dc4e10099cafec0b321bcc415236a,exact,103.27308560000165,55.59176740000112,21.58174059999874,17.47955639999782,3398.96875,13813558880
H,annual_2022,5307701,483983,1.0,04ea01c87297fdf5c6bff1499ad8c35b43e26601b074750044cb8979212a024e,exact,112.15473689999999,60.52849480000077,26.8132829999995,17.421131800001604,3579.63671875,15201255664
H,annual_2023,5790153,483926,1.0,e0d1d64a9505e0b2b59e730465a503beff7b0db24f8ea9fd4086d61666c182b1,exact,130.7867685000001,66.10905420000017,29.896900199999436,17.210453800000323,3666.53125,16582998192
