trading_day_count,accounting_day_count,order_count,fill_count,partial_count,rejected_count,ending_nav,total_cash_fee,total_slippage_cost,outer_split_id,method
119,119,10164,10164,5720,0,11559113.542855248,564657.9983252543,702869.0177570486,split_001,equal_weight
119,119,10105,10105,5729,0,11610420.277133815,567468.4902580464,706531.6887515874,split_001,stability_weight
123,123,10596,10593,5828,3,10171711.792408802,632571.0202444049,789988.8931817114,split_002,equal_weight
123,123,10670,10668,5889,2,10189351.418790327,638399.1872578203,797301.0658968121,split_002,stability_weight
123,123,10143,10142,5276,1,10009624.231802193,585618.9793144587,729974.7537467233,split_003,equal_weight
123,123,10002,10001,5062,1,9887593.916145366,592572.0548801898,738635.8988655064,split_003,stability_weight
