table,rows,sha256
orders,61680,a95fdfb412df8c6b5cda17c475bd941026f3ab46eb367ae2cf215688e87f5a49
fills,61673,c056584f291c2b7c64b54a02c39c75601d6278e3e0c8b5559e64b5fc2515603b
partial_fills,33504,ac2f78432e8867c334e9d06bca0aedaa41d411b6748e76429e1b4c4100184fbb
positions,51438,6e53d31bc4df74d734e12864ec6cb311113c0149b7b40c1a8f98b3e11888442e
transaction_costs,61673,4f87c98a5e988ed57f98927c19a9f04e0f454f27c37ca20bc68ce3df4d453f01
