check_name,status,observed_value,required_value,severity,reason
direct_parents_valid,pass,4,4,critical,
strict_event_time_boundary_active,pass,True,True,critical,
labels_runtime_manifest_resolved_and_hash_valid,pass,4acdfd874c339cd094bf702619861714ec9c75eb27547240eaaa7b945a302ac8,4acdfd874c339cd094bf702619861714ec9c75eb27547240eaaa7b945a302ac8,critical,
model_binary_unchanged,pass,c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7,c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7,critical,
preprocessing_unchanged,pass,679765a462e79a3018db3ab77170a1bc60e3114816aff23b1d8fd38d2a2e37f2,679765a462e79a3018db3ab77170a1bc60e3114816aff23b1d8fd38d2a2e37f2,critical,
durable_backup_verified,pass,True,True,critical,
durable_assets_reload_hash_valid,pass,"['E:/qlib_prj/qlib_baseline/artifacts/prospective_forward_candidate_v1/sha256/c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7/forward_candidate_lightgbm.txt', 'E:/qlib_prj/qlib_baseline/artifacts/prospective_forward_candidate_v1/sha256/c89972d27ec610cf7c2598d8ccb1ecd1c227c73d0b5dc51dcf11210b57245ee7/forward_candidate_preprocessing.json']",two hash-valid durable assets,critical,
candidate_rebound_without_retraining,pass,True,True,critical,
prediction_before_label_contract_frozen,pass,next_trading_day_09_25,next_trading_day_09_25,critical,
production_and_live_gates_closed,pass,"{'production': False, 'live': False}","{'production': False, 'live': False}",critical,
