datetime,instrument,alpha158_KMID,alpha158_KLEN,alpha158_KMID2,alpha158_KUP,alpha158_KUP2,alpha158_KLOW,alpha158_KLOW2,alpha158_KSFT,alpha158_KSFT2,alpha158_OPEN0,alpha158_HIGH0,alpha158_LOW0,alpha158_VWAP0,alpha158_ROC5,alpha158_ROC10,alpha158_ROC20,alpha158_ROC30,alpha158_ROC60,alpha158_MA5,alpha158_MA10
2020-10-09,SH600000,-0.0021186331,0.0084745325,-0.25,0.0042372663,0.5,0.0021186331,0.25,-0.0042372663,-0.5,1.0021231,1.0063694,0.9978769,1.0024039,1.0085517,1.0435505,1.0743526,1.1114894,1.2071422,1.0015203,1.0168184
2020-10-12,SH600000,0.0148148285,0.022222195,0.6666681,0.004232753,0.19047412,0.003174613,0.14285776,0.013756688,0.61905175,0.98540145,1.004171,0.98227316,0.9968339,0.9875554,1.0365559,1.0500894,1.0948899,1.1471571,0.98624873,0.995131
2020-10-13,SH600000,-0.0041753044,0.007306925,-0.57141745,0.0010438735,0.14286086,0.002087747,0.28572172,-0.0031314308,-0.4285566,1.0041928,1.005241,0.9979035,0.9996709,0.99163413,1.031509,1.0493354,1.0964817,1.1591868,0.99308836,0.9971931
2020-10-14,SH600000,-0.001048217,0.0062893014,-0.16666667,0.002096434,0.33333334,0.0031446507,0.5,0.0,0.0,1.0010493,1.003148,0.99685204,1.0000367,0.9895124,1.0178444,1.0545511,1.0965015,1.1325036,0.99619627,0.99642324
2020-10-15,SH600000,0.008385708,0.01991608,0.42105213,0.010482183,0.52631754,0.0010481897,0.05263032,-0.0010482849,-0.052635107,0.991684,1.010395,0.9906446,1.0023967,0.97604275,1.0010079,1.0405489,1.077919,1.1021088,0.9916422,0.9869748
2020-10-16,SH600000,0.01144645,0.017689908,0.64706105,0.0052028974,0.2941167,0.0010405605,0.05882227,0.007284113,0.4117666,0.9886831,1.005144,0.9876543,0.99837375,0.9690761,0.97736335,1.0246317,1.0647637,1.0927716,0.9876304,0.9790899
2020-10-19,SH600000,-0.008222006,0.029804712,-0.2758626,0.020554967,0.68965495,0.001027739,0.034482434,-0.027749235,-0.93103516,1.0082902,1.0290155,0.9989637,1.0126761,0.99373937,0.9813727,1.0279796,1.0839388,1.10759,0.9960581,0.98806614
2020-10-20,SH600000,-0.005192023,0.014537834,-0.3571387,0.002076847,0.14285807,0.0072689643,0.5000032,9.443647e-08,6.495911e-06,1.0052191,1.0073068,0.9926931,0.9991791,0.99579567,0.98746496,1.0334008,1.0814388,1.1404546,1.0041887,0.99655086
2020-10-21,SH600000,0.012526006,0.019832939,0.63157594,0.0,0.0,0.0073069325,0.3684241,0.019832939,1.0,0.98762894,1.0,0.9804124,0.99124855,0.98246837,0.9721646,1.0164553,1.0608228,1.1282583,0.9952634,0.98699737
2020-10-22,SH600000,-0.0020682318,0.017580159,-0.1176458,0.009307138,0.52941144,0.00620479,0.35294273,-0.0051705795,-0.2941145,1.0020726,1.0113989,0.99378234,1.0009377,0.9969083,0.97302514,1.021719,1.054877,1.1419848,1.0010357,0.994806
2020-10-23,SH600000,0.0072688996,0.017653137,0.4117625,0.009345823,0.5294143,0.0010384142,0.058823213,-0.0010385087,-0.058828562,0.99278355,1.0092784,0.9917526,1.0017945,1.0020761,0.9710881,1.0133795,1.0432911,1.1174934,0.9954633,0.9925721
2020-10-26,SH600000,-0.012345709,0.016460882,-0.75000286,0.0030863804,0.18749787,0.0010287935,0.06249929,-0.014403296,-0.87500143,1.0125,1.015625,0.99895835,1.0054162,1.0052055,0.99891233,1.0354284,1.0489472,1.0853858,1.0047859,1.0030146
2020-10-27,SH600000,-0.011470238,0.011470238,-1.0,0.0,0.0,0.0,0.0,-0.011470238,-1.0,1.0116034,1.0116034,1.0,1.0049815,1.0105429,1.0062943,1.0380015,1.0559402,1.0938631,1.0154052,1.0150905
2020-10-28,SH600000,-0.008438806,0.014767958,-0.5714267,0.004219403,0.28571334,0.0021097495,0.14285992,-0.010548459,-0.7142801,1.0085106,1.0127659,0.9978723,1.0018742,1.0318971,1.0138062,1.0318971,1.0691105,1.1052923,1.0176466,1.022328
2020-10-29,SH600000,0.0021390207,0.01176476,0.18181592,0.00855618,0.727272,0.001069559,0.090912096,-0.0053476,-0.45454395,0.99786556,1.0085379,0.9967983,1.0011061,1.0299315,1.0267473,1.0277822,1.0683808,1.1217163,1.0149817,1.02299
2020-10-30,SH600000,-0.012793172,0.021321954,-0.6,0.0074626836,0.35,0.0010660976,0.05,-0.019189758,-0.9,1.012959,1.0205183,0.9989201,1.008407,1.0475231,1.049698,1.0259364,1.0755539,1.123077,1.017495,1.0301329
